sub2	tbasej2	lap1_32	lap1_33	cur1_32	cur1_33	rp2431	rp3445
-0.00177079	3.15038	0.11729	0.118557	0.0136644	0.0170283	-0.0524756	-0.054209
-0.00220327	3.24557	0.117285	0.118549	0.0149255	0.0159193	-0.0522039	-0.0539747
-0.00243147	3.33002	0.117282	0.11854	0.0152564	0.0169725	-0.0518078	-0.0540111
-0.00254844	3.41608	0.11728	0.118531	0.0150339	0.0179475	-0.0519953	-0.0544268
-0.00324906	3.50785	0.117277	0.118521	0.0138367	0.0169756	-0.0524617	-0.0550102
-0.00398413	3.59963	0.117275	0.118512	0.015621	0.0168066	-0.0520379	-0.055287
-0.00390282	3.68535	0.117273	0.118501	0.0139501	0.0185775	-0.0510285	-0.0550126
-0.00266394	3.76837	0.117272	0.118491	0.013315	0.0180386	-0.0506401	-0.054543
-0.00196842	3.85635	0.117271	0.118482	0.0159037	0.016563	-0.051718	-0.054382
-0.00235683	3.94764	0.11727	0.118474	0.0145717	0.016474	-0.0526359	-0.0546043
-0.00284914	4.04235	0.117268	0.118466	0.0153368	0.0182824	-0.0526875	-0.0550444
-0.00361511	4.12871	0.117268	0.118456	0.0152789	0.0189662	-0.0527448	-0.0555939
-0.00369871	4.21204	0.11727	0.118446	0.0146501	0.0177586	-0.052382	-0.0559971
-0.00161788	4.30673	0.117273	0.118436	0.0154244	0.0168198	-0.0521966	-0.0558953
-0.000760645	4.41342	0.117278	0.118426	0.0152178	0.018264	-0.0540365	-0.0556544
-0.0019186	4.53794	0.117284	0.118416	0.0153215	0.0194869	-0.0548386	-0.0555992
-0.00143758	4.68946	0.117291	0.118405	0.0139005	0.0191399	-0.0539663	-0.0558849
-0.00219208	4.95925	0.117301	0.118394	0.0126873	0.018041	-0.054313	-0.0557505
-0.00151525	5.13692	0.117313	0.118385	0.0128836	0.0170834	-0.0540307	-0.0562228
-0.00133553	5.29248	0.117328	0.118378	0.0158048	0.0176948	-0.0543872	-0.0559024
-0.00137518	5.41194	0.117347	0.118369	0.0144282	0.0201463	-0.0549596	-0.0562951
-0.00190236	5.54598	0.117366	0.11836	0.0141913	0.0190351	-0.0549316	-0.0563067
-0.0010369	5.74392	0.117386	0.118351	0.0128854	0.0167905	-0.0540353	-0.0559377
-0.000751182	5.88104	0.117407	0.118343	0.014952	0.0150755	-0.0550754	-0.0561123
-5.19E-05	5.98866	0.11743	0.118337	0.0151049	0.0183879	-0.0552854	-0.0560366
-0.000260662	6.10557	0.117457	0.118331	0.0163096	0.016209	-0.0556603	-0.0557122
0.000313755	6.23716	0.117487	0.118326	0.0158912	0.017863	-0.0557005	-0.0559612
0.000139046	6.35976	0.117519	0.118322	0.0156706	0.0169118	-0.0556276	-0.0553139
-0.000233088	6.46288	0.117555	0.118318	0.0124743	0.019475	-0.0555619	-0.0554229
-0.000911985	6.67962	0.117596	0.118313	0.0164887	0.0176357	-0.0551516	-0.0553846
-0.000508353	6.8673	0.117638	0.118309	0.0135672	0.0172747	-0.054745	-0.055657
0.000391405	7.23473	0.117684	0.118306	0.0154417	0.0155839	-0.0551132	-0.0556215
-0.000494804	7.4	0.117733	0.118301	0.01381	0.0180325	-0.0557171	-0.0553257
		0.117785	0.1183	0.0150599	0.0183934		
		0.117844	0.118298	0.0162006	0.0176544		
		0.117906	0.118297	0.0158809	0.0164349		
		0.117973	0.118296	0.0158816	0.0158485		
		0.118048	0.118296	0.01334	0.0164888		
		0.118126	0.118297	0.0136067	0.0167531		
		0.118206	0.118299	0.0149643	0.0169055		
		0.118291	0.118301	0.0145264	0.0180406		
		0.118382	0.118303	0.0153645	0.0175751		
		0.118476	0.118307	0.0143669	0.0173792		
		0.118577	0.118309	0.0125245	0.0194475		
		0.118681	0.118311	0.0171831	0.0190545		
		0.118791	0.118313	0.0166589	0.0178531		
		0.118906	0.118315	0.0150436	0.0177449		
		0.119028	0.118318	0.0157522	0.0178803		
		0.119155	0.118321	0.01418	0.0172737		
		0.119288	0.118324	0.0160037	0.0177833		
		0.119426	0.118326	0.0146088	0.0163571		
		0.119571	0.11833	0.0143231	0.0172758		
		0.119722	0.118334	0.0137531	0.01918		
		0.11988	0.118339	0.0134808	0.0169546		
		0.120044	0.118342	0.0127562	0.0157764		
		0.120213	0.118345	0.0153814	0.022649		
		0.120388	0.118348	0.0171056	0.0178856		
		0.120569	0.11835	0.0133351	0.0183096		
		0.120757	0.11835	0.0144393	0.0191564		
		0.120954	0.118351	0.0153195	0.0187744		
		0.121159	0.11835	0.0125226	0.015724		
		0.12137	0.11835	0.0150851	0.0166236		
		0.121591	0.118351	0.0146681	0.017125		
		0.121823	0.118351	0.0161527	0.0192428		
		0.122062	0.118352	0.0152993	0.0175476		
		0.12231	0.118353	0.0145518	0.0215592		
		0.122565	0.118356	0.0114355	0.018194		
		0.122831	0.118358	0.0160734	0.0204771		
		0.123107	0.118358	0.0131093	0.0174485		
		0.123393	0.11836	0.0148651	0.0156165		
		0.123689	0.118362	0.0133505	0.0159392		
		0.123995	0.118365	0.0148509	0.0173944		
		0.12431	0.118365	0.0175091	0.0165171		
		0.124636	0.118367	0.0146395	0.0172626		
		0.12497	0.118369	0.0169186	0.0166822		
		0.125314	0.11837	0.014747	0.0188477		
		0.125666	0.118372	0.0144167	0.0169781		
		0.12603	0.118375	0.015022	0.018411		
		0.126404	0.118379	0.0170156	0.0170508		
		0.126786	0.118383	0.0151145	0.0171036		
		0.127181	0.118387	0.0145005	0.0192266		
		0.127587	0.11839	0.0175763	0.0159743		
		0.128004	0.118392	0.0141279	0.0171935		
