sub2	tbasej2	rp2837	rp4150b	cur2_38	cur2_39	lap2_38	lap2_39
-0.0012509	2.49898	-0.0509187	-0.0524861	0.0137997	0.0173241	0.109423	0.114936
-0.00114962	2.54848	-0.0513527	-0.0528058	0.0144482	0.0184405	0.109426	0.115193
-0.00137502	2.59934	-0.0516976	-0.0529485	0.0149786	0.0174921	0.109431	0.115458
-0.00191572	2.65273	-0.0516884	-0.052838	0.0156025	0.0186241	0.10944	0.11573
-0.00266582	2.71103	-0.0512973	-0.0526723	0.0137278	0.0183599	0.109451	0.11601
-0.00325076	2.77645	-0.0508648	-0.0527805	0.0166715	0.0160471	0.109462	0.116299
-0.00305326	2.85047	-0.0506056	-0.0532714	0.0165238	0.0203893	0.109474	0.116593
-0.00236314	2.93456	-0.0504326	-0.0536833	0.0151984	0.0182016	0.109489	0.116895
-0.00233826	3.01772	-0.0504204	-0.0534737	0.0163952	0.0166145	0.109504	0.117205
-0.00287036	3.10218	-0.0505578	-0.052921	0.0124034	0.0196754	0.10952	0.117523
-0.00288914	3.19143	-0.0506829	-0.0530212	0.0143042	0.0160426	0.109538	0.11785
-0.00221687	3.282	-0.0510936	-0.053964	0.0172874	0.0177344	0.109558	0.118187
-0.00157936	3.37814	-0.052117	-0.0550061	0.0144946	0.0177263	0.109579	0.118531
-0.00163996	3.47844	-0.0536562	-0.055873	0.0148782	0.0166906	0.109603	0.118884
-0.00146195	3.57921	-0.05503	-0.0566094	0.0143026	0.0192989	0.109628	0.119244
-0.00144274	3.69687	-0.0561104	-0.0577504	0.0164747	0.0163449	0.109655	0.119614
-0.00170517	3.8522	-0.0569378	-0.0583997	0.0128115	0.0189751	0.109687	0.119993
-0.000974841	4.00655	-0.0573901	-0.0588329	0.0141229	0.018491	0.109721	0.120381
-0.00118662	4.58327	-0.0577867	-0.0594919	0.0163575	0.0179748	0.109758	0.120781
0.000509138	8.6711	-0.058291	-0.0592658	0.0142728	0.0168989	0.109797	0.121189
0.000569968	8.80517	-0.057885	-0.0590716	0.0130141	0.0185354	0.109837	0.121605
0.000345514	8.90739	-0.0584149	-0.0579058	0.0140938	0.0169126	0.10988	0.122031
0.000860486	9.00816	-0.0580999	-0.05753	0.0135608	0.0188734	0.109927	0.122464
0.00174692	9.15454	-0.0587718	-0.0584263	0.0164612	0.0174616	0.109976	0.122908
0.00262217	9.26956	-0.0587873	-0.0579268	0.0165208	0.0186762	0.110027	0.123362
0.00228844	9.37692	-0.0591379	-0.057391	0.0154078	0.0176881	0.110082	0.123827
