jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.0277526	0.0217594	0.017543	0.214624	-0.167116	-0.165785	-0.16952	-0.167189
0.0270693	0.0261753	0.0208949	0.215206	-0.168682	-0.167115	-0.16604	-0.165585
0.0264647	0.0320153	0.0121405	0.213346	-0.169254	-0.166292	-0.168481	-0.166259
0.0205774	0.0241499	0.0231623	0.2242	-0.170454	-0.166465	-0.170814	-0.168756
0.0244753	0.0272897	0.0258899	0.228132	-0.169783	-0.167263	-0.169972	-0.166433
0.0220174	0.0225087	0.0213421	0.238756	-0.169637	-0.168464	-0.171014	-0.167096
0.0223783	0.0242022	0.0244283	0.238396	-0.168639	-0.166611	-0.16812	-0.166017
0.0248034	0.0356339	0.0117448	0.23453	-0.169562	-0.168909	-0.170484	-0.166769
0.0209768	0.0348978	0.014585	0.250414	-0.167858	-0.168352	-0.172069	-0.166878
0.0233545	0.0234292	0.0181067	0.245554	-0.169211	-0.16634	-0.170884	-0.169085
0.0205456	0.028933	0.0189845	0.254168	-0.168293	-0.167513	-0.169168	-0.168133
0.0187894	0.0189952	0.00806218	0.255211	-0.169914	-0.166684	-0.171991	-0.16501
0.0235891	0.0240205	0.0141256	0.270767	-0.171144	-0.171601	-0.169582	-0.165755
0.0215691	0.0262998	0.0259946	0.273165	-0.167055	-0.16698	-0.170282	-0.166694
0.0170814	0.0263313	0.0279075	0.2686	-0.171576	-0.166495	-0.169663	-0.169047
0.0187021	0.0296755	0.0135795	0.275542	-0.167789	-0.165359	-0.168484	-0.1684
0.026291	0.0222349	0.0313735	0.28349	-0.168974	-0.166596	-0.167763	-0.166474
0.0209871	0.0241451	0.0228344	0.294772	-0.169417	-0.165185	-0.169787	-0.166234
0.0225091	0.0174911	0.0115057	0.297773	-0.168591	-0.167177	-0.169163	-0.165604
0.0261006	0.0267239	0.0189355	0.288378	-0.17026	-0.16943	-0.168834	-0.167753
0.0241084	0.0145583	0.0166614	0.285883	-0.167583	-0.167064	-0.167988	-0.16725
0.0261261	0.0286556	0.0254125	0.31164	-0.170394	-0.169665	-0.168149	-0.166183
0.0181249	0.0235074	0.0243076	0.305146	-0.168548	-0.16672	-0.171531	-0.168969
0.0336201	0.03104	0.0273895	0.31336	-0.169005	-0.166506	-0.171131	-0.165756
0.0193222	0.0321061	0.0244512	0.318264	-0.167617	-0.169002	-0.170053	-0.168923
0.0267909	0.0233017	0.0282758	0.33175	-0.170572	-0.169365	-0.167598	-0.168504
0.0182758	0.0220252	0.00987463	0.316567	-0.169069	-0.169201	-0.171339	-0.167635
0.0301819	0.0239673	0.0252426	0.341031	-0.168734	-0.16937	-0.169784	-0.16542
0.0257756	0.0248259	0.0140137	0.342964	-0.172328	-0.168643	-0.169354	-0.169515
0.00791142	0.0184385	0.0212763	0.329681	-0.17115	-0.166613	-0.170172	-0.167629
0.0138665	0.0255442	0.0212308	0.337597	-0.168663	-0.1652	-0.170624	-0.166376
0.0342803	0.0338871	0.0347851	0.353276	-0.170504	-0.168052	-0.171847	-0.165436
0.0246194	0.0224282	0.0134809	0.358603	-0.169311	-0.169476	-0.171492	-0.167259
0.0144211	0.0128995	0.00494959	0.372868	-0.168769	-0.165267	-0.168397	-0.166743
0.0280711	0.0203723	0.0339061	0.364962	-0.165575	-0.168149	-0.168315	-0.16518
0.0223196	0.0310201	0.0339379	0.375237	-0.169559	-0.166563	-0.170661	-0.166768
0.0228875	0.0190454	0.00568048	0.374615	-0.169182	-0.167471	-0.170385	-0.168048
0.0227142	0.026177	0.0214225	0.365703	-0.167469	-0.16685	-0.16998	-0.165906
0.0197787	0.0292785	0.0101749	0.372457	-0.168603	-0.166874	-0.169139	-0.166238
0.0277474	0.00793744	0.0173815	0.374471	-0.169651	-0.168805	-0.169224	-0.168383
0.0357268	0.0225952	0.0273469	0.378906	-0.170992	-0.167499	-0.170971	-0.167052
0.024677	0.0256219	0.0065539	0.389137	-0.171335	-0.167768	-0.172411	-0.165735
0.0245473	0.0155662	0.0135166	0.392811	-0.169712	-0.167997	-0.170879	-0.16707
0.0208633	0.0192102	0.017463	0.411388	-0.172323	-0.167798	-0.168483	-0.168079
0.0341118	0.021252	0.0188995	0.402824	-0.169528	-0.166565	-0.173474	-0.169063
0.0226376	0.0212052	0.0161933	0.412138	-0.17068	-0.163685	-0.170623	-0.167428
0.0219158	0.0370551	0.0280198	0.406551	-0.167374	-0.1683	-0.169875	-0.166717
0.0297883	0.0190589	0.01723	0.419548	-0.168744	-0.166695	-0.171508	-0.164769
0.0123481	0.0129217	0.0228441	0.407776	-0.169085	-0.165499	-0.168296	-0.167097
0.0269533	0.0148039	0.0308907	0.416552	-0.171068	-0.165663	-0.170605	-0.166295
0.0240201	0.0305633	0.01289	0.411327	-0.169243	-0.166963	-0.169252	-0.168192
0.0215562	0.00735305	0.0297778	0.446408	-0.167439	-0.163496	-0.170265	-0.165126
