sub2	tbasej2	rp2033	rp3664b	rp3435	jlap1_34	jlap1_35	cur1_34	cur1_35	rp6778	rp6566	jlap1_65	jlap1_66	cur1_65	cur1_66
0.00113887	0.769453	-0.0577375	-0.0562918	-0.0585369	0.0393198	0.0354271	0.0106481	0.0150917	-0.0543272	-0.052304	0.0317223	0.0304059	0.0116875	0.013159
0.000806464	0.814822	-0.057613	-0.0562159	-0.0579583	0.0428871	0.0327056	0.0106663	0.0152703	-0.0542971	-0.0510986	0.0346597	0.0259304	0.0110506	0.014165
0.000516148	0.858824	-0.0573908	-0.056252	-0.0568889	0.0534054	0.0275175	0.00998748	0.0141544	-0.0542575	-0.0515369	0.0329392	0.0237611	0.0136755	0.0144713
0.000291249	0.902013	-0.0570499	-0.0562434	-0.0559848	0.0440688	0.0343506	0.00966207	0.0120564	-0.0542744	-0.0530699	0.0467483	0.0327649	0.01155	0.0143671
0.000115847	0.945265	-0.0566337	-0.0561175	-0.0556918	0.0552832	0.0404923	0.0107822	0.0120538	-0.0543587	-0.0545871	0.0370553	0.0418386	0.0123014	0.0149457
1.94E-05	0.988905	-0.0562519	-0.0559607	-0.0560349	0.0625044	0.0448749	0.0136704	0.0152787	-0.0545213	-0.0552445	0.0388462	0.0443492	0.0133618	0.0143716
5.71E-05	1.03312	-0.0560084	-0.0558926	-0.0566626	0.0648042	0.0331577	0.0112589	0.0125248	-0.0547357	-0.0548628	0.0342086	0.0453658	0.00938895	0.0146979
0.000212547	1.07777	-0.055935	-0.0559156	-0.0570665	0.0610612	0.0282252	0.0112558	0.0119981	-0.0548547	-0.0537936	0.0346672	0.0393448	0.0117566	0.0136051
0.000433506	1.12265	-0.0559887	-0.0559317	-0.0569253	0.0677772	0.0316162	0.0124425	0.01648	-0.0547475	-0.0527242	0.04422	0.0341409	0.0139365	0.0141061
0.000614399	1.16761	-0.0560913	-0.0558788	-0.056434	0.05872	0.0354732	0.0115992	0.0142061	-0.0545361	-0.0522567	0.0331564	0.0407695	0.00984629	0.013665
0.000687508	1.21208	-0.0561895	-0.055756	-0.0560504	0.0718415	0.0432897	0.0125013	0.0174144	-0.0544434	-0.052569	0.0383494	0.0473093	0.0128445	0.0113133
0.000725917	1.25587	-0.0562287	-0.0556143	-0.0560884	0.0688539	0.0384938	0.0111696	0.0164221	-0.0545562	-0.0533811	0.0359258	0.0646873	0.00960272	0.0162215
0.000650594	1.29937	-0.0561449	-0.0554574	-0.0565398	0.0709378	0.0337812	0.0107558	0.01395	-0.0547823	-0.0541812	0.0652459	0.0637172	0.0128509	0.0154419
0.00062489	1.34322	-0.0559957	-0.0552698	-0.0571055	0.0819311	0.0353917	0.0105719	0.015893	-0.0549777	-0.05455	0.0546249	0.0637731	0.0143389	0.0142305
0.000713058	1.38784	-0.0558615	-0.0552109	-0.0574295	0.0873078	0.050938	0.012006	0.0140685	-0.0551224	-0.0544202	0.0607302	0.0731083	0.0113292	0.0142627
0.000754097	1.43313	-0.0558317	-0.0552068	-0.0573954	0.091097	0.0413207	0.0096564	0.0138516	-0.0553179	-0.0540121	0.058611	0.0657171	0.0128112	0.0126425
0.000512864	1.47844	-0.0559512	-0.0552382	-0.0571575	0.0905766	0.0654216	0.0124222	0.0139237	-0.055641	-0.0536751	0.050109	0.0674997	0.0106509	0.0110759
-3.63E-05	1.52347	-0.0561005	-0.0553464	-0.0569811	0.08875	0.0672833	0.0113142	0.0137285	-0.0560028	-0.0536813	0.0720525	0.0813946	0.0130365	0.0120403
-0.000556842	1.56852	-0.0560314	-0.0555185	-0.0570442	0.0860489	0.070412	0.0144998	0.012987	-0.0561881	-0.05402	0.0684344	0.0711102	0.0105853	0.0143203
-0.000838134	1.61396	-0.0556546	-0.0556908	-0.0572958	0.0886911	0.0617958	0.0108293	0.0129696	-0.0561153	-0.0544277	0.0655184	0.0729053	0.0114939	0.00987641
-0.0010163	1.65979	-0.0552273	-0.0557842	-0.0574915	0.104021	0.0683651	0.0132558	0.0139756	-0.0559693	-0.0546737	0.0679119	0.0710217	0.0135337	0.0146144
-0.00140067	1.70568	-0.0550276	-0.0558657	-0.0574063	0.106885	0.0677911	0.0118744	0.0144383	-0.0560372	-0.0548128	0.0796002	0.0719262	0.0122467	0.013649
