rp1214	rp2232	sub1	lap1_20_samp	lap1_19_samp	lap1_18_samp	lap1_17_samp	cur1_21_samp	cur1_20_samp	cur1_19_samp	cur1_18_samp	cur1_17_samp	lap1_21_samp
-0.0622247	-0.0472997	0.0125316	0.0546448	0.0909582	0.102937	0.0778664	-0.00091814	-0.000810242	-0.000876473	-0.000680703	-0.000963865	0.0775136
-0.0621659	-0.0476916	0.011931	0.0558754	0.0934647	0.105586	0.0797367	-0.000804949	-0.000799739	-0.000759535	-0.000704945	-0.000812953	0.0794797
-0.0620334	-0.047936	0.011795	0.0571059	0.0959712	0.108234	0.0815734	-0.000824977	-0.000807481	-0.000898771	-0.00087024	-0.000603189	0.0814457
-0.0617079	-0.0479744	0.0118035	0.0583364	0.0984638	0.110883	0.0834102	-0.0010521	-0.000860158	-0.000794179	-0.00104285	-0.000571909	0.0834118
-0.0611834	-0.0478684	0.0114228	0.0595669	0.100948	0.113532	0.0852469	-0.000646262	-0.000669844	-0.000800449	-0.000563507	-0.00084107	0.0853779
-0.0607123	-0.0477074	0.0107141	0.0607974	0.103431	0.116181	0.0870836	-0.000771815	-0.000800319	-0.000853802	-0.000686202	-0.000975226	0.0873441
-0.0606423	-0.0476104	0.00999123	0.0620278	0.105915	0.11883	0.0889204	-0.000886521	-0.000848518	-0.00114563	-0.00099118	-0.000952062	0.0893101
-0.0609958	-0.0476521	0.00941536	0.0632583	0.108399	0.121479	0.0907571	-0.000809213	-0.000761416	-0.000878001	-0.00092589	-0.00080906	0.0912761
-0.0613951	-0.0478622	0.00939548	0.0644889	0.110883	0.124127	0.0925938	-0.000807149	-0.000787519	-0.00103125	-0.000790997	-0.000896095	0.0932422
-0.0614587	-0.0482205	0.00990638	0.0657195	0.113367	0.126767	0.0944305	-0.000633398	-0.000897027	-0.000600917	-0.000642393	-0.00068313	0.0952082
-0.0611161	-0.0485845	0.00971859	0.06695	0.11585	0.129404	0.0962673	-0.000738365	-0.000691669	-0.000869245	-0.000757073	-0.000905211	0.0971775
-0.060692	-0.048761	0.00835102	0.0681806	0.118334	0.132041	0.098104	-0.000814585	-0.000614991	-0.000981349	-0.000776793	-0.000808731	0.0991963
-0.0604619	-0.0486669	0.00670435	0.0694111	0.120818	0.134677	0.0999408	-0.000769326	-0.000868349	-0.000641286	-0.000696754	-0.00101936	0.10122
-0.0603615	-0.0485581	0.00575037	0.0706417	0.123302	0.137314	0.101777	-0.000901199	-0.000681929	-0.000697104	-0.000794204	-0.000629377	0.103244
-0.0602841	-0.0488613	0.00575329	0.0718723	0.125785	0.139951	0.103614	-0.000942542	-0.000831482	-0.000722377	-0.000893786	-0.000580091	0.105268
-0.0603119	-0.0495978	0.00608208	0.0731029	0.128269	0.142588	0.105451	-0.000833643	-0.000604059	-0.000654141	-0.000843203	-0.000827814	0.107293
-0.0603509	-0.0503596	0.00598838	0.0743335	0.13074	0.145224	0.107287	-0.000890383	-0.000650685	-0.000723662	-0.00106227	-0.00100629	0.109317
-0.0602183	-0.0508029	0.00551692	0.0755639	0.133102	0.147861	0.109124	-0.000955374	-0.000477662	-0.000712396	-0.000541345	-0.00060166	0.111341
-0.0602492	-0.0508537	0.00545827	0.0767945	0.135459	0.150498	0.110961	-0.000918914	-0.000642562	-0.000704287	-0.000898743	-0.000868913	0.113365
-0.0606869	-0.0507805	0.00563516	0.0780252	0.137815	0.153135	0.112747	-0.000788806	-0.000765372	-0.000816001	-0.00088465	-0.000945927	0.115389
-0.0606994	-0.0509808	0.00566204	0.0792556	0.140171	0.155771	0.114505	-0.000785238	-0.000810496	-0.00103367	-0.000774549	-0.000938188	0.117413
-0.0598558	-0.0515048	0.00532437	0.080493	0.142528	0.158413	0.116263	-0.000644981	-0.00103561	-0.000870457	-0.000758493	-0.000743697	0.119437
-0.0587834	-0.052079	0.00339522	0.0817836	0.144884	0.161057	0.11802	-0.00069764	-0.000584241	-0.000711409	-0.000803798	-0.000976571	0.121461
-0.0583083	-0.0525579	0.0021175	0.0830769	0.147241	0.1637	0.119778	-0.000760386	-0.000863182	-0.00099684	-0.000729109	-0.000884318	0.123485
-0.0586245	-0.0528712	0.00230346	0.0843702	0.149597	0.166344	0.121535	-0.000952826	-0.000639599	-0.000905659	-0.000767177	-0.00064507	0.125509
-0.059181	-0.0530989	0.00295401	0.0856636	0.151953	0.168988	0.123293	-0.000730018	-0.0011632	-0.00111245	-0.000838888	-0.000668956	0.127554
-0.0593457	-0.0533573	0.00361091	0.0869569	0.15431	0.171632	0.12505	-0.000979348	-0.00101087	-0.000853283	-0.000548625	-0.000896835	0.129704
-0.059111	-0.0535941	0.00390493	0.0882503	0.156666	0.174275	0.126808	-0.000757482	-0.000953012	-0.000859349	-0.000727084	-0.000747424	0.131857
-0.0591359	-0.0536776	0.0030471	0.0895437	0.159022	0.176919	0.128565	-0.00101351	-0.000850852	-0.000905011	-0.00078313	-0.000832151	0.13401
-0.0593162	-0.0536811	0.00125511	0.090837	0.161379	0.179563	0.130323	-0.00103402	-0.0011282	-0.000791992	-0.000829218	-0.00102393	0.136163
-0.0595781	-0.0539161	0.000254065	0.0921303	0.163735	0.182207	0.13208	-0.000860096	-0.000913191	-0.000929225	-0.000861891	-0.000682526	0.138317
-0.0597875	-0.0544631	0.000937626	0.0934237	0.166035	0.18485	0.133838	-0.00101311	-0.000768575	-0.000698503	-0.000913498	-0.00078135	0.14047
-0.0584514	-0.0550562	0.00190431	0.0947171	0.1682	0.187494	0.135595	-0.000939875	-0.000755988	-0.00080094	-0.000995387	-0.000902128	0.142623
-0.0575306	-0.0554131	0.00154538	0.0960105	0.170365	0.190168	0.137353	-0.000891091	-0.000903236	-0.00079664	-0.000708861	-0.000951065	0.144776
-0.0577459	-0.0554425	0.000808604	0.0973038	0.172531	0.19285	0.13911	-0.000844073	-0.000768387	-0.000768737	-0.000707371	-0.000802591	0.146929
-0.0582467	-0.0552927	0.00123527	0.0985971	0.174696	0.195532	0.140868	-0.000727435	-0.000936467	-0.000737253	-0.00105997	-0.000553305	0.149082
-0.0587481	-0.0551372	0.00203787	0.0998905	0.176861	0.198214	0.142629	-0.000524987	-0.00101744	-0.000731633	-0.000926487	-0.00083677	0.151235
-0.0589192	-0.0550143	0.00116948	0.101184	0.179026	0.200896	0.144435	-0.000688077	-0.000764922	-0.000826951	-0.000831648	-0.000716163	0.153388
-0.0580724	-0.0550253	-0.00122321	0.102477	0.181191	0.203578	0.146245	-0.000770219	-0.000893573	-0.000928312	-0.000890485	-0.000661594	0.155542
-0.0565398	-0.0552847	-0.00164505	0.103771	0.183356	0.20626	0.148054	-0.000485332	-0.000812476	-0.00104335	-0.000648868	-0.00075934	0.157696
-0.0558906	-0.0556365	-0.000851754	0.105064	0.185521	0.208942	0.149864	-0.000816922	-0.000893993	-0.000645269	-0.000892702	-0.000883971	0.159918
-0.0567889	-0.0558513	-0.00128784	0.106357	0.187686	0.211624	0.151674	-0.000713955	-0.000760101	-0.000664074	-0.00057517	-0.000747225	0.162155
-0.0577622	-0.0558579	-0.00175033	0.107651	0.189851	0.214306	0.153484	-0.000870154	-0.000674359	-0.000893536	-0.000868723	-0.000710903	0.164392
-0.0574735	-0.0559281	-0.00204328	0.108944	0.192016	0.216988	0.155294	-0.000899981	-0.00086578	-0.000929775	-0.000712794	-0.000785902	0.166628
-0.0570101	-0.0562015	-0.00355275	0.110237	0.194181	0.219692	0.157104	-0.000735205	-0.000813836	-0.000679908	-0.000759736	-0.000956011	0.168865
-0.0575422	-0.0563069	-0.00411888	0.111531	0.196346	0.22246	0.158914	-0.000738247	-0.000823525	-0.000632267	-0.000780755	-0.00100011	0.171102
-0.0582153	-0.0561774	-0.00411617	0.112831	0.198512	0.225229	0.160724	-0.000705841	-0.00090947	-0.000857597	-0.000792513	-0.000739603	0.173338
-0.0574974	-0.0563279	-0.00535439	0.114136	0.200675	0.227998	0.162534	-0.000613375	-0.000779831	-0.000486436	-0.000896469	-0.000877314	0.175575
-0.0556272	-0.0568504	-0.00570389	0.11544	0.202661	0.230767	0.164344	-0.00082753	-0.000782635	-0.000972633	-0.000913322	-0.00105124	0.177812
-0.0549137	-0.0565588	-0.0037402	0.116745	0.204593	0.233536	0.166154	-0.000743644	-0.000821141	-0.000753564	-0.000962848	-0.000796923	0.180049
-0.0552274	-0.0560792	-0.00293613	0.118049	0.206525	0.236305	0.167964	-0.00100222	-0.000997862	-0.000746297	-0.000914591	-0.000909572	0.182285
-0.0544492	-0.055737	-0.00410068	0.119354	0.208457	0.239074	0.169774	-0.000548685	-0.000626879	-0.000714214	-0.000915799	-0.000785861	0.184522
-0.0544153	-0.0561657	-0.00516023	0.120659	0.21039	0.241843	0.171584	-0.000864559	-0.000669204	-0.000661155	-0.000926064	-0.000786829	0.186759
