sub3	tbasej3	rp3444	rp6275b	lap2_61	lap2_62	cur2_61	cur2_62
0.00416566	-1.45655	-0.0564743	-0.0532141	0.128033	0.131928	0.00354737	0.004668
0.00381355	-1.40802	-0.0560412	-0.0522303	0.128319	0.132275	0.00444473	0.00467288
0.00298264	-1.3585	-0.055601	-0.0514353	0.128614	0.132632	0.00522574	0.0052463
0.00246504	-1.30682	-0.0552034	-0.0513899	0.128918	0.132997	0.00534101	0.00405827
0.00283582	-1.25465	-0.0549455	-0.0519628	0.129231	0.133372	0.00730156	0.00641584
0.00392123	-1.20297	-0.0549942	-0.0525292	0.129554	0.133756	0.00349032	0.00623085
0.00481794	-1.15032	-0.0554335	-0.0525977	0.129886	0.134152	0.00489298	0.00674905
0.00492873	-1.09516	-0.0560453	-0.0521241	0.130229	0.134557	0.00439104	0.00397186
0.00439547	-1.03821	-0.0563695	-0.0515516	0.130581	0.13497	0.00385788	0.00563876
0.00406464	-0.981849	-0.056181	-0.0512523	0.130945	0.135394	0.00502646	0.00337108
0.00474791	-0.927078	-0.0558041	-0.0514086	0.13132	0.135826	0.00705859	0.00639132
0.00580209	-0.869993	-0.0556761	-0.0516114	0.131705	0.136266	0.0051314	0.00622765
0.00692357	-0.804506	-0.0558612	-0.0511133	0.132098	0.136714	0.00542056	0.00565636
0.00763531	-0.730635	-0.05629	-0.0504879	0.132502	0.137173	0.0053299	0.00747364
0.00721125	-0.646028	-0.0569308	-0.0500072	0.132917	0.137641	0.00514173	0.00593792
0.00660904	-0.54012	-0.0574582	-0.0498229	0.133343	0.138119	0.00442985	0.00476062
0.00640013	-0.282649	-0.057345	-0.0501337	0.133778	0.138608	0.00809821	0.00704925
0.00683211	-0.146966	-0.0569249	-0.0503159	0.134224	0.139109	0.00232025	0.00309692
0.00599966	-0.00445147	-0.0568126	-0.0504125	0.134682	0.13962	0.00267039	0.00386139
0.00612067	0.143715	-0.0571315	-0.0502994	0.135153	0.140141	0.00509684	0.00515031
0.00563533	0.262282	-0.0568625	-0.0508629	0.135637	0.140674	0.00474764	0.00533504
0.0049654	0.365069	-0.0575683	-0.0514476	0.136133	0.141216	0.00217563	0.00531449
0.00503848	0.490746	-0.0572343	-0.051599	0.136643	0.14177	0.00445356	0.0068834
0.00444236	0.592026	-0.0574816	-0.0525162	0.137167	0.142331	0.0030424	0.00417786
0.00368748	0.665566	-0.0575541	-0.0525156	0.137705	0.142903	0.00677339	0.00646821
0.00329861	0.747182	-0.0572737	-0.0528313	0.138254	0.143486	0.00326414	0.00419887
0.00320687	0.852668	-0.0574561	-0.0537686	0.138817	0.14408	0.00196577	0.00605315
0.00389948	0.939896	-0.0574216	-0.0541229	0.139393	0.144685	0.00244198	0.00405206
0.00300836	1.01862	-0.0571172	-0.0539103	0.139982	0.145302	0.00348152	0.00484698
0.00348755	1.11551	-0.0573611	-0.0534616	0.140583	0.14593	0.00632797	0.00389569
0.00295764	1.24348	-0.0566575	-0.0536492	0.141197	0.146569	0.00479992	0.00495343
0.00251033	1.33352	-0.0569668	-0.0534793	0.141823	0.147221	0.00400823	0.00247719
0.0024928	1.41379	-0.0570114	-0.0540538	0.142464	0.147887	0.00444122	0.00559954
0.0020516	1.5	-0.0571249	-0.0546146	0.14312	0.148564	0.00305608	0.00509735
-0.00067142	1.6	-0.0570515	-0.0545587	0.143792	0.149254	0.00590317	0.00445152
0.000625504	1.7	-0.0569696	-0.054918	0.14448	0.149955	0.003535	0.00576489
				0.145182	0.150668	0.00530258	0.00334055
				0.145898	0.151392	0.00337522	0.0039231
				0.146627	0.152127	0.00509232	0.00373041
				0.14737	0.152874	0.00680233	0.00253164
				0.148128	0.153631	0.00260902	0.00401228
				0.148904	0.154399	0.00331535	0.00389862
				0.149697	0.155179	0.00346176	0.00682133
				0.150505	0.155973	0.00412149	0.00617266
				0.15133	0.156776	0.00344504	0.00479383
				0.152173	0.15759	0.00523604	0.00588857
				0.153031	0.158415	0.00572742	0.00245199
				0.153904	0.159252	0.00117143	0.00442193
				0.154792	0.160098	0.00591848	0.00398848
				0.155696	0.16095	0.00523534	0.00367901
				0.156614	0.161812	0.00623304	0.00363491
				0.157545	0.162683	0.00399539	0.00501669
				0.158492	0.163562	0.00452678	0.00653906
				0.159454	0.164448	0.00367073	0.0047399
				0.160431	0.165341	0.00574286	0.00628538
				0.161425	0.166241	0.00562599	0.00502574
				0.162433	0.167149	0.0065109	0.00460486
				0.163455	0.168066	0.00367035	0.00440477
				0.164493	0.16899	0.00535816	0.00544092
				0.165547	0.169922	0.00405911	0.00465201
				0.166614	0.170862	0.00477527	0.0061076
				0.167692	0.171812	0.00586316	0.00551435
				0.168783	0.172766	0.00685271	0.00465633
				0.169888	0.173727	0.00644328	0.00751244
				0.171005	0.174693	0.00450771	0.00471757
				0.172136	0.175665	0.00289066	0.0045073
				0.17328	0.176643	0.00407725	0.00263775
				0.174437	0.177628	0.00428638	0.00512641
				0.175604	0.17862	0.00325588	0.00373173
				0.176785	0.179619	0.00304649	0.00454564
				0.177977	0.180626	0.00557782	0.00378637
				0.179182	0.18164	0.00408295	0.00557323
				0.180397	0.182657	0.00654523	0.00647862
