frst3	nxt3	jsub3	jlap3	platv172	platv170
-0.0564801	-0.0589289	0.0036927	0.575247	-0.0550179	-0.0575392
-0.0557787	-0.0586427	0.00410781	0.7217	-0.0575091	-0.057957
-0.0556859	-0.0585463	0.00410417	0.806491	-0.057938	-0.057928
-0.0561242	-0.0587201	0.0038397	0.880729	-0.0578743	-0.0581438
-0.0571163	-0.0587726	0.00290012	0.966718	-0.0559851	-0.0575777
-0.0576551	-0.0586706	0.00225935	1.05116	-0.0563795	-0.056842
-0.0580592	-0.0580655	0.00125013	1.13765	-0.0587607	-0.0577168
-0.058473	-0.0575567	0.000327449	1.23861	-0.0580384	-0.0573915
-0.0587054	-0.0572614	-0.00020016	1.34458	-0.059329	-0.0570329
-0.0585096	-0.0574372	0.000171434	1.51665	-0.0590393	-0.058712
-0.0583579	-0.0577049	0.000590772	1.75628	-0.0588616	-0.0582821
-0.0582525	-0.057869	0.000860336	1.95795	-0.0594939	-0.0563364
-0.0581971	-0.0578835	0.000930206	2.04634	-0.0596583	-0.0583202
-0.0580189	-0.0578118	0.00103669	2.12016	-0.0593755	-0.0594869
-0.0580676	-0.0575558	0.000731933	2.25489	-0.0594017	-0.0578008
-0.0585576	-0.0574181	0.000104283	2.34997	-0.0597911	-0.0589865
-0.0590677	-0.0571927	-0.000631205	2.44169	-0.0590436	-0.0587334
-0.0592686	-0.0572226	-0.000802243	2.88842	-0.0571848	-0.058943
