frst0	nxt0	jsub0	jlap0	platv15
-0.0610197	-0.0599246	0.000983825	-4.22246	-0.0598915
-0.0611988	-0.0600705	0.00106156	-3.98515	-0.0600455
-0.0612311	-0.0601959	0.000957713	-3.49431	-0.0603906
-0.0613774	-0.060562	0.000795064	-3.23701	-0.0616715
-0.0611001	-0.0608081	0.000347298	-3.1357	-0.0596559
-0.0609859	-0.0611215	3.44327e-05	-3.0499	-0.0608752
-0.0610597	-0.0613151	-1.83166e-05	-2.91642	-0.0602807
-0.0617457	-0.061103	0.000820191	-2.83723	-0.0598326
-0.0621714	-0.0608239	0.00141688	-2.77052	-0.061767
-0.0621966	-0.0603235	0.0018682	-2.70282	-0.0622273
-0.0618207	-0.0603922	0.00143839	-2.64653	-0.0609615
-0.0617765	-0.0602618	0.00157807	-2.58989	-0.0628901
-0.0615971	-0.0605612	0.00118832	-2.5346	-0.0617397
-0.061507	-0.060265	0.00139559	-2.49007	-0.0613827
-0.061404	-0.0599406	0.00163479	-2.44702	-0.061339
-0.0610053	-0.0595529	0.0016498	-2.40032	-0.0599362
-0.0606952	-0.0595075	0.00142114	-2.35039	-0.0608439
-0.0607182	-0.0592871	0.00167652	-2.30829	-0.0594507
-0.0607391	-0.0590937	0.00191404	-2.2662	-0.0616652
-0.0605742	-0.0590964	0.00180921	-2.2228	-0.0604682
-0.060242	-0.0589989	0.0014486	-2.17849	-0.0608637
-0.0604167	-0.0588563	0.00171835	-2.13894	-0.0614152
-0.0605286	-0.0586241	0.00197191	-2.10179	-0.0627226
-0.0605977	-0.0586669	0.00209979	-2.06153	-0.0618475
-0.0607112	-0.0586029	0.00225448	-2.02055	-0.0620486
-0.0610226	-0.0584209	0.00283209	-1.97931	-0.060837
-0.0612481	-0.0579376	0.00355591	-1.94053	-0.0618216
-0.0614338	-0.0576658	0.00398603	-1.90231	-0.0597509
-0.0614043	-0.0576454	0.0039857	-1.86577	-0.0579147
-0.061247	-0.0575226	0.00386709	-1.82721	-0.0601877
-0.0608171	-0.0572999	0.00361103	-1.79089	-0.0606004
-0.0604395	-0.0566148	0.0037257	-1.75544	-0.0601566
-0.0600889	-0.0565669	0.00354941	-1.71749	-0.0603155
-0.0600419	-0.0566544	0.0033972	-1.68161	-0.058493
-0.0600558	-0.0570642	0.00303799	-1.64576	-0.0597719
-0.0602987	-0.05707	0.00312065	-1.61264	-0.0598959
-0.0603714	-0.0564878	0.00368312	-1.5777	-0.0577418
-0.0604282	-0.0560152	0.00414791	-1.54252	-0.057021
-0.060323	-0.0558973	0.00423118	-1.50952	-0.0579123
-0.0600832	-0.0562425	0.00395504	-1.47703	-0.0564993
-0.0602063	-0.0562108	0.00469027	-1.44318	-0.0582167
-0.0603887	-0.0556132	0.00562803	-1.41045	-0.0600525
-0.0606394	-0.0547657	0.00651071	-1.37938	-0.0591298
-0.0603197	-0.054588	0.00598044	-1.34642	-0.0582668
-0.0601327	-0.0548532	0.00549514	-1.31634	-0.0596616
-0.0601931	-0.055423	0.00512579	-1.28341	-0.0592204
-0.0603468	-0.0555721	0.00502436	-1.25359	-0.0580939
-0.060227	-0.055623	0.00458382	-1.22361	-0.0586858
-0.0599559	-0.0555223	0.00427186	-1.19245	-0.0595103
-0.0602122	-0.0551858	0.00468658	-1.16161	-0.0612993
-0.0603907	-0.054973	0.00498618	-1.13031	-0.0620388
-0.0607023	-0.0548956	0.00547437	-1.10217	-0.059932
-0.0604688	-0.0547094	0.00552482	-1.07213	-0.0583945
-0.0605483	-0.0544036	0.00595522	-1.04238	-0.0591316
-0.0606134	-0.0538426	0.006162	-1.0127	-0.0603753
-0.061045	-0.0533	0.0069008	-0.982221	-0.0607623
-0.0612533	-0.0531342	0.00730085	-0.95162	-0.0608652
-0.0613053	-0.0535602	0.00718245	-0.921492	-0.0611042
-0.0609741	-0.0536862	0.00679819	-0.89171	-0.06096
-0.0610349	-0.053057	0.00739004	-0.860154	-0.0605162
-0.0611249	-0.0519413	0.00847656	-0.828329	-0.0610541
-0.0609333	-0.0518602	0.00837764	-0.794706	-0.0598111
-0.0603307	-0.0522745	0.00746147	-0.759921	-0.0591982
-0.0599792	-0.0528402	0.00662391	-0.726502	-0.0596355
-0.0597504	-0.0529298	0.00646272	-0.689184	-0.0588249
-0.0596872	-0.0529023	0.00645704	-0.652673	-0.0596185
-0.0596559	-0.0534984	0.00615381	-0.616527	-0.0607547
-0.0600741	-0.0540531	0.00626934	-0.576745	-0.0595741
-0.0602094	-0.0539885	0.00642211	-0.539448	-0.0621291
-0.0602366	-0.052757	0.00738845	-0.500427	-0.0601443
-0.0604134	-0.052602	0.00814693	-0.463216	-0.0600159
-0.0607523	-0.0529223	0.00839487	-0.425607	-0.0603089
-0.0607871	-0.0532881	0.00806969	-0.384682	-0.060525
-0.0604507	-0.0524844	0.00779485	-0.342179	-0.061466
-0.0604109	-0.0520357	0.00829788	-0.300391	-0.0609412
-0.0606234	-0.052168	0.00861605	-0.256867	-0.0599109
-0.0609953	-0.0520683	0.00910658	-0.21354	-0.0604769
-0.061313	-0.0520143	0.00934363	-0.168109	-0.0355993
-0.0613145	-0.0518731	0.00940813	-0.119448	0.0570176
-0.0612695	-0.0517813	0.00974835	-0.0685457	0.0540759
-0.0610091	-0.0519272	0.00956674	-0.0194532	0.0520692
-0.0609179	-0.0521603	0.00922988	0.0339407	0.0481503
-0.0607457	-0.0525295	0.0084509	0.0851894	0.0485269
-0.0608012	-0.0532238	0.00765593	0.132921	0.0186015
-0.0608417	-0.0535255	0.0074664	0.186601	-0.0515976
-0.0610201	-0.0543459	0.0070652	0.245339	-0.056536
-0.0606847	-0.054039	0.00670161	0.305295	-0.054652
-0.0604152	-0.0545906	0.00586386	0.365722	-0.0576105
-0.0601493	-0.0551247	0.00511878	0.431898	-0.056911
-0.0602658	-0.0565291	0.00438601	0.506194	-0.058064
-0.060496	-0.0573016	0.00377385	0.602039	-0.0576482
-0.0606012	-0.0577996	0.00322064	0.758691	-0.0588959
-0.0605066	-0.0578011	0.00291565	0.842049	-0.0579436
-0.0600708	-0.0580873	0.00220104	0.921468	-0.0578017
-0.059531	-0.0585105	0.00128099	0.994168	-0.057969
-0.0594334	-0.0591322	0.000602668	1.07719	-0.0572424
-0.0591068	-0.0596952	-0.000164397	1.16293	-0.0555403
-0.0595213	-0.0601317	-0.000204537	1.20153	-0.0584196
-0.0598743	-0.0603813	-0.000199442	1.5711	-0.0595559
-0.0604567	-0.0603874	0.000297632	1.78259	-0.0584031
