frst0	nxt0	jsub0	jlap0	platv14	platv13	platv12
-0.0476308	-0.0633538	0.0152534	-0.0241662	0.0354989	0.0327212	0.0322814
-0.047246	-0.0634186	0.0157031	0.0350788	0.0344519	0.0332276	0.0280491
-0.046583	-0.0635906	0.0165381	0.0856416	0.0323212	0.0301789	0.0310555
-0.0462406	-0.0637198	0.0170097	0.139642	-0.0217607	0.029411	-0.0116819
-0.0469967	-0.0634255	0.0159593	0.201134	-0.0413407	-0.0415235	-0.0538955
-0.0490701	-0.0633931	0.0138534	0.261386	-0.044072	-0.0475016	-0.0546414
-0.050392	-0.0637175	0.0128558	0.316989	-0.0442665	-0.0439973	-0.0553902
-0.0509082	-0.0637866	0.0124089	0.369656	-0.0420287	-0.0446567	-0.0567364
-0.0509744	-0.0637989	0.0123549	0.433894	-0.044958	-0.0510607	-0.0578531
-0.0522721	-0.0635054	0.0107637	0.509209	-0.0459691	-0.0472905	-0.0582834
-0.0543666	-0.0632838	0.00844756	0.573664	-0.0506802	-0.0526742	-0.0599515
-0.0552443	-0.0631944	0.00748048	0.632965	-0.0505918	-0.0546304	-0.0605184
-0.0558982	-0.0630939	0.0067262	0.701014	-0.0533785	-0.0512072	-0.0605976
-0.0556884	-0.063018	0.00686007	0.773635	-0.0537751	-0.0557737	-0.0604023
-0.0554991	-0.0630403	0.00707157	0.841481	-0.0554893	-0.0512375	-0.0610078
-0.0557625	-0.0628035	0.00657144	0.908949	-0.0568271	-0.0552131	-0.0593869
-0.0566196	-0.0625216	0.00543242	0.984989	-0.0530275	-0.0548677	-0.0603593
-0.0585211	-0.0621043	0.00311363	1.06987	-0.056506	-0.0572063	-0.060232
-0.0591915	-0.0620768	0.00241577	1.15205	-0.0575382	-0.0555154	-0.0586219
-0.0595636	-0.061857	0.00182377	1.22438	-0.0576127	-0.0575554	-0.0604563
-0.0598165	-0.0618276	0.00154157	1.30842	-0.0550908	-0.057712	-0.0593728
-0.0605574	-0.0618184	0.000791401	1.41292	-0.057138	-0.0580221	-0.060209
-0.0607194	-0.0619071	0.000718216	1.51757	-0.0576824	-0.0586276	-0.0593233
-0.0608748	-0.0613721	2.77708e-05	1.61262	-0.0572329	-0.0580745	-0.0614704
-0.0613952	-0.0609356	-0.000929157	1.71103	-0.0568616	-0.0600598	-0.0601022
-0.0616956	-0.0607129	-0.00145231	1.81718	-0.0574332	-0.059827	-0.0596335
-0.0619885	-0.0607294	-0.00172866	1.94914	-0.0588712	-0.0607831	-0.0596435
-0.0618643	-0.0605108	-0.00182305	2.03608	-0.0582657	-0.0603446	-0.0593958
-0.0625115	-0.0606934	-0.00228762	2.12819	-0.0586619	-0.0593973	-0.0584903
-0.0627805	-0.0614624	-0.00178764	2.24291	-0.060697	-0.0619196	-0.0597379
-0.0633776	-0.0618891	-0.00195809	2.53901	-0.062281	-0.0623494	-0.059984
