frst1	nxt1	jsub1	jlap1	platv26	platv25	platv24
-0.0526668	-0.047246	-0.00347201	2.71788	-0.0796731	-0.0767807	-0.083899
-0.0527079	-0.046583	-0.00380866	2.77074	-0.0786848	-0.0790082	-0.0821945
-0.0529926	-0.0462406	-0.00356676	2.83	-0.0785472	-0.0809852	-0.0814752
-0.0534807	-0.0469967	-0.00371691	2.89315	-0.0797731	-0.0792246	-0.0777809
-0.0536258	-0.0490701	-0.00233018	2.95146	-0.0809235	-0.0771001	-0.0842083
-0.0544144	-0.050392	-0.00183246	3.00774	-0.0781947	-0.0771321	-0.0811432
-0.0543956	-0.0509082	-0.000489964	3.0657	-0.0802914	-0.0776128	-0.0822368
-0.0555282	-0.0509744	-0.00127074	3.13412	-0.0831611	-0.078117	-0.0795355
-0.0560217	-0.0522721	-0.00152042	3.20372	-0.0790422	-0.0834404	-0.0829139
-0.056893	-0.0543666	-0.00136955	3.26534	-0.0813026	-0.0810073	-0.0833952
-0.0573237	-0.0552443	-0.00117164	3.33099	-0.0788965	-0.0832969	-0.0855367
-0.0577139	-0.0558982	-0.000670827	3.40606	-0.0823057	-0.0796692	-0.0822577
-0.0581017	-0.0556884	-0.00129767	3.47947	-0.0821296	-0.081402	-0.0845258
-0.0586772	-0.0554991	-0.00130911	3.54301	-0.080215	-0.0819496	-0.0873313
-0.0592015	-0.0557625	-0.0016737	3.61065	-0.0828728	-0.0835109	-0.085804
-0.0600295	-0.0566196	-0.00155957	3.68546	-0.075676	-0.0838717	-0.0849357
-0.0605941	-0.0585211	-0.00149444	3.76029	-0.0590168	-0.0625476	-0.0632533
-0.0616382	-0.0591915	-0.00182766	3.82963	-0.0613578	-0.0580182	-0.0582611
-0.0622492	-0.0595636	-0.00205061	3.9083	-0.0611186	-0.0613633	-0.0612377
-0.0627747	-0.0598165	-0.00201241	4.0012	-0.0618994	-0.060991	-0.0627993
-0.0629008	-0.0605574	-0.0015889	4.09897	-0.0609324	-0.0625546	-0.064792
-0.0632142	-0.0607194	-0.0018383	4.18765	-0.0606951	-0.0621698	-0.0639667
-0.0634911	-0.0608748	-0.00181209	4.26445	-0.0602407	-0.0621123	-0.0642802
-0.0637928	-0.0613952	-0.00184617	4.36013	-0.0603706	-0.0608607	-0.0633889
-0.0640997	-0.0616956	-0.00170429	4.46872	-0.0623051	-0.0631692	-0.0638323
-0.0644873	-0.0619885	-0.00185703	4.55493	-0.0618416	-0.062992	-0.0658341
-0.0647896	-0.0618643	-0.00193385	4.7478	-0.062617	-0.063448	-0.0642764
-0.0651882	-0.0625115	-0.00167134	4.88006	-0.0629345	-0.0634216	-0.0607036
-0.065715	-0.0627805	-0.00175478	5.03907	-0.0616897	-0.063673	-0.066461
-0.0659522	-0.0633776	-0.00147032	5.27109	-0.0631926	-0.0644947	-0.0647832
