frst1	nxt1	jsub1	jlap1	platv55	platv54
-0.0526697	-0.0575181	0.00604839	-1.15026	-0.0461597	-0.0527673
-0.0520152	-0.0576421	0.00682687	-1.05226	-0.0482451	-0.0556242
-0.050781	-0.0580013	0.00842036	-0.929924	-0.0516703	-0.0554272
-0.04978	-0.0580394	0.00945938	-0.812943	-0.0493734	-0.0565102
-0.0497565	-0.0582652	0.00970873	-0.738389	-0.0507213	-0.0573218
-0.0495469	-0.0585048	0.0101579	-0.659852	-0.0511598	-0.0573258
-0.0494574	-0.0588429	0.0105855	-0.567701	-0.0518044	-0.058674
-0.0491065	-0.0591329	0.0112264	-0.485773	-0.0487962	-0.0577466
-0.049087	-0.0593814	0.0114944	-0.418446	-0.0487982	-0.0571579
-0.0490082	-0.0595654	0.0117571	-0.323909	-0.0508993	-0.0590552
-0.0491396	-0.0595623	0.0116227	-0.258505	-0.0477146	-0.0599423
-0.0494531	-0.0598414	0.0115883	-0.200706	-0.0386833	-0.0608858
-0.0500113	-0.060189	0.0113777	-0.139418	0.0381547	0.0179572
-0.0498961	-0.0604533	0.0117572	-0.0821223	0.0388315	0.0385924
-0.0502405	-0.0603764	0.0113359	-0.0344521	0.0385008	0.0325837
-0.0505016	-0.060389	0.0110874	0.0126422	0.0345639	0.0318881
-0.0516464	-0.0606837	0.0102372	0.0570593	0.0371883	0.0297238
-0.0515598	-0.0611184	0.0107585	0.0996419	0.033613	0.0264158
-0.0518648	-0.0612318	0.010567	0.141918	0.0151498	-0.0372745
-0.0519712	-0.0611272	0.0103561	0.183772	-0.0491044	-0.055532
-0.0525864	-0.0609911	0.00960478	0.225562	-0.0528289	-0.0571978
-0.0524303	-0.0610476	0.0098173	0.265325	-0.0535028	-0.0568067
-0.0527748	-0.0611614	0.00958653	0.301982	-0.0507969	-0.0556004
-0.0528043	-0.0609325	0.00932815	0.33636	-0.0478556	-0.0579776
-0.0531529	-0.0606668	0.0087139	0.371329	-0.0497812	-0.0563456
-0.0529898	-0.0602186	0.00842878	0.40688	-0.0521269	-0.058162
-0.0535222	-0.0601699	0.0078477	0.442395	-0.0526972	-0.0570589
-0.0541887	-0.0601819	0.00719326	0.477394	-0.0527821	-0.0568293
-0.0545909	-0.0600366	0.00664566	0.509664	-0.0544259	-0.0580561
-0.054777	-0.0598831	0.00630604	0.545369	-0.052952	-0.057699
-0.0545195	-0.0599731	0.00665355	0.579459	-0.0527167	-0.0572447
-0.0545567	-0.0599194	0.00656273	0.611822	-0.0511907	-0.0579203
-0.0549896	-0.0597438	0.00595417	0.645047	-0.0520234	-0.0573554
-0.0553663	-0.0593461	0.00517984	0.679466	-0.0532809	-0.0585821
-0.0557786	-0.059111	0.00453234	0.714717	-0.0548487	-0.0543054
-0.055983	-0.0588748	0.0040918	0.750205	-0.0574009	-0.0560225
-0.0568236	-0.0586668	0.00304316	0.785405	-0.0553997	-0.0568328
-0.0569128	-0.0585293	0.00281657	0.818054	-0.0571112	-0.0573104
-0.0567344	-0.0582221	0.00268776	0.854647	-0.0507711	-0.0527904
-0.0561379	-0.0580083	0.00307039	0.889662	-0.0570663	-0.0549907
-0.0556068	-0.057745	0.00333821	0.924807	-0.0782118	-0.0728372
-0.0557295	-0.0576592	0.00312969	0.959571	-0.0775292	-0.0790461
-0.0557236	-0.0572183	0.00269466	0.995145	-0.0804388	-0.0818993
-0.056452	-0.0569427	0.00169074	1.03228	-0.0794444	-0.0797259
-0.0566452	-0.0564161	0.000970853	1.06966	-0.0781634	-0.0792443
-0.0570965	-0.0559335	3.7e-05	1.10805	-0.0786344	-0.0753867
-0.0570794	-0.0557457	-0.000133671	1.1455	-0.0784552	-0.0786536
-0.0569572	-0.0555239	-0.000233356	1.18369	-0.0774841	-0.0800354
-0.056763	-0.0555629	-9.99245e-08	1.2234	-0.0753338	-0.0744476
-0.0562189	-0.055209	0.00019013	1.26071	-0.0788972	-0.0763071
-0.0563889	-0.0551337	-5.52117e-05	1.29712	-0.0760856	-0.0785449
-0.0570237	-0.0549948	-0.000828844	1.3337	-0.0774153	-0.0794818
-0.0578373	-0.0546686	-0.00196865	1.37154	-0.0795844	-0.077593
-0.0578517	-0.0540353	-0.00261641	1.40921	-0.0787039	-0.0780679
-0.0572936	-0.0534339	-0.00265966	1.44492	-0.0793298	-0.0796364
-0.0569989	-0.0532865	-0.00251243	1.48131	-0.0808093	-0.0770722
-0.0569139	-0.0534244	-0.00228954	1.51705	-0.0801034	-0.0783358
-0.0569199	-0.0533244	-0.00239552	1.55522	-0.0765833	-0.0783634
-0.0569852	-0.0528528	-0.00293243	1.59136	-0.0823248	-0.078302
-0.056999	-0.0524292	-0.00336977	1.6285	-0.0792509	-0.0759779
-0.0567457	-0.0522246	-0.00332104	1.66583	-0.0793846	-0.0771885
-0.0562037	-0.0525736	-0.00243007	1.70354	-0.0763852	-0.0808246
-0.0561294	-0.053198	-0.00173133	1.74334	-0.0805614	-0.0797666
-0.0565902	-0.0535717	-0.00181857	1.7839	-0.0813629	-0.0792363
-0.0573159	-0.0536799	-0.00243602	1.82138	-0.0786282	-0.0775789
-0.0577554	-0.0528906	-0.00366478	1.86097	-0.0821173	-0.0783465
-0.058186	-0.0529194	-0.00406659	1.90263	-0.076071	-0.0787493
-0.0584344	-0.0533104	-0.00392397	1.9431	-0.0824464	-0.0773101
-0.0584413	-0.054017	-0.00322427	1.98425	-0.0815276	-0.077079
-0.0586606	-0.0543025	-0.00315816	2.0244	-0.0771242	-0.0780306
-0.058645	-0.0544252	-0.00301979	2.06737	-0.0821971	-0.081482
-0.0588186	-0.054639	-0.00297961	2.11224	-0.0806086	-0.0804651
-0.0584249	-0.0547929	-0.00243196	2.15777	-0.0799166	-0.081028
-0.0585406	-0.0548939	-0.00244668	2.20664	-0.081563	-0.0785525
-0.0588178	-0.0552353	-0.00238243	2.25335	-0.0817957	-0.0806951
-0.0593136	-0.055702	-0.00241152	2.30352	-0.0799476	-0.0808292
-0.059901	-0.0563143	-0.00238671	2.37346	-0.0832525	-0.0819449
-0.0601198	-0.0568675	-0.00205233	2.45713	-0.0821276	-0.0791177
-0.0603263	-0.0571802	-0.00194609	2.52418	-0.0823087	-0.0798213
-0.0599223	-0.057316	-0.0014063	2.59336	-0.0845689	-0.0806299
-0.0601599	-0.0572753	-0.00168458	2.66889	-0.0820157	-0.0823789
-0.0600223	-0.0571254	-0.00169683	2.73924	-0.0839949	-0.0808868
-0.0603526	-0.0572508	-0.00190175	2.79978	-0.0830324	-0.0829404
-0.060363	-0.0576743	-0.0014887	2.8637	-0.084828	-0.0825774
-0.0606031	-0.0583968	-0.00100625	2.94993	-0.083624	-0.0837404
-0.0607269	-0.0585754	-0.000951585	3.0183	-0.0842244	-0.0828754
-0.0607627	-0.0586515	-0.00091115	3.07915	-0.0800922	-0.0816171
-0.0605082	-0.0588421	-0.000466113	3.14832	-0.062136	-0.0696483
