frst2	nxt2	jsub2	jlap2	platv54	platv53	platv52	platv51	platv50
-0.0590817	-0.0578472	-0.000634472	1.88789	-0.0495247	-0.0515809	-0.0552111	-0.0531995	-0.0518015
-0.0595242	-0.0571789	-0.00174533	1.94316	-0.0535703	-0.0522839	-0.0552938	-0.0509014	-0.0490951
-0.0597374	-0.0570412	-0.0020962	1.9948	-0.051244	-0.0523272	-0.0522813	-0.0524758	-0.0522256
-0.059502	-0.0566602	-0.00224176	2.0408	-0.0527249	-0.0522839	-0.0506463	-0.050679	-0.0508017
-0.0587269	-0.0563676	-0.00175931	2.0875	-0.0503781	-0.0525684	-0.0536838	-0.054794	-0.0489855
-0.0579735	-0.0553752	-0.00199831	2.14174	-0.0448371	-0.0501021	-0.0524256	-0.0543811	-0.0490892
-0.0575669	-0.0542489	-0.00271798	2.20058	-0.0500246	-0.052671	-0.0537993	-0.0506526	-0.0429014
-0.0569066	-0.0539033	-0.00240333	2.25243	-0.0449274	-0.0483992	-0.0515804	-0.0521552	-0.051307
-0.0567134	-0.0531698	-0.00294359	2.29888	-0.0464894	-0.047067	-0.0496183	-0.04877	-0.0494995
-0.0562968	-0.0533848	-0.00231198	2.35241	-0.0459641	-0.0511632	-0.0505856	-0.0488462	-0.0442537
-0.0558419	-0.0533064	-0.00193549	2.41792	-0.0410453	-0.0447908	-0.0461654	-0.0537613	-0.0455683
-0.0551	-0.0532502	-0.0012498	2.47216	-0.0468998	-0.0446624	-0.0511652	-0.0452769	-0.0450665
-0.0543969	-0.0531195	-0.00067733	2.51869	-0.0434722	-0.0485069	-0.0457043	-0.0483341	-0.0501198
-0.0539926	-0.0525029	-0.000889776	2.56583	-0.0473497	-0.0413443	-0.0466458	-0.0483397	-0.0433859
-0.0538727	-0.0525232	-0.000749421	2.62337	-0.0419803	-0.0468792	-0.0476792	-0.0434735	-0.0459094
-0.0541842	-0.0522922	-0.00129203	2.68964	-0.0384267	-0.0450683	-0.0483701	-0.0459711	-0.041843
-0.0539014	-0.0526668	-0.000634573	2.74572	-0.0405735	-0.0455259	-0.0521157	-0.0446998	-0.0402157
-0.0541	-0.0527079	-0.000792096	2.79744	-0.0441399	-0.0448056	-0.0456185	-0.0426335	-0.0425962
-0.0532684	-0.0529926	0.000324257	2.85949	-0.0437121	-0.0419281	-0.047163	-0.0458721	-0.0471287
-0.0541362	-0.0534807	-5.54409e-05	2.92433	-0.0450795	-0.0455215	-0.0459604	-0.0421322	-0.0462385
-0.0538435	-0.0536258	0.000382318	2.97833	-0.0405006	-0.0410247	-0.0477655	-0.0408761	-0.0415851
-0.0551946	-0.0544144	-0.000180197	3.03004	-0.0403987	-0.0485442	-0.0464469	-0.0439634	-0.0417296
-0.0550883	-0.0543956	-9.26453e-05	3.08899	-0.045516	-0.0447037	-0.0478508	-0.0439095	-0.0468283
-0.0565349	-0.0555282	-0.000406734	3.16016	-0.0510152	-0.0469717	-0.0441427	-0.0404205	-0.0421788
-0.0561112	-0.0560217	0.000510531	3.2256	-0.0435449	-0.0474805	-0.045558	-0.0484567	-0.0511642
-0.0574041	-0.056893	8.88895e-05	3.2821	-0.0464693	-0.0468229	-0.0455892	-0.0412159	-0.0508339
-0.0579513	-0.0573237	-2.7589e-05	3.34412	-0.0411659	-0.0478583	-0.046403	-0.0472086	-0.0502867
-0.0600482	-0.0577139	-0.00173433	3.41741	-0.0486849	-0.041103	-0.0422098	-0.0486549	-0.0455132
-0.0609732	-0.0581017	-0.00227159	3.486	-0.0470277	-0.045884	-0.0501928	-0.0454808	-0.0495032
-0.0611735	-0.0586772	-0.00189635	3.5474	-0.0510429	-0.0422103	-0.0476191	-0.0520623	-0.0540692
-0.0617601	-0.0592015	-0.00195863	3.61354	-0.0516421	-0.0541194	-0.054291	-0.0472913	-0.0475404
-0.0622376	-0.0600295	-0.00160804	3.6878	-0.0547859	-0.0507832	-0.0453732	-0.0529446	-0.0518109
-0.0634741	-0.0605941	-0.00228004	3.75885	-0.0499625	-0.0544108	-0.0530463	-0.0515452	-0.0505995
-0.0637537	-0.0616382	-0.00151553	3.82432	-0.0527277	-0.051201	-0.051924	-0.0542797	-0.054845
-0.0641175	-0.0622492	-0.00126824	3.90214	-0.0545459	-0.0534655	-0.0538146	-0.0530651	-0.0512154
-0.0643196	-0.0627747	-0.000944914	4.00091	-0.0541461	-0.0529284	-0.0529483	-0.0543592	-0.0503582
-0.0648135	-0.0629008	-0.00131262	4.1011	-0.0521868	-0.0532474	-0.0542123	-0.0547996	-0.0553059
-0.0649992	-0.0632142	-0.00118498	4.19144	-0.0537576	-0.0545454	-0.0543154	-0.056276	-0.0551593
-0.0652338	-0.0634911	-0.00114271	4.28241	-0.0540335	-0.0546203	-0.0526166	-0.0532118	-0.0546369
-0.0654262	-0.0637928	-0.00103347	4.37698	-0.0535782	-0.0549114	-0.0548295	-0.055302	-0.0555546
-0.0656829	-0.0640997	-0.000983131	4.46909	-0.0537773	-0.0555022	-0.055861	-0.0564426	-0.0560869
-0.0657651	-0.0644873	-0.000677748	4.5501	-0.0548707	-0.0540491	-0.0513474	-0.0536938	-0.0551349
-0.0657229	-0.0647896	-0.000333357	4.63493	-0.0546732	-0.0543746	-0.0526149	-0.0549535	-0.0552096
-0.0661385	-0.0651882	-0.000350214	4.72904	-0.0550039	-0.054105	-0.0538376	-0.0554453	-0.0560111
-0.0664043	-0.065715	-8.93673e-05	4.82327	-0.0550727	-0.0546028	-0.0540104	-0.0551795	-0.0557059
-0.0667269	-0.0659522	-0.000174698	5.17096	-0.0555159	-0.05428	-0.055669	-0.0548198	-0.0542552
