Vm1_35b_samp	Vm1_29b_samp	Vm1_24b_samp
-0.0604066	-0.0601925	-0.0556698
-0.0604441	-0.0601883	-0.0557153
-0.0604542	-0.0601919	-0.0557563
-0.0605242	-0.0601555	-0.0557621
-0.0604652	-0.0601742	-0.0557315
-0.0604159	-0.0601066	-0.0557455
-0.0604337	-0.0600061	-0.0558317
-0.0604732	-0.0599058	-0.0558452
-0.0604636	-0.0598876	-0.0558063
-0.0604848	-0.059883	-0.0558194
-0.0604733	-0.0598462	-0.0558285
-0.0605229	-0.0598099	-0.055859
-0.0605776	-0.0598028	-0.0558688
-0.0606147	-0.0597714	-0.0559138
-0.0606092	-0.0596846	-0.0559806
-0.0606007	-0.059689	-0.0559433
-0.0606474	-0.0596459	-0.0560171
-0.0606626	-0.0596544	-0.0559764
-0.0606517	-0.0595805	-0.0560125
-0.0606457	-0.0595263	-0.0560297
-0.0606696	-0.059485	-0.0560807
-0.0606556	-0.0594572	-0.0561416
-0.0605669	-0.0593923	-0.0561959
-0.0604756	-0.0592834	-0.0561939
-0.0604527	-0.0592627	-0.0561424
-0.0604777	-0.0592818	-0.0561334
-0.0605642	-0.059332	-0.0560844
-0.0605873	-0.0593466	-0.0561781
-0.0606065	-0.0593241	-0.0561859
-0.0606568	-0.0593281	-0.0561525
-0.0605937	-0.0593183	-0.0560996
-0.0606427	-0.0593037	-0.0561974
-0.0607642	-0.0592554	-0.0561945
-0.0607783	-0.0592685	-0.0561551
-0.0607372	-0.0592744	-0.0561374
-0.060688	-0.0592507	-0.0560934
-0.0606781	-0.0592677	-0.0561003
-0.0607806	-0.0592671	-0.0561028
-0.0607674	-0.0593136	-0.0561158
-0.0607702	-0.0592324	-0.0561002
-0.0607691	-0.0591724	-0.0560831
-0.0607866	-0.0592233	-0.0560978
-0.060747	-0.0592367	-0.0561038
-0.0607089	-0.0592041	-0.0561156
-0.0607843	-0.0591832	-0.0561222
-0.0608236	-0.059172	-0.0562272
-0.0607728	-0.0592082	-0.0562488
-0.0607803	-0.0591864	-0.0562307
-0.0608094	-0.0591956	-0.0562348
-0.0607689	-0.059248	-0.0562614
-0.0607595	-0.0592265	-0.0562983
-0.0607449	-0.0592323	-0.0564203
-0.0607457	-0.0592512	-0.0564026
-0.0607673	-0.0592675	-0.0564729
-0.0607629	-0.0592639	-0.0565277
-0.0608149	-0.0592781	-0.0565544
-0.0608082	-0.0592941	-0.0566244
-0.0607258	-0.0593137	-0.0566547
-0.0607271	-0.0593789	-0.0566498
-0.0606711	-0.0593856	-0.0566984
-0.060671	-0.0594713	-0.0567661
-0.060722	-0.0594516	-0.0567555
-0.0607007	-0.0594398	-0.0567438
-0.06063	-0.0595055	-0.0568091
-0.0605897	-0.0595004	-0.0568461
-0.0606635	-0.0595173	-0.0568573
-0.0606504	-0.0595561	-0.0568414
-0.0606023	-0.0595476	-0.0569141
-0.0605677	-0.059583	-0.0568889
-0.0605945	-0.0595899	-0.0569999
-0.0605703	-0.0595472	-0.0571379
-0.060553	-0.0595506	-0.0571636
-0.0605836	-0.0595959	-0.0571028
-0.0605818	-0.0596362	-0.0571195
-0.0605859	-0.059646	-0.0571112
-0.0606217	-0.0595813	-0.0571269
-0.0605455	-0.0596149	-0.057165
-0.0605613	-0.0596313	-0.0572283
-0.0605883	-0.0596664	-0.0572715
-0.0605637	-0.0596673	-0.0572952
-0.060492	-0.0596919	-0.0573066
-0.0604974	-0.0596306	-0.0573027
-0.0605192	-0.0596039	-0.0573243
-0.0605402	-0.0595897	-0.0573244
-0.0605333	-0.0596507	-0.0573237
-0.0604831	-0.059647	-0.0573369
-0.0604285	-0.0596411	-0.0573525
-0.0605	-0.05968	-0.0573935
-0.0604781	-0.0597114	-0.0574348
-0.060445	-0.0596887	-0.0574417
-0.0604334	-0.0596742	-0.0574882
-0.0604339	-0.0596431	-0.057563
-0.060494	-0.0596759	-0.0575665
-0.060516	-0.0596647	-0.0576156
-0.0605624	-0.0596134	-0.0576232
-0.0605609	-0.0595935	-0.0576126
-0.0605503	-0.0595688	-0.0575904
-0.0605973	-0.0596537	-0.0575583
-0.0605648	-0.059667	-0.0575557
-0.0605066	-0.0596085	-0.0575769
-0.0605444	-0.0596382	-0.0576045
-0.0605368	-0.0595892	-0.0575442
-0.0604813	-0.0596043	-0.0574833
-0.0605615	-0.0595936	-0.0574797
-0.0605455	-0.059552	-0.0574144
-0.0605805	-0.0595085	-0.0573838
-0.060563	-0.0595051	-0.0574473
-0.0605737	-0.0595203	-0.0574603
-0.0605597	-0.059468	-0.0574443
-0.0606148	-0.0594421	-0.0574492
-0.0606393	-0.0594788	-0.0574411
-0.0606344	-0.0594683	-0.0574637
-0.0606073	-0.0594137	-0.0574147
-0.0606154	-0.0594264	-0.0573958
-0.0606462	-0.0595096	-0.0573752
-0.0606197	-0.0594703	-0.0573115
-0.0606703	-0.0595244	-0.057316
-0.0606847	-0.059526	-0.0573349
-0.0606514	-0.0595463	-0.0573239
-0.0606419	-0.0595699	-0.0573408
-0.0606337	-0.0595965	-0.0573166
-0.0606607	-0.0596136	-0.0573223
-0.0606569	-0.0596503	-0.0573004
-0.0606794	-0.0597202	-0.0573257
-0.0606667	-0.0597031	-0.0572925
-0.0607011	-0.0597258	-0.0572662
-0.0606056	-0.0597422	-0.0572331
-0.0605563	-0.05973	-0.0572059
-0.060544	-0.0597353	-0.0572264
-0.0605471	-0.0597803	-0.0572472
-0.0605885	-0.0597463	-0.0572805
-0.0606321	-0.0597439	-0.0572731
-0.0606354	-0.0596904	-0.0572503
-0.0606001	-0.0596709	-0.0572192
-0.060609	-0.0597237	-0.0572004
-0.0605591	-0.0597004	-0.0571675
-0.0605686	-0.0596602	-0.0571272
-0.0605598	-0.059621	-0.0571097
-0.0605834	-0.0596945	-0.0570631
-0.0605434	-0.0597048	-0.057054
-0.0605157	-0.0596738	-0.0570738
-0.0605498	-0.0596152	-0.057043
-0.0606195	-0.0596489	-0.0570176
-0.0606622	-0.0596124	-0.0569983
-0.0606718	-0.059552	-0.0569616
-0.0606541	-0.0595386	-0.0570074
-0.0606453	-0.0594813	-0.057027
-0.0606258	-0.0594605	-0.0570504
-0.0606733	-0.0594877	-0.0570935
-0.0606998	-0.0593962	-0.0571333
-0.060708	-0.0593795	-0.0571091
-0.0607425	-0.0593804	-0.0571005
-0.06076	-0.0593601	-0.0571151
-0.0608188	-0.0593806	-0.0571024
-0.0607612	-0.0593726	-0.0570877
-0.0607933	-0.0594047	-0.0570341
-0.0607978	-0.0593549	-0.057036
-0.0607538	-0.0593049	-0.0570356
-0.0607541	-0.0592464	-0.0570339
-0.0608019	-0.0592392	-0.0570584
-0.0607846	-0.0592795	-0.0570779
-0.0607436	-0.0593073	-0.0570655
-0.0607423	-0.0593674	-0.057109
-0.06076	-0.0594029	-0.0570633
-0.0607875	-0.059414	-0.0570405
-0.0608066	-0.059449	-0.0570303
-0.0608437	-0.0594199	-0.0570262
-0.0608993	-0.0594421	-0.0570606
-0.0609379	-0.0594272	-0.0570143
-0.0609781	-0.0594005	-0.0570123
-0.0610182	-0.0593412	-0.0570976
-0.0609777	-0.059302	-0.0571169
-0.0609767	-0.0592997	-0.0570972
-0.0609904	-0.0592469	-0.0571586
-0.0609242	-0.0592204	-0.0571492
-0.0609043	-0.0592077	-0.0571363
-0.060899	-0.0591381	-0.0572052
-0.0609251	-0.0591283	-0.0572321
-0.0609312	-0.059083	-0.0573056
-0.0609612	-0.0589482	-0.0573228
-0.0609439	-0.0589757	-0.0573146
-0.0609826	-0.0590425	-0.0573068
-0.0610474	-0.0590585	-0.0572642
-0.0610422	-0.0590204	-0.0572791
-0.0611048	-0.05901	-0.0572788
-0.0611685	-0.0589975	-0.0572022
-0.0611846	-0.05899	-0.057197
-0.0612418	-0.0590085	-0.0571896
-0.061238	-0.0589879	-0.0572305
-0.0612266	-0.058942	-0.0573073
-0.0612526	-0.0589233	-0.0573072
-0.0612253	-0.0589902	-0.0573282
-0.0612231	-0.059037	-0.0573368
-0.0612223	-0.0590133	-0.0573277
-0.0612542	-0.0590385	-0.0572984
-0.0612671	-0.059056	-0.0572912
-0.0613137	-0.0590476	-0.0573047
-0.0612935	-0.059055	-0.0572841
-0.0613128	-0.0590521	-0.0573804
-0.0613327	-0.0590841	-0.0573938
-0.0613598	-0.0591232	-0.0574061
-0.0612853	-0.0591927	-0.0574126
-0.061253	-0.0592333	-0.057377
-0.0612597	-0.0592298	-0.0574337
-0.0612875	-0.0592373	-0.0574738
-0.0612819	-0.0591572	-0.0574527
-0.0612658	-0.0591494	-0.0574234
-0.0612218	-0.0591785	-0.0574202
-0.0612014	-0.0591738	-0.0574647
-0.0612287	-0.0592617	-0.0574846
-0.0611633	-0.0592527	-0.0575053
-0.0611555	-0.059277	-0.0574929
-0.0611261	-0.059257	-0.0574741
-0.0611029	-0.0592395	-0.0575049
-0.0611363	-0.0592649	-0.0575169
-0.0611329	-0.0592528	-0.0574733
-0.0611181	-0.0592033	-0.0574641
-0.0611235	-0.0591179	-0.0574891
-0.0610931	-0.0591032	-0.0574229
-0.0611197	-0.0590685	-0.0574314
-0.0611103	-0.0590976	-0.0574747
-0.0610819	-0.059076	-0.057411
-0.0610418	-0.0590977	-0.0573772
-0.0610112	-0.0590986	-0.0574369
-0.0610378	-0.0590777	-0.057484
-0.0610157	-0.0590314	-0.0574318
-0.0609826	-0.0590333	-0.0573624
-0.0609516	-0.059056	-0.0573696
-0.0609555	-0.059001	-0.0573203
-0.0609819	-0.0589855	-0.057328
-0.0609739	-0.0589903	-0.0573271
-0.0609336	-0.0589673	-0.0573692
-0.0608649	-0.0589282	-0.0573577
-0.0608741	-0.058879	-0.0573421
-0.0608919	-0.0588881	-0.0573788
-0.0608558	-0.0588426	-0.0573355
-0.0608305	-0.0588658	-0.0572865
-0.0607899	-0.0588368	-0.0572917
-0.0607638	-0.05882	-0.0572567
-0.0607182	-0.0588217	-0.057267
-0.060697	-0.0588219	-0.0572678
-0.0606307	-0.0588256	-0.0571909
-0.0606222	-0.0587508	-0.0571176
-0.0606532	-0.0587427	-0.0570934
-0.060642	-0.0587137	-0.0570837
-0.0606346	-0.0586897	-0.0570876
-0.0606017	-0.0587232	-0.0570629
