frst1	nxt1	jsub1	jlap1	platv26	platv24	ind_delta_vm	
-0.0567982	-0.053655	-0.00314319	2.57904	-0.0786827	-0.0719945	-0.015939244	
-0.0566819	-0.0535581	-0.00312383	2.63065	-0.0816816	-0.0754503	-0.019395044	
-0.0564681	-0.053489	-0.00297904	2.68511	-0.0824318	-0.0730158	-0.016960544	
-0.0564497	-0.0540574	-0.00239225	2.73981	-0.0791904	-0.0774657	-0.021410444	
-0.0564664	-0.0545647	-0.00190166	2.79656	-0.0833935	-0.075055	-0.018999744	
-0.0557575	-0.0546636	-0.00109391	2.85503	-0.0824701	-0.076071	-0.020015744	
-0.0554072	-0.054488	-0.000919193	2.91374	-0.0814341	-0.0731786	-0.017123344	
-0.0557305	-0.0549296	-0.000800938	2.96685	-0.0808576	-0.0751436	-0.019088344	
-0.0561071	-0.0553403	-0.000766869	3.02642	-0.0802752	-0.0778513	-0.021796044	
-0.0569202	-0.0564208	-0.000499383	3.08867	-0.0828996	-0.0770124	-0.020957144	
-0.056868	-0.056562	-0.00030596	3.149	-0.0806338	-0.0766582	-0.020602944	
-0.0579196	-0.057092	-0.000827664	3.20821	-0.0842644	-0.0792903	-0.023235044	
-0.0576443	-0.0576651	2.08E-05	3.26821	-0.0822644	-0.0758116	-0.019756344	
-0.0584602	-0.0585498	8.95E-05	3.32685	-0.0813819	-0.0780676	-0.022012344	
-0.0587721	-0.0592185	0.000446447	3.38807	-0.0822129	-0.0752034	-0.019148144	
-0.0591021	-0.0593283	0.000226236	3.45238	-0.0812149	-0.0753646	-0.019309344	
-0.0590545	-0.0597839	0.000729367	3.52962	-0.0848549	-0.0776838	-0.021628544	
-0.0591252	-0.0602631	0.00113798	3.61839	-0.0823639	-0.0753823	-0.019327044	
-0.059675	-0.0609441	0.0012691	3.69567	-0.0845313	-0.0788042	-0.022748944	
-0.0600274	-0.0613235	0.00129616	3.76681	-0.0840247	-0.076768	-0.020712744	
-0.0604876	-0.061611	0.00112338	3.85463	-0.0845952	-0.0794458	-0.023390544	
-0.0607876	-0.0618812	0.00109361	3.9365	-0.0837314	-0.0695772	-0.013521944	
-0.0612838	-0.0621128	0.000828951	4.00599	-0.066174	-0.0575182	-0.001462944	
-0.0617324	-0.0624582	0.000725754	4.07042	-0.0595961	-0.0563933	-0.000338044	
-0.0617067	-0.0624129	0.000706167	4.15141	-0.0616092	-0.0562977	-0.000242444	
-0.0616694	-0.0624303	0.000760857	4.2306	-0.0615732	-0.0552777	0.000777556	
-0.0616244	-0.0622096	0.000585154	4.29739	-0.0617344	-0.058348	-0.002292744	
-0.0617463	-0.0622276	0.000481285	4.38495	-0.0615018	-0.0561821	-0.000126844	
-0.0617843	-0.0622874	0.000503163	4.50358	-0.0601168	-0.0572907	-0.001235444	
-0.0616847	-0.0625434	0.000858727	4.62117	-0.0594498	-0.0570438	-0.000988544	
-0.0618475	-0.0624022	0.000554669	4.71269	-0.0607534	-0.0565457	-0.000490444	
-0.0619185	-0.0624566	0.000538033	4.82953	-0.0616619	-0.0576445	-0.001589244	
-0.0620955	-0.0626043	0.000508774	4.9019	-0.0617094	-0.0577573	-0.001702044	
-0.0623613	-0.062942	0.00058075	4.95907	-0.0619973	-0.055544	0.000511256	
-0.0624796	-0.0629796	0.000500027	5.14948	-0.0615948	-0.0577779	-0.001722644	
-0.0625954	-0.0628897	0.000294325	5.25698	-0.0609252	-0.0575753	-0.001520044	
