Vm1_50b_samp	Vm1_53b_samp	Vm1_56b_samp
-0.0593046	-0.0626356	-0.058485
-0.0592758	-0.0626457	-0.058468
-0.0592451	-0.062618	-0.058483
-0.0592524	-0.0626173	-0.0585504
-0.0592365	-0.0626608	-0.0585206
-0.0591917	-0.0627391	-0.0585612
-0.0591912	-0.0626864	-0.0586144
-0.0591748	-0.062805	-0.058585
-0.0591918	-0.0629179	-0.0585994
-0.0592506	-0.0629363	-0.0585679
-0.0592686	-0.0629723	-0.0586035
-0.0592741	-0.0630619	-0.0586404
-0.0593056	-0.0631171	-0.0585673
-0.0592224	-0.0631073	-0.0584938
-0.0592017	-0.0631758	-0.058539
-0.059167	-0.0632129	-0.0585185
-0.0591329	-0.063243	-0.0584137
-0.0590984	-0.0632943	-0.0583584
-0.0590613	-0.0633244	-0.0583648
-0.0590985	-0.0633887	-0.0584106
-0.0591283	-0.0634132	-0.0584146
-0.0591041	-0.0633959	-0.0584501
-0.0591133	-0.0634896	-0.0584646
-0.0590195	-0.063519	-0.0584595
-0.0590202	-0.0635549	-0.0585235
-0.0589579	-0.0635698	-0.0585265
-0.0588495	-0.0635425	-0.0584962
-0.0588906	-0.0635764	-0.0585107
-0.0588625	-0.0637111	-0.0585437
-0.0587911	-0.0637578	-0.0585429
-0.0587869	-0.0637337	-0.0585784
-0.0587256	-0.0638124	-0.0585699
-0.0587091	-0.0638211	-0.0585908
-0.0587208	-0.0638322	-0.0585815
-0.0586448	-0.063847	-0.0585795
-0.0585676	-0.0638343	-0.0585496
-0.0586256	-0.0638456	-0.0585647
-0.0586346	-0.0638717	-0.0586029
-0.0585951	-0.0639151	-0.0585623
-0.0585258	-0.0639182	-0.0585696
-0.0585583	-0.063962	-0.0585488
-0.0585567	-0.0639809	-0.0584659
-0.0584625	-0.0639824	-0.058511
-0.0584528	-0.0640168	-0.0585154
-0.0584691	-0.0640272	-0.0584874
-0.0585192	-0.0640389	-0.0585056
-0.0584704	-0.0640181	-0.058552
-0.058526	-0.0639422	-0.0585827
-0.0585474	-0.0639774	-0.0586427
-0.0585325	-0.0640558	-0.0585957
-0.058571	-0.0640128	-0.0585857
-0.0585359	-0.0640114	-0.0586043
-0.0584952	-0.0640794	-0.0586409
-0.0584768	-0.064106	-0.0586337
-0.0585223	-0.0641909	-0.0586473
-0.0585529	-0.0642279	-0.0585678
-0.0585461	-0.0642013	-0.058537
-0.0585599	-0.0642081	-0.0585784
-0.058592	-0.0642457	-0.0585416
-0.0586247	-0.064296	-0.0584934
-0.0585884	-0.0643225	-0.0585167
-0.0585276	-0.0643409	-0.0585219
-0.0585613	-0.0643719	-0.0585651
-0.0586083	-0.0644283	-0.0585144
-0.0586499	-0.0644179	-0.0584208
-0.0586549	-0.0644571	-0.0583499
-0.0586152	-0.0644713	-0.0583137
-0.0586096	-0.0644401	-0.0583213
-0.0586332	-0.0644321	-0.0582778
-0.0587041	-0.0644245	-0.0582106
-0.0587333	-0.064467	-0.0582483
-0.0588002	-0.0645762	-0.0581689
-0.058881	-0.0645874	-0.0580976
-0.0588567	-0.0646345	-0.0580581
-0.0589141	-0.0646275	-0.0580106
-0.0589372	-0.0646383	-0.0580151
-0.0589617	-0.06466	-0.0580062
-0.0589742	-0.0645843	-0.0579425
-0.0589643	-0.0646044	-0.0579976
-0.059008	-0.0646384	-0.0579391
-0.0589673	-0.0646255	-0.0579404
-0.0589918	-0.0646129	-0.0579398
-0.0589811	-0.0645886	-0.0579158
-0.0589505	-0.0645262	-0.0578902
-0.0589585	-0.0645307	-0.0579456
-0.0589502	-0.0645525	-0.0579455
-0.0589718	-0.0645478	-0.0579697
-0.0588966	-0.0645363	-0.0579312
-0.0588638	-0.0645237	-0.0579363
-0.0588645	-0.0645733	-0.0579031
-0.0588523	-0.0646361	-0.0578576
-0.0588223	-0.0646654	-0.0578479
-0.0587901	-0.0646482	-0.0578601
-0.0587412	-0.0646494	-0.0578595
-0.058657	-0.0647231	-0.05789
-0.0584558	-0.0646856	-0.0579145
-0.058329	-0.0646568	-0.0579468
-0.0583018	-0.0646605	-0.0579814
-0.0582735	-0.0646763	-0.057949
-0.0582469	-0.0646398	-0.0579957
-0.0582759	-0.0646862	-0.0580175
-0.058245	-0.0646384	-0.0579921
-0.0582267	-0.0646375	-0.0580182
-0.0581949	-0.0646219	-0.0580413
-0.0581333	-0.0645714	-0.0580953
-0.058148	-0.0645246	-0.0581496
-0.0580501	-0.0644395	-0.0581041
-0.0579724	-0.0644132	-0.0580818
-0.0579964	-0.0644115	-0.0580654
-0.058012	-0.064455	-0.0580826
-0.0579598	-0.064477	-0.0581014
-0.0579626	-0.0645143	-0.058105
-0.0579332	-0.0644557	-0.0580898
-0.057899	-0.0644656	-0.0580834
-0.057937	-0.064457	-0.0581513
-0.0579275	-0.0644706	-0.0581351
-0.0578868	-0.0644459	-0.0581043
-0.0578525	-0.064434	-0.0580912
-0.0578138	-0.0644259	-0.0580952
-0.0577951	-0.0644742	-0.0581716
-0.0578043	-0.0644755	-0.0581964
-0.057742	-0.064475	-0.0582455
-0.0577479	-0.0644063	-0.0581936
-0.057805	-0.064353	-0.0581888
-0.0577909	-0.0643009	-0.0581949
-0.0577684	-0.064276	-0.0582757
-0.0578135	-0.064265	-0.0583228
-0.0577992	-0.0642675	-0.0583608
-0.0577597	-0.064252	-0.0583571
-0.057764	-0.0642556	-0.0583793
-0.0578448	-0.0643084	-0.0584096
-0.0579178	-0.0642674	-0.0584203
-0.0579238	-0.0641875	-0.058411
-0.0579468	-0.0640609	-0.0584156
-0.0579432	-0.0640824	-0.0584676
-0.0579077	-0.0641553	-0.0584743
-0.0579228	-0.0641873	-0.0584819
-0.0578992	-0.0642217	-0.058453
-0.0579059	-0.064251	-0.0584474
-0.0579798	-0.0642653	-0.0584789
-0.0580144	-0.0642938	-0.0585309
-0.0579656	-0.0643225	-0.0585088
-0.0579601	-0.0643424	-0.0585195
-0.0578861	-0.0643647	-0.0585342
-0.0579027	-0.0643797	-0.0585591
-0.0579243	-0.0644156	-0.0585802
-0.0579497	-0.0644869	-0.0586378
-0.0579737	-0.0645209	-0.05859
-0.058034	-0.0645297	-0.0586928
-0.0580331	-0.0645949	-0.0587113
-0.0580972	-0.064562	-0.058706
-0.0580902	-0.0645591	-0.0587282
-0.0580457	-0.064584	-0.0587191
-0.0580596	-0.0645411	-0.0587071
-0.0579682	-0.0645382	-0.058706
-0.0579735	-0.0644799	-0.058691
-0.0579827	-0.064538	-0.0586528
-0.0579137	-0.0645202	-0.0586816
-0.0579654	-0.0645029	-0.058662
-0.0579823	-0.0644664	-0.0586251
-0.0579527	-0.0644323	-0.0586051
-0.0579491	-0.0644188	-0.0585934
-0.0579225	-0.0644111	-0.0585687
-0.0579308	-0.0644489	-0.0586239
-0.0579083	-0.0644585	-0.0586089
-0.0578813	-0.0644725	-0.0586163
-0.0578381	-0.0644655	-0.0585632
-0.0577751	-0.0644955	-0.0585968
-0.0577318	-0.0644719	-0.0586097
-0.0577152	-0.0644605	-0.058593
-0.057652	-0.0644744	-0.0585623
-0.0575984	-0.0644377	-0.0585726
-0.0576285	-0.064447	-0.0585203
-0.0575846	-0.0644569	-0.0584783
-0.0576194	-0.064432	-0.0584909
-0.0575676	-0.0644776	-0.0584919
-0.0575731	-0.0644567	-0.0585311
-0.0575237	-0.064441	-0.0584951
-0.0574971	-0.0645412	-0.0585062
-0.057483	-0.0645493	-0.0584778
-0.0574252	-0.0645475	-0.0584533
-0.0574082	-0.0645676	-0.0584694
-0.057387	-0.0645894	-0.0584684
-0.0573573	-0.0645772	-0.0584657
-0.0573405	-0.0645266	-0.0584846
-0.0573284	-0.06449	-0.0585029
-0.0572344	-0.0645516	-0.0584398
-0.0571521	-0.0645671	-0.0584793
-0.0571461	-0.0645664	-0.0584797
-0.0570634	-0.0646482	-0.0584731
-0.0570684	-0.0645486	-0.0584762
-0.0570276	-0.0645765	-0.0584634
-0.0569585	-0.0646225	-0.0585128
-0.0569407	-0.0646186	-0.0584578
-0.0568669	-0.0645923	-0.0584656
-0.0568501	-0.0645893	-0.0584298
-0.0568095	-0.0645788	-0.0583712
-0.0568809	-0.0645645	-0.0583903
-0.056856	-0.0645251	-0.0583236
-0.0567605	-0.0645256	-0.0583306
-0.0567695	-0.0645059	-0.0582809
-0.0567091	-0.0644895	-0.0582613
-0.0566306	-0.0644377	-0.0582103
-0.056694	-0.0644326	-0.0581228
-0.0566775	-0.0644645	-0.0581561
-0.0566698	-0.0643776	-0.0580756
-0.0566256	-0.0643466	-0.0580132
-0.0565569	-0.0643896	-0.057979
-0.0565508	-0.0644196	-0.0579565
-0.0565542	-0.0644379	-0.0578788
-0.0564866	-0.0643941	-0.0578297
-0.0564859	-0.0644211	-0.0578461
-0.0564474	-0.0644931	-0.0578776
-0.0563743	-0.0644415	-0.0578177
-0.0563309	-0.064434	-0.0577902
-0.0562973	-0.0644604	-0.0578208
-0.0562853	-0.064527	-0.0578554
-0.056156	-0.0645591	-0.0578821
-0.0560573	-0.0645682	-0.0579073
-0.0559967	-0.064609	-0.0579958
-0.0559615	-0.0646871	-0.0580351
-0.0558716	-0.0646819	-0.0580448
-0.0557795	-0.0646673	-0.0580604
-0.0557714	-0.0646373	-0.0580479
-0.055672	-0.0646828	-0.0581334
-0.0555292	-0.0646483	-0.0581514
-0.0555092	-0.0646449	-0.0581683
-0.0554493	-0.0646699	-0.0582162
-0.0554293	-0.0646057	-0.0581964
-0.055341	-0.0646223	-0.0582424
-0.0552826	-0.0646433	-0.0582452
-0.055248	-0.0646295	-0.0582537
-0.0551657	-0.0646647	-0.0582872
-0.0551786	-0.0646702	-0.0583811
