frst2	nxt2	jsub2	jlap2	platv34	platv33
-0.0576501	-0.0648696	0.00759706	-0.703007	-0.059072	-0.0622598
-0.0568516	-0.0646374	0.00756824	-0.636298	-0.0596387	-0.062753
-0.0571891	-0.0648885	0.00786721	-0.567405	-0.0594801	-0.0603517
-0.056884	-0.0650003	0.00791081	-0.500625	-0.0595249	-0.0634816
-0.0572357	-0.0651524	0.0081428	-0.443582	-0.0599666	-0.0625767
-0.0566974	-0.0650928	0.00790825	-0.397004	-0.0585216	-0.0640145
-0.0570737	-0.0644864	0.0075363	-0.351571	-0.0619518	-0.060951
-0.0572404	-0.0640412	0.00666884	-0.305504	-0.0628979	-0.0597479
-0.0575931	-0.0633861	0.00617835	-0.259639	-0.0620741	-0.0640389
-0.0572993	-0.0632406	0.00574141	-0.211912	-0.0614712	-0.0613364
-0.057127	-0.062617	0.00555659	-0.166707	-0.0487518	-0.0269567
-0.0566577	-0.0618962	0.00507179	-0.12516	0.0368728	0.0345386
-0.0565544	-0.0610412	0.00456959	-0.0850682	0.0377709	0.0381808
-0.0564817	-0.060465	0.0042655	-0.044483	0.033279	0.0342418
-0.0558221	-0.0601484	0.00420826	-0.00497398	0.0357957	0.0316275
-0.055423	-0.0597382	0.0042263	0.0345477	0.036193	0.0334912
-0.0556809	-0.0597184	0.00375272	0.0741657	0.0387095	0.0361001
-0.0565721	-0.0594777	0.00309337	0.113348	0.0368759	0.035039
-0.0572946	-0.0596317	0.00241776	0.150795	-0.00374656	-0.0381667
-0.0576833	-0.0596939	0.00212835	0.189983	-0.0594722	-0.054959
-0.0572497	-0.059287	0.00191527	0.229009	-0.0617763	-0.0587784
-0.0562701	-0.0579679	0.00198647	0.266857	-0.0585835	-0.0589877
-0.0545355	-0.0567597	0.00212235	0.305437	-0.0597829	-0.060445
-0.0540842	-0.0565291	0.00244682	0.345801	-0.0592227	-0.0606204
-0.0542033	-0.0568746	0.00223179	0.384484	-0.060368	-0.0608342
-0.0547473	-0.0563264	0.00165043	0.423072	-0.0527793	-0.0586674
-0.0543838	-0.0550847	0.000999815	0.458915	-0.0548599	-0.0521901
-0.0538515	-0.0545709	0.000853286	0.495934	-0.0511377	-0.0549435
-0.0535585	-0.054698	0.00105406	0.532468	-0.0542482	-0.0579806
-0.0532682	-0.0545713	0.000897865	0.567881	-0.0530568	-0.0595163
-0.0537107	-0.0539615	0.000290564	0.605128	-0.0525975	-0.058879
