frst1	nxt1	jsub1	jlap1	platv20	platv18
-0.0527119	-0.0578348	0.00514262	0.400939	-0.0547706	-0.054707
-0.0534724	-0.0579327	0.00448003	0.466268	-0.053919	-0.0545028
-0.0540604	-0.0579848	0.00394407	0.533827	-0.0559226	-0.0546868
-0.0546197	-0.0579663	0.00336637	0.599029	-0.0555631	-0.0546203
-0.0551434	-0.0579325	0.00280887	0.66982	-0.0577746	-0.0579093
-0.0555065	-0.0581655	0.00267877	0.737857	-0.0566278	-0.056688
-0.0557758	-0.0582076	0.00245163	0.80878	-0.0565561	-0.0570411
-0.0560063	-0.0583147	0.00232818	0.88451	-0.0579656	-0.0566945
-0.0561617	-0.0580966	0.00195459	0.949517	-0.0574942	-0.0578134
-0.0563751	-0.058309	0.0019537	1.02356	-0.0577205	-0.0575102
-0.0567503	-0.0583547	0.00162416	1.09767	-0.0556759	-0.0560136
-0.056927	-0.0585066	0.00159944	1.17515	-0.0586707	-0.0563133
-0.0571331	-0.0584799	0.00136654	1.24438	-0.0590591	-0.0581623
-0.057153	-0.0584686	0.00133542	1.32506	-0.0600883	-0.056904
-0.0575126	-0.058602	0.00110913	1.40075	-0.0567193	-0.0577771
-0.0577464	-0.0586314	0.000904738	1.47706	-0.0581227	-0.0561601
-0.0578197	-0.0585542	0.000754224	1.55071	-0.059943	-0.0574733
-0.0577939	-0.0584152	0.000640995	1.67584	-0.0593489	-0.0565854
-0.0576233	-0.0582534	0.000649821	1.77406	-0.0580552	-0.0567881
