t,initial_ramp,delta_ramp
2.346,11.31342891794688,-7.316132886564134
2.392,11.343210349787356,-7.305648218371921
2.438,11.387052716573884,-7.315855933311447
2.486,11.441859745014547,-7.331730728996305
2.534,11.450082759071421,-7.266186498855731
2.583,11.42533306963044,-7.149816312520343
2.635,11.44861822817898,-7.0799075841777395
2.691,11.523122085648737,-7.076636842105167
2.749,11.556179588100527,-7.037320823798531
2.809,11.498965040862863,-6.93106325596591
2.882,11.361577103628477,-6.780025433147998
2.96,11.162779882314318,-6.583766296175128
3.038,10.928930029421224,-6.347643249427833
3.104,10.674711003595796,-6.064919843085896
3.152,10.396156966328718,-5.716456848643276
3.2,10.077257227852101,-5.2899706766916665
-3.605,0.018840290944751814,2.141574861065685
-3.522,-0.00717906178490324,2.3353779339653187
-3.443,0.02198595946387627,2.538188231448153
-3.368,-0.09178465184701423,2.8996171624713725
-3.307,-0.066896681922195,3.1082446224255875
-3.252,-0.02300031055901286,3.304430957829318
-3.202,0.03005251716246704,3.5330305655442444
-3.156,0.11857066034651353,3.7793063092513464
-3.113,0.20878546910754636,4.0223966655769345
-3.068,0.16624078130107733,4.34591036286362
-3.018,0.10056899313501333,4.6671684210525655
-2.965,0.20620165086629783,4.793194965674992
-2.91,0.33792868584504276,4.87537992808101
-2.849,0.45729939522718865,4.981313762667483
-2.786,0.5228021739130426,5.132050768224843
-2.719,0.5915837692056272,5.24808885256612
-2.648,0.7400959954233386,5.202275939849542
-2.58,1.0416407486106465,4.98545044132063
-2.523,1.2101190748610549,4.976815299117298
-2.468,1.2482080581889363,5.1612812683882865
-2.417,1.3197786368094029,5.286808728342521
-2.368,1.4242730794377039,5.364470513239553
-2.322,1.445724338018941,5.5409405361228465
-2.278,1.3732786694998182,5.757571003595878
-2.234,1.315959741745651,5.890933115397104
-2.191,1.3447434292252183,5.930020235370954
-2.149,1.4383207420725483,5.93129306963052
-2.107,1.4499730794376973,5.9923856815952306
-2.063,1.3362959954233204,6.129058613926048
