rp10	rp11	rp12	rp13	rp14	sub3	tbasej11	rp27
-0.0522718	-0.0528352	-0.0545191	-0.0514535	-0.052616	0.00116281	1.18384	-0.0547726
-0.0522159	-0.0529742	-0.0536209	-0.0509387	-0.0519737	0.000861618	1.29562	-0.0540035
-0.051532	-0.0526289	-0.0528936	-0.0515693	-0.0510806	-4.65894e-05	1.40173	-0.0541051
-0.05252	-0.0526282	-0.0538014	-0.0509129	-0.0526064	-5.15924e-05	1.50506	-0.0536208
-0.0518523	-0.0532133	-0.0536343	-0.0494964	-0.0536825	0.000344741	1.61754	-0.0534391
-0.0518798	-0.0545647	-0.0529277	-0.0492336	-0.0528479	0.000721737	1.72307	-0.0531305
-0.0517453	-0.0539699	-0.0539492	-0.0500482	-0.0530041	0.000605441	1.82671	-0.0531703
-0.0524121	-0.0527061	-0.0537691	-0.0500881	-0.0528784	0.0011278	1.93985	-0.0540097
-0.0509133	-0.053201	-0.0528036	-0.0514541	-0.0530471	0.00126486	2.06792	-0.0542326
-0.0511656	-0.0542253	-0.0534672	-0.0501679	-0.0542356	0.000818926	2.20771	-0.0542419
-0.0512056	-0.0541316	-0.0535026	-0.0513383	-0.0542466	0.00126753	2.3456	-0.0552989
-0.0519435	-0.0542951	-0.0531578	-0.0514795	-0.0533388	0.00183161	2.47266	-0.0550095
-0.0512401	-0.0551552	-0.0552276	-0.0525953	-0.0559632	0.00185357	2.60783	-0.0549219
-0.0503245	-0.05338	-0.0534288	-0.0548211	-0.0549505	0.000374953	2.73121	-0.0550162
-0.0511584	-0.0543919	-0.0546988	-0.0535549	-0.0538299	-0.000489016	2.92265	-0.0554346
-0.0511619	-0.0553064	-0.0544601	-0.0519809	-0.0534207	3.5747e-05	3.11219	-0.0560293
-0.051677	-0.0527296	-0.0538229	-0.0524834	-0.0525743	0.000238183	3.24422	-0.0559971
-0.0527972	-0.0550135	-0.0549546	-0.0539779	-0.0556013	-0.000710339	3.50107	-0.0557221
-0.0543418	-0.0559338	-0.0572233	-0.0551801	-0.0563047	-0.000950468	3.63578	-0.0558722
-0.0538052	-0.054855	-0.0566562	-0.0552113	-0.0562204	-0.0010854	3.75292	-0.0562629
-0.0528155	-0.0550087	-0.0562366	-0.054985	-0.0559332	-0.00103097	3.87942	-0.0553204
-0.0519871	-0.054079	-0.0563889	-0.0541192	-0.0567513	-0.000515834	3.9836	-0.0549638
-0.0516146	-0.0551728	-0.0560051	-0.055431	-0.0560511	-0.000999053	4.0844	-0.0545071
-0.0528933	-0.0558478	-0.0554167	-0.0553643	-0.0556525	-0.0015754	4.18252	-0.0543731
-0.0531931	-0.0547404	-0.0547093	-0.0552377	-0.0562482	-0.00065205	4.2845	-0.0545243
-0.0533632	-0.0544988	-0.0538326	-0.0555874	-0.0553446	0.000227726	4.39627	-0.0538063
-0.0505418	-0.0543908	-0.0544487	-0.0553469	-0.0556171	0.00154823	4.51495	-0.0533318
-0.0529125	-0.0534874	-0.055609	-0.05447	-0.0562043	0.000537063	4.64136	-0.0531914
-0.0517274	-0.0544605	-0.0552306	-0.0538337	-0.0552188	-0.000261378	4.74957	-0.0535516
-0.0520803	-0.0548869	-0.0549277	-0.0528351	-0.054928	-0.000226376	4.87155	-0.0540192
-0.051647	-0.0537987	-0.0547831	-0.0538753	-0.0544686	-0.000708451	4.98259	-0.0533251
-0.0512569	-0.0546026	-0.0533806	-0.0542194	-0.0554184	0.000196132	5.09516	-0.0533431
-0.0516449	-0.0543785	-0.0531738	-0.0536692	-0.0548883	0.000412892	5.20613	-0.0532539
-0.0522579	-0.0533071	-0.0544258	-0.0528719	-0.0534218	0.000714309	5.32983	-0.0525957
-0.052514	-0.0531447	-0.053702	-0.0520563	-0.0537618	0.000114962	5.43313	-0.053179
-0.051302	-0.0532792	-0.0544138	-0.0529255	-0.0551502	2.24105e-05	5.55098	-0.0535985
-0.0511054	-0.0530044	-0.0545548	-0.0542648	-0.0551179	0.000191114	5.89823	-0.0535947
-0.0521824	-0.0544769	-0.0545549	-0.0526402	-0.0544843	-1.84187e-05	6	-0.0534019
-0.0528408	-0.0545432	-0.0545527	-0.0530913	-0.0548619	0.00205218	6.1	-0.0531146
-0.0528585	-0.0529701	-0.0553856	-0.0530834	-0.0541958	-0.000405223	6.2	-0.0531511
