lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	rp1327	in_delta_vm	ind_t
0.0664335	0.00130653	0.0845707	0.00575716	0.0844961	0.00794416	0.0647184	0.00916342	0.0613032	-0.0537093	0.0073139	-0.277107
0.067551	0.00128205	0.0867481	0.00558273	0.0864406	0.00807859	0.0660671	0.00905998	0.0626222	-0.0531074	0.0023051	-0.232657
0.0686682	0.00120231	0.0889637	0.00571841	0.0883849	0.00802854	0.0674159	0.00914371	0.0639212	-0.0522279	0.0025015	-0.188122
0.0697855	0.00121249	0.0912829	0.00554565	0.0903294	0.00804222	0.0687646	0.00896125	0.0652201	-0.0519089	0.012181	-0.14159
0.0709028	0.00135113	0.0936027	0.00570215	0.0922738	0.00808667	0.0701133	0.00904236	0.066519	-0.0519651	0.0326677	-0.093037
0.07202	0.00114411	0.0959224	0.00572485	0.0942182	0.00789122	0.071462	0.0091151	0.067818	-0.0518814	0.06023843	-0.0444416
0.0731372	0.00117497	0.0982423	0.00560462	0.0961627	0.00817264	0.0728107	0.00903398	0.069117	-0.0518899	0.0834281	-0.000110977
0.0742545	0.00133133	0.100562	0.00563915	0.0981071	0.00775441	0.0741594	0.0092199	0.0704159	-0.0522304	0.0930854	0.0478474
0.0753716	0.00121879	0.102882	0.00575158	0.100052	0.00802969	0.0755081	0.00918376	0.0717148	-0.0519933	0.0902406	0.0988537
0.0764889	0.00130742	0.105202	0.0055059	0.101996	0.00790809	0.0768567	0.00902786	0.0730138	-0.0519924	0.0777179	0.15274
0.0776062	0.0013541	0.107522	0.00568368	0.10394	0.00801027	0.0782182	0.0090667	0.0743126	-0.0522349	0.05752045	0.201364
0.0787236	0.00115348	0.109841	0.0055545	0.105885	0.00801998	0.0795946	0.00902175	0.0756116	-0.0524706	0.0347059	0.248769
0.0798409	0.00116935	0.112161	0.0054938	0.107829	0.00811465	0.0809711	0.00890256	0.0769106	-0.0530369	0.0171278	0.297393
0.0809581	0.00094271	0.114481	0.00586531	0.109757	0.00798985	0.0823475	0.00904893	0.0782095	-0.0537866	0.0085407	0.34675
0.0820754	0.00114291	0.116801	0.00561328	0.111605	0.00814174	0.0837239	0.00924668	0.0795085	-0.0536067	0.0082832	0.398145
0.0831926	0.0012844	0.119121	0.0058113	0.11345	0.00800422	0.0851003	0.00888985	0.0808074	-0.053466	0.0108692	0.443811
0.0843098	0.000922846	0.121447	0.00567142	0.115296	0.00815711	0.0864768	0.00905931	0.0821063	-0.0540272	0.0112669	0.492139
0.0854271	0.00134279	0.123777	0.00565444	0.117141	0.00811633	0.0878533	0.00907477	0.0834053	-0.0549031	0.0093461	0.542179
0.0865444	0.00114949	0.126108	0.00576071	0.118987	0.00812836	0.0892298	0.00919487	0.0847042	-0.0551351	0.0079586	0.593671
0.0876617	0.00135053	0.128438	0.0055925	0.120833	0.00800336	0.0906063	0.00896177	0.0860031	-0.0548903	0.0088758	0.646362
0.088779	0.00117494	0.130768	0.00557287	0.122678	0.00779439	0.0919827	0.00901061	0.0873021	-0.0546675	0.0104829	0.693695
0.0898964	0.00107797	0.133099	0.0056364	0.124524	0.00811434	0.0933591	0.00907979	0.0886011	-0.0550354	0.0105696	0.744909
0.0910138	0.00109371	0.135429	0.00571023	0.126369	0.00807816	0.0947356	0.00903217	0.0899001	-0.0557564	0.0089987	0.798187
0.0921313	0.00129308	0.137759	0.00571927	0.128215	0.00789982	0.0961121	0.00896305	0.091199	-0.0564561	0.0077311	0.856329
0.0932487	0.00120438	0.14009	0.00568343	0.13006	0.00805261	0.0974886	0.00917277	0.0924979	-0.0568746	0.0079241	0.908893
0.0943659	0.00133478	0.14242	0.00553474	0.131906	0.00799673	0.0988651	0.00914825	0.0937968	-0.057505	0.0086054	0.957552
0.0954833	0.0014183	0.14475	0.00582885	0.133751	0.00804014	0.100242	0.00909844	0.095091	-0.0580629	0.008852	1.01022
0.0966005	0.00122072	0.147081	0.00561063	0.135597	0.00791519	0.101619	0.00910935	0.0963298	-0.0583983	0.0087736	1.06605
0.0977178	0.00136086	0.149411	0.00575903	0.137443	0.0081013	0.103272	0.00913398	0.0975643	-0.0586088	0.008894	1.12947
0.098835	0.00120572	0.151741	0.00547221	0.139288	0.00802415	0.105064	0.00902264	0.0987987	-0.0591334	0.0091774	1.18805
0.0999523	0.00117709	0.154045	0.00563398	0.141134	0.00797708	0.106856	0.00907697	0.100033	-0.0593885	0.0093072	1.24719
0.10107	0.00139942	0.156334	0.00557442	0.142979	0.00808135	0.108649	0.00890744	0.101267	-0.0589906	0.0092281	1.30841
0.102122	0.001247	0.158623	0.0057467	0.144821	0.00787808	0.110441	0.0091368	0.102502	-0.0588279	0.0090193	1.37223
0.10302	0.00112973	0.160912	0.00585015	0.146507	0.00791289	0.112233	0.00909315	0.103736	-0.059062	0.0089764	1.43661
0.103918	0.00122419	0.163201	0.00565775	0.148159	0.0079264	0.114026	0.00884194	0.104971	-0.0600946	0.0092481	1.49253
0.104816	0.00121789	0.16549	0.00569099	0.14981	0.00792337	0.115818	0.00908544	0.106205	-0.0610759	0.0096942	1.54728
0.105713	0.0012052	0.167779	0.00563933	0.151462	0.0080753	0.11761	0.00908733	0.107439	-0.0614715	0.0091807	1.60276
0.106611	0.00126745	0.170067	0.00588489	0.153114	0.00799852	0.119403	0.00911432	0.108674	-0.0619351	0.0082714	1.69291
0.107509	0.00124753	0.172356	0.00577998	0.154766	0.00788333	0.121195	0.00896078	0.109908	-0.0623974	0.0082573	1.79339
0.108406	0.00122477	0.174645	0.00570061	0.156417	0.0076803	0.122988	0.00878828	0.111143	-0.0627124	0.0090385	1.86934
0.109304	0.0011603	0.176934	0.00567226	0.158069	0.00802311	0.12478	0.00921791	0.112377	-0.0629582	0.0092279	1.96873
0.110202	0.00110206	0.179223	0.00549346	0.159721	0.00810978	0.126573	0.00919872	0.113612	-0.0628094	0.0082525	2.05344
0.111099	0.00144682	0.181512	0.0055671	0.161373	0.00809578	0.128365	0.00906251	0.114846	-0.0627722	0.0071226	2.11707
0.111997	0.00114561	0.183801	0.00561606	0.163025	0.00800886	0.130357	0.0091158	0.116081	-0.0631299	0.0072243	2.17431
0.112895	0.00134452	0.186083	0.00571555	0.164676	0.0078685	0.132477	0.00926248	0.117315	-0.0632113	0.0082215	2.24545
0.113792	0.00103898	0.18827	0.00544194	0.166328	0.00787422	0.134596	0.00895035	0.11855	-0.0627819	0.0082092	2.33176
0.11469	0.00112714	0.190449	0.00577093	0.16798	0.00803505	0.136716	0.0088496	0.119784	-0.0628448	0.0076395	2.40682
0.115588	0.00112269	0.192627	0.00555215	0.169632	0.0081965	0.138836	0.00907232	0.121019	-0.0632916	0.008092	2.48206
0.116485	0.00131887	0.194806	0.00576557	0.171284	0.00800825	0.140955	0.00900307	0.122253	-0.0634874	0.0080183	2.54766
0.117383	0.00100444	0.196985	0.00578579	0.172936	0.00804841	0.143075	0.00923762	0.123488	-0.0632983	0.0073468	2.62457
0.118281	0.0012978	0.199164	0.00573445	0.174587	0.00807905	0.145195	0.00898656	0.124722	-0.0629221	0.0080639	2.69873
0.119178	0.00133249	0.201342	0.00556544	0.176239	0.00800183	0.147315	0.00894693	0.126	-0.0629267	0.0092703	2.77675
0.120076	0.00122214	0.203521	0.0056987	0.177891	0.00793139	0.149434	0.00887574	0.127306	-0.0630848	0.0080165	2.85116
0.120974	0.00123288	0.2057	0.00555069	0.179543	0.00817583	0.151554	0.00901536	0.128612	-0.063329	0.0069779	2.92659
0.121871	0.00136462	0.207878	0.00570094	0.181195	0.00809127	0.153674	0.00905927	0.129918	-0.0630983	0.0070782	3.00052
0.122769	0.0011629	0.210057	0.00586999	0.182843	0.00811303	0.155794	0.00889921	0.131225	-0.0632131	0.0068807	3.08389
0.123667	0.00132772	0.212236	0.00584158	0.184281	0.00798248	0.157913	0.00938985	0.132531	-0.0633184	0.0072475	3.16336
0.124564	0.00144595	0.214415	0.00565947	0.185665	0.00802552	0.160072	0.00906126	0.133837	-0.0633483	0.00869	3.29635
0.125535	0.00103995	0.216593	0.0055271	0.187049	0.00804394	0.162307	0.00906631	0.135143			
0.126754	0.00130724	0.218772	0.00562996	0.188432	0.00804702	0.164542	0.00902157	0.136449			
0.127977	0.00135804	0.220949	0.00553603	0.189816	0.00803685	0.166776	0.00910059	0.137755			
0.129199	0.00119882	0.222966	0.00551128	0.1912	0.00810537	0.169011	0.00919207	0.139061			
0.130421	0.00105877	0.224934	0.00562174	0.192583	0.00793109	0.171246	0.00900866	0.140368			
0.131644	0.0011422	0.226902	0.00568054	0.193967	0.00807175	0.173481	0.00907851	0.141674			
0.132866	0.00132564	0.22887	0.0055083	0.195351	0.00795721	0.175716	0.00926601	0.14298			
0.134088	0.00132911	0.230838	0.00575052	0.196734	0.00792171	0.177951	0.00933551	0.144286			
0.135311	0.00119208	0.232806	0.00538877	0.198118	0.00798201	0.180186	0.00887133	0.145592			
0.136533	0.00120248	0.234773	0.00564721	0.199502	0.00807523	0.18242	0.00911972	0.146899			
0.137755	0.00137696	0.236741	0.00576755	0.200886	0.00820607	0.184655	0.00915565	0.148205			
0.138978	0.00120859	0.238709	0.00556354	0.202269	0.00799893	0.18689	0.00908193	0.149511			
0.1402	0.00105774	0.240677	0.00559709	0.203653	0.00801808	0.189125	0.00904361	0.150817			
0.141422	0.00119686	0.242645	0.00592692	0.205037	0.00788051	0.19137	0.00915399	0.152124			
0.142645	0.00143638	0.244613	0.00573446	0.206421	0.00818304	0.193641	0.00911032	0.153458			
0.143867	0.00103972	0.246581	0.00552336	0.207804	0.00794319	0.195911	0.00898491	0.154938			
0.145089	0.0011878	0.248549	0.00578581	0.209188	0.0080629	0.198182	0.00908838	0.156423			
0.146312	0.00137615	0.250517	0.00570348	0.210572	0.0080868	0.200452	0.00909947	0.157907			
0.147534	0.00118895	0.252485	0.00546928	0.211955	0.00788199	0.202723	0.00884602	0.159391			
0.148756	0.00103957	0.254453	0.00581791	0.213339	0.00806479	0.204993	0.00902747	0.160875			
0.149979	0.00104251	0.25642	0.00575056	0.214723	0.00802339	0.207263	0.00911743	0.16236			
0.151222	0.00118263	0.258329	0.00586431	0.216107	0.00810608	0.209534	0.00923115	0.163844			
0.152706	0.00113701	0.260051	0.00575011	0.21749	0.00804085	0.211804	0.00916693	0.165328			
0.154209	0.00125659	0.261771	0.00578762	0.218874	0.00807543	0.214075	0.00914767	0.166812			
0.155713	0.00115784	0.263491	0.00579184	0.220258	0.00795755	0.216345	0.00895801	0.168296			
0.157216	0.00114986	0.265212	0.00579135	0.221641	0.00806748	0.218615	0.00911834	0.169781			
0.15872	0.00101101	0.266932	0.00558211	0.223025	0.00788449	0.220886	0.00902819	0.171265			
0.160224	0.00127365	0.268652	0.00568927	0.224409	0.00800795	0.223161	0.0090086	0.172749			
0.161727	0.0011268	0.270373	0.00555823	0.225792	0.00814124	0.225447	0.00906517	0.174234			
0.163231	0.00126505	0.272093	0.00576709	0.227138	0.00796697	0.227732	0.00906892	0.175718			
0.164735	0.00120917	0.273814	0.0056736	0.22816	0.00798242	0.230017	0.00925799	0.177202			
0.166238	0.0013099	0.275534	0.00563809	0.229163	0.00781949	0.232303	0.00905502	0.178687			
0.167742	0.00111299	0.277254	0.00560962	0.230167	0.0082877	0.234588	0.00911847	0.180171			
0.169245	0.00134596	0.278975	0.00553303	0.23117	0.00801919	0.236873	0.00906466	0.181655			
0.170749	0.00122094	0.280695	0.00570518	0.232173	0.00792617	0.239159	0.0092546	0.183141			
0.172253	0.00121348	0.282415	0.0057112	0.233177	0.00813627	0.241444	0.00910512	0.184694			
0.173756	0.00125783	0.284136	0.00572537	0.23418	0.0080918	0.243729	0.00919651	0.186264			
0.17526	0.000997331	0.285856	0.0056807	0.235183	0.00800122	0.246015	0.00884149	0.187834			
0.176764	0.00111309	0.287576	0.00572548	0.236186	0.00819341	0.2483	0.00927161	0.189403			
0.178267	0.00141826	0.289297	0.00571334	0.23719	0.00807626	0.250586	0.00905303	0.190973			
0.179819	0.00124455	0.291017	0.0057403	0.238193	0.0080497	0.252871	0.00903241	0.192543			
0.181517	0.00110771	0.292737	0.00582078	0.239196	0.00806746	0.255157	0.00907904	0.194112			
0.183217	0.00130123	0.294452	0.0055716	0.240199	0.00790204	0.25737	0.00904076	0.195682			
0.184916	0.00135523	0.295979	0.0055388	0.241202	0.00814415	0.259539	0.00911999	0.197252			
0.186616	0.00117024	0.297472	0.00555143	0.242206	0.0081011	0.261709	0.00903113	0.198822			
0.188315	0.00102828	0.298964	0.00571969	0.243209	0.00801857	0.263879	0.00918855	0.200391			
0.190015	0.00105214	0.300456	0.00566554	0.244212	0.0080322	0.266049	0.00905304	0.201961			
0.191714	0.00135378	0.301948	0.0057904	0.245216	0.00814985	0.268219	0.009064	0.203531			
0.193414	0.00140659	0.303441	0.00561382	0.246219	0.00794436	0.270388	0.00913987	0.205101			
0.195114	0.00119717	0.304933	0.00566796	0.247222	0.00820818	0.272558	0.00908678	0.20667			
0.196813	0.00124573	0.306425	0.00555174	0.248225	0.00787431	0.274728	0.00922512	0.20824			
0.198513	0.00125619	0.307917	0.00561226	0.249229	0.00798239	0.276898	0.00899195	0.20981			
0.200212	0.00101661	0.309409	0.00569371	0.250232	0.00803191	0.279068	0.0092121	0.21138			
0.201912	0.00120482	0.310901	0.00563765	0.251235	0.00814092	0.281238	0.00904929	0.212949			
0.203611	0.0013119	0.312394	0.00576639	0.252239	0.00814257	0.283408	0.0090933	0.214519			
0.205311	0.0011469	0.313886	0.00568605	0.253242	0.00807454	0.285578	0.00898586	0.216086			
0.20701	0.00106571	0.315378	0.00540569	0.254245	0.00792838	0.287748	0.0089509	0.217621			
0.208711	0.00125148	0.31687	0.00578822	0.255248	0.00807044	0.289917	0.00926433	0.219155			
0.210509	0.00125495	0.318362	0.00572408	0.256251	0.00803584	0.291981	0.00900972	0.220688			
