lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.0585151	0.000650954	0.0486887	0.00518289	0.0562272	0.00498952	0.0711991	0.00141035	0.0957513	0.00155428	0.00985444	0.0161386	-0.454231
0.0599291	0.000912801	0.0498057	0.00509511	0.0577838	0.00498944	0.0731782	0.00132296	0.098215	0.00152666	0.00952828	0.0170147	-0.396335
0.0613431	0.000749784	0.0509228	0.00524558	0.0593404	0.00482139	0.0751573	0.00146004	0.100679	0.00140366	0.00948605	0.0142789	-0.343843
0.0627571	0.000706828	0.0520399	0.00523706	0.060897	0.00483673	0.0771365	0.00143356	0.103143	0.00141272	0.00897758	0.0137353	-0.292377
0.0641713	0.000731006	0.053157	0.00524304	0.0624536	0.00496772	0.0791157	0.00137084	0.105606	0.00161114	0.00986861	0.0178509	-0.237276
0.0655855	0.000665463	0.0542741	0.00526893	0.0640109	0.00495317	0.0810948	0.00150228	0.10807	0.00160372	0.0109732	0.0129674	-0.1756
0.0669997	0.000633839	0.0553912	0.00515243	0.065604	0.00496333	0.0830739	0.0014297	0.110534	0.00149634	0.0103062	0.0110041	-0.117399
0.0684138	0.000577766	0.0565084	0.00517839	0.0672055	0.00476379	0.0850551	0.00145913	0.112998	0.00140855	0.0102762	0.031801	-0.0570544
0.069828	0.000767756	0.0576254	0.00525167	0.0688071	0.0048785	0.0870812	0.0012825	0.115461	0.00144731	0.00967501	0.0778162	0.000652451
0.0712421	0.00077198	0.0587424	0.00519677	0.0704088	0.00473371	0.0891132	0.00134172	0.117925	0.00144422	0.0090377	0.1147787	0.0623857
0.0726563	0.0008127	0.0598596	0.00513049	0.0720103	0.00468926	0.0911454	0.00137818	0.120389	0.00118945	0.00773573	0.1177502	0.123362
0.0740704	0.000527069	0.0609767	0.00517922	0.0736119	0.00484787	0.0931774	0.00125937	0.122848	0.00144027	0.00756299	0.0923428	0.183142
0.0754845	0.000741612	0.0620937	0.00541059	0.0752134	0.0050613	0.0952096	0.00146213	0.125254	0.00149621	0.00818944	0.049022	0.24951
0.0768988	0.000619083	0.0632106	0.00514168	0.076815	0.00496246	0.0972418	0.00136506	0.127657	0.00154186	0.0083432	0.0142405	0.317242
0.078313	0.000812006	0.0643277	0.00541702	0.0784165	0.00481555	0.0992739	0.00150684	0.13006	0.00132724	0.00698511	0.0093884	0.393824
0.0797272	0.0006873	0.0654445	0.00534149	0.0800181	0.00488152	0.101306	0.00126135	0.132463	0.00151429	0.00605073	0.0155675	0.460135
0.0811414	0.000837685	0.066512	0.00527157	0.0816197	0.00487225	0.103338	0.00166766	0.134866	0.00130174	0.00598612	0.0140926	0.526486
0.0825555	0.000689588	0.0673214	0.00520049	0.0832213	0.00497097	0.10537	0.00147066	0.137269	0.00144803	0.00602575	0.0097813	0.590178
0.0839696	0.000467919	0.0681236	0.00530347	0.084823	0.00497584	0.107402	0.00149837	0.139672	0.00136994	0.00560351	0.010388	0.655642
0.0853838	0.000756612	0.0689258	0.00538485	0.0864245	0.00489822	0.109434	0.00137045	0.142075	0.00144608	0.00540517	0.010994	0.716957
0.086798	0.000654803	0.0697279	0.00534121	0.0880262	0.00487848	0.111466	0.00134008	0.144478	0.00150436	0.00483908	0.0091223	0.777954
0.0882122	0.000657431	0.07053	0.00522744	0.0896279	0.00482532	0.113498	0.00127251	0.146881	0.00136174	0.00467253	0.0078145	0.843157
0.0896264	0.000765155	0.0713322	0.00523941	0.0912294	0.00480822	0.115531	0.00124088	0.149284	0.00132506	0.00466384	0.0091592	0.908098
0.0910309	0.000708328	0.0721344	0.0052256	0.092831	0.00489077	0.117562	0.00147101	0.151687	0.00135715	0.00485733	0.0099344	0.979651
0.0923721	0.000645388	0.0729365	0.00531829	0.0944326	0.00505209	0.119589	0.0013321	0.154091	0.00144803	0.0052768	0.009159	1.04395
0.0937107	0.000674558	0.0737386	0.00530696	0.0960343	0.00495923	0.121615	0.00129469	0.156469	0.00140938	0.00518277	0.0084136	1.10962
0.0950492	0.000718692	0.0745408	0.0053796	0.0976352	0.00479073	0.123642	0.00107639	0.1588	0.00173619	0.00444563	0.0091968	1.18026
0.0963878	0.000768849	0.075343	0.00514445	0.09917	0.00484995	0.125669	0.00138639	0.161131	0.00140376	0.00335607	0.0103836	1.25714
0.0977264	0.000632072	0.0761451	0.0052184	0.100686	0.00495922	0.127696	0.00168653	0.163462	0.00149878	0.00291615	0.0100281	1.32683
0.099065	0.000741045	0.0769473	0.00523145	0.102202	0.00504182	0.129723	0.00133475	0.165793	0.00150068	0.00326503	0.008678	1.39218
0.100404	0.000662425	0.0777494	0.00509481	0.103718	0.00488003	0.13175	0.0014867	0.168124	0.00140042	0.00347848	0.0087017	1.46207
0.101742	0.00046363	0.0785515	0.00511397	0.105233	0.0049114	0.133777	0.00168025	0.170455	0.00132435	0.00345272	0.0105605	1.54602
0.103081	0.000728	0.0793536	0.00522118	0.106749	0.00485336	0.135804	0.00155009	0.172785	0.00158636	0.00311453	0.0106326	1.62533
0.104419	0.000593478	0.0801558	0.0052433	0.108265	0.00490385	0.137831	0.0015771	0.175116	0.00146423	0.00324391	0.0082148	1.70119
0.105758	0.000615133	0.0809579	0.0052855	0.109781	0.00483352	0.139858	0.00156004	0.177447	0.0015512	0.00366206	0.008866	1.78384
0.107097	0.000691616	0.0817599	0.00522297	0.111297	0.00493467	0.141885	0.00167693	0.179779	0.00126724	0.00332804	0.0107321	1.86485
0.108435	0.000688689	0.082562	0.00531532	0.112813	0.00507816	0.143912	0.00165375	0.182109	0.00152022	0.00246323	0.0082714	1.94358
0.109774	0.000760902	0.0833642	0.00525418	0.114329	0.00495281	0.145939	0.00153498	0.18444	0.00159856	0.00187318	0.0076326	2.03742
0.111112	0.000949544	0.0841665	0.00520396	0.115845	0.00497303	0.147966	0.00162633	0.186771	0.00149993	0.000594549	0.0089173	2.18711
0.112451	0.000669118	0.0849686	0.00509296	0.117361	0.00482261	0.149987	0.0015955	0.189102	0.00144047	0.000807058	0.0090933	2.31496
0.11379	0.000830301	0.0857709	0.00517047	0.118877	0.00483373	0.151996	0.00158231	0.191331	0.00166095	0.000868954	0.0084521	2.41621
0.115128	0.000806352	0.086573	0.00513776	0.120392	0.0048974	0.154005	0.00145542	0.193501	0.00152673	0.000751745	0.0077341	2.51345
0.116467	0.000829785	0.0873753	0.00524238	0.121908	0.00484131	0.156014	0.00150118	0.195671	0.00144045	0.00091432	0.0084699	2.61426
