lap4_13_samp	cur4_13_samp	lap4_14_samp	cur4_14_samp	lap4_15_samp	cur4_15_samp	lap4_16_samp	cur4_16_samp	sub2	ind_t	ind_delta_vm
0.0704963	0.0036696	0.0655783	0.00373075	0.0621778	0.00368955	0.101742	0.0035947	0.0154722	8.58E-06	0.0922753
0.0731382	0.00348907	0.0665368	0.0037912	0.0633153	0.00362601	0.103577	0.00367978	0.0148895	0.0618925	0.1132405
0.0757801	0.00380986	0.0674954	0.00369458	0.0644529	0.00365342	0.105412	0.00367011	0.0139379	0.134495	0.1058822
0.0784221	0.00353342	0.0684539	0.00361081	0.0655904	0.00351958	0.107248	0.00350789	0.0143793	0.198163	0.0786988
0.0810641	0.00362455	0.0694124	0.00356161	0.0667279	0.00359984	0.109083	0.00387749	0.0136823	0.258492	0.044809
0.0837062	0.00361452	0.070371	0.00360189	0.0678654	0.00369603	0.110918	0.00350054	0.0123736	0.313908	0.0176954
0.0863483	0.0035267	0.0713296	0.00367954	0.069003	0.00382526	0.112754	0.00363682	0.0120665	0.373311	0.0085824
0.0889904	0.00364572	0.072288	0.00363623	0.0701405	0.00345272	0.114589	0.00363672	0.0127087	0.434032	0.0147338
0.0916326	0.00360315	0.0732465	0.00384031	0.0712782	0.00372957	0.116424	0.00355452	0.0121905	0.497464	0.0197564
0.0943055	0.00374258	0.074205	0.00361275	0.0724156	0.00358376	0.118259	0.00369346	0.0119701	0.560943	0.0170136
0.0970788	0.00375938	0.0751634	0.00364845	0.0735532	0.00358781	0.120095	0.00356706	0.00979899	0.619184	0.0130043
0.0998531	0.00358117	0.0761219	0.00361859	0.0746906	0.00370647	0.12193	0.00371757	0.00898045	0.683738	0.0121601
0.102627	0.0036822	0.0770803	0.00355089	0.075828	0.00354191	0.123765	0.00363363	0.00992491	0.744134	0.0130412
0.105402	0.00377806	0.0780389	0.00371512	0.0769656	0.00358328	0.125601	0.00361396	0.010548	0.807624	0.0141053
0.108176	0.00356767	0.0789974	0.0034767	0.0781032	0.00388938	0.127436	0.0035473	0.00951849	0.872586	0.0152511
0.11095	0.00344435	0.0799558	0.00351052	0.0792406	0.00363857	0.129271	0.00349089	0.00727856	0.939975	0.0145082
0.113725	0.00379842	0.0809142	0.00360711	0.0803781	0.00350352	0.130956	0.00369447	0.00638881	1.0269	0.0126632
0.116499	0.00340973	0.0818727	0.00355917	0.0813409	0.0038361	0.132573	0.00376713	0.00806835	1.11179	0.0144139
0.119274	0.00357875	0.0828313	0.00348441	0.0821487	0.00359914	0.13419	0.00373523	0.00731173	1.18558	0.0147921
0.122048	0.00359339	0.0837898	0.00349609	0.0829566	0.00379203	0.135807	0.00353099	0.00640104	1.25543	0.0114667
0.124823	0.00353518	0.0847482	0.00354276	0.0837643	0.0036647	0.137424	0.0035173	0.00792992	1.33315	0.0092999
0.127575	0.00351934	0.0857069	0.00382234	0.0845721	0.00366233	0.139041	0.00372278	0.00760193	1.41117	0.0103154
0.130223	0.0036941	0.0866655	0.0036962	0.0853799	0.00352077	0.140658	0.00364305	0.00682464	1.50194	0.0119766
0.132868	0.00370317	0.0876239	0.00357373	0.0861877	0.00362703	0.142274	0.00381952	0.00749391	1.59475	0.0130854
0.135514	0.00346482	0.0885825	0.00368942	0.0869956	0.0036074	0.143891	0.00340122	0.00626382	1.71742	0.0095786
0.138159	0.00365789	0.0895411	0.00355099	0.0878034	0.00366664	0.145508	0.00374926	0.00619715	1.83793	0.0074429
0.140805	0.00357748	0.0904996	0.00367636	0.0886113	0.00366194	0.147125	0.00351337	0.00675924	1.95344	0.010455
0.14345	0.00367776	0.0914582	0.00349204	0.089419	0.0037168	0.148742	0.00366845	0.00652147	2.06775	0.0111633
0.146095	0.00374911	0.0924167	0.00366275	0.0902268	0.00379304	0.150358	0.00357345	0.00532269	2.18525	0.0111762
0.148741	0.00370024	0.0933752	0.00361025	0.0910345	0.0035623	0.151975	0.00360868	0.00382359	2.33675	0.0094107
0.151386	0.00350648	0.0943338	0.00353331	0.0918423	0.00356867	0.153592	0.00336784	0.00373063	2.4458	0.0096321
0.154032	0.00364494	0.0952924	0.00364204	0.0926501	0.00376723	0.155209	0.00363257	0.00294601	2.53324	0.0087037
0.156677	0.00366626	0.096251	0.00367413	0.0934579	0.00355848	0.156826	0.00368751	0.00204496	2.66577	0.0080012
0.159323	0.00364411	0.0972094	0.00357714	0.0942657	0.00340629	0.158443	0.00375809	0.00165369	2.81435	0.0065963
0.161964	0.00352434	0.098168	0.00353633	0.0950735	0.00370079	0.16006	0.00365103	0.00151612	2.9571	0.0069342
0.164404	0.00352135	0.0991266	0.00372585	0.0958814	0.00341304	0.161676	0.00361186	0.00126177	3.07021	0.0074617
0.166801	0.0035595	0.100085	0.00372473	0.0966891	0.00361686	0.163293	0.0036719	0.00137324	3.17525	0.007052
0.169197	0.00360131	0.101044	0.00353406	0.0974967	0.00356373	0.16491	0.00350902	0.00112983	3.32793	0.0074696
0.171594	0.00372065	0.102002	0.00366724	0.0983046	0.0036266	0.166524	0.00375861	0.00110473	3.4609	0.0085463
0.173991	0.00360599	0.102961	0.00365842	0.0991124	0.00375392	0.167961	0.00337005	0.00109591	3.53996	0.0095777
0.176387	0.00342712	0.103919	0.0037713	0.0999202	0.0035384	0.169355	0.00362066	-0.000534603	3.62969	0.0060045
0.178784	0.00341499	0.104878	0.0038328	0.100728	0.00350901	0.170749	0.00355197	-0.000923326	3.81984	0.0042515
0.18118	0.00362218	0.105836	0.00363407	0.101536	0.00346891	0.172144	0.00365053	0.00127391	4.1299	0.0060851
0.183577	0.00351173	0.106795	0.00346461	0.102344	0.00363539	0.173538	0.00367475	0.000566325	4.30114	0.0065658
0.185974	0.0035142	0.107754	0.00375061	0.103151	0.00369425	0.174932	0.00360603	-0.00097199	4.37996	0.003965
0.188371	0.00355851	0.108712	0.00360871	0.103959	0.00371195	0.176326	0.0037073	-0.000933058	4.46655	0.0044948
0.190767	0.00355938	0.109671	0.00366476	0.104767	0.00361986	0.17772	0.0035366	-0.00111743	4.60648	0.0047485
0.193164	0.00361702	0.110629	0.00381524	0.105575	0.00346892	0.179114	0.00348707	0.000111404	4.82165	0.0046894
0.195561	0.00356658	0.111588	0.00371671	0.106382	0.00370796	0.180509	0.0036152	-7.64E-05	4.96743	0.005594
0.197955	0.00348175	0.112546	0.00399646	0.10719	0.00374841	0.181903	0.00365013	-0.000718129	5.30469	0.005518
0.200136	0.00355281	0.113505	0.00358948	0.107998	0.00393081	0.183297	0.00379402	-0.000876493	5.52052	0.0060808
0.202254	0.00365953	0.114463	0.00351644	0.108806	0.00344409	0.184691	0.00369418	-0.000990085	5.67	0.0067462
0.204373	0.00377211	0.115422	0.00380489	0.109614	0.00372652	0.186085	0.00361769	-0.00141718	5.77667	0.0075388
0.206492	0.00344425	0.11638	0.00370735	0.110421	0.00336019	0.18748	0.00353115			
0.20861	0.00384847	0.117339	0.00379445	0.111229	0.00365355	0.188874	0.00358564			
