lap2_14_samp	lap2_15_samp	lap2_16_samp	lap2_17_samp	lap2_18_samp	cur2_14_samp	cur2_15_samp	cur2_16_samp	cur2_17_samp	cur2_18_samp	rp1936
5.81022e-05	6.32623e-05	8.16167e-05	3.09037e-05	2.47717e-08	-0.000783771	-0.00119731	-0.000167734	-0.000772476	-0.000458567	-0.0574721
0.00160251	0.00174485	0.00225084	0.000852522	4.26043e-07	-0.000570202	-0.000640535	-0.000572491	-0.00061369	-0.000600494	-0.0569697
0.00320493	0.0035261	0.0045016	0.00170504	1.00026e-06	-0.000430342	-0.000368838	-0.000641956	-0.000551712	-0.00057746	-0.057731
0.00480739	0.00535268	0.0067525	0.00255749	1.44375e-06	-0.000687121	-0.000495001	-0.000494121	-0.000667449	-0.000542129	-0.0574958
0.00640992	0.00717936	0.00900337	0.00341098	1.89607e-06	-0.000276875	-0.000633438	-0.000704153	-0.000537846	-0.000781026	-0.0574066
0.00801241	0.00900589	0.0112543	0.00448339	2.35344e-06	-0.000608515	-0.000407773	-0.000730046	-0.000521914	-0.000470917	-0.0578875
0.00961492	0.0108325	0.013505	0.00558561	2.86839e-06	-0.000371411	-0.000435674	-0.000320516	-0.000723951	-0.000799727	-0.0576203
0.0112174	0.0126591	0.0157558	0.00668786	3.30452e-06	-0.000595452	-0.000746524	-0.000589996	-0.000522687	-0.000830238	-0.0577459
0.0128199	0.0144857	0.0180173	0.00779008	3.63153e-06	-0.000623955	-0.000579213	-0.0004645	-0.00041194	-0.000619043	-0.0574233
0.0144224	0.0163123	0.0202957	0.00889222	3.99235e-06	-0.000611775	-0.000432836	-0.00057494	-0.000432352	-0.000695003	-0.0568681
0.016025	0.018139	0.0225742	0.00999437	4.33179e-06	-0.000423053	-0.000541587	-0.000659398	-0.000557707	-0.000628863	-0.0569884
0.0176162	0.0199657	0.0248526	0.0110965	4.83277e-06	-0.000731343	-0.000509547	-0.000660095	-0.00070626	-0.000598084	-0.0568491
0.0191616	0.0217922	0.0271311	0.0121987	5.24498e-06	-0.000567016	-0.000465025	-0.000754704	-0.000374732	-0.000470349	-0.0566113
0.0207072	0.0236188	0.0294094	0.0133009	5.60264e-06	-0.000536944	-0.000591166	-0.000695616	-0.000356787	-0.000531565	-0.0567069
0.0222527	0.0254455	0.0316878	0.0144032	6.01896e-06	-0.000378071	-0.000941002	-0.00057553	-0.000667483	-0.000479796	-0.0561614
0.0237981	0.027272	0.0339662	0.0155054	6.37813e-06	-0.000524743	-0.000620632	-0.000402549	-0.00054721	-0.000785032	-0.0554794
0.0253436	0.0290985	0.0362448	0.0166075	6.75732e-06	-0.000743588	-0.0006415	-0.000335788	-0.000750851	-0.00048159	-0.0558356
0.026889	0.030925	0.0385232	0.0177098	7.08902e-06	-0.000510851	-0.000556858	-0.000780249	-0.000397725	-0.000571375	-0.056176
0.0284344	0.0327516	0.0408016	0.018812	7.41356e-06	-0.000466372	-0.000495238	-0.000820608	-0.000425237	-0.000585937	-0.0563766
0.0299798	0.0345954	0.0430798	0.0199142	7.84634e-06	-0.000517899	-0.000547275	-0.000438181	-0.000523044	-0.000554566	-0.0554555
0.0315252	0.0364672	0.0453583	0.0210164	8.29659e-06	-0.000460516	-0.000612184	-0.000615061	-0.000573709	-0.000521968	-0.0555625
0.0330705	0.0383389	0.0476367	0.0221186	8.66501e-06	-0.00091895	-0.000368934	-0.000667406	-0.000550489	-0.00048597	-0.0551096
0.034616	0.0402106	0.0499316	0.0232208	9.06271e-06	-0.000828765	-0.000514851	-0.000374084	-0.00060778	-0.000552918	-0.0551356
0.0361614	0.0420823	0.0522404	0.024323	9.44606e-06	-0.000601212	-0.000485354	-0.000413372	-0.000529621	-0.000511883	-0.0554979
0.0377069	0.043954	0.0545492	0.0254252	9.86873e-06	-0.000488895	-0.000674633	-0.000414396	-0.000389579	-0.000449903	-0.0557019
