lap2_9_samp	lap2_9b_samp	lap2_10_samp	lap2_11_samp	lap2_12_samp	lap2_13_samp	cur2_9_samp	cur2_9b_samp	cur2_10_samp	cur2_11_samp	cur2_12_samp	cur2_13_samp	rp48	rp1423
0.021586	0.0278	0.0365637	0.0165718	0.0923417	0.029003	-0.000424727	-0.000370398	-0.000606258	-0.000389656	-0.000338725	-0.000571041	-0.0589495	-0.0534085
0.0224162	0.0285	0.0380674	0.0174393	0.0956123	0.0290034	-0.000392391	-0.000455797	-0.000159637	-0.00046291	-0.000521359	-0.000486253	-0.0594648	-0.0536292
0.0232465	0.0293	0.0395709	0.018307	0.0988829	0.029004	-0.000578366	-0.000365084	-0.000379955	-0.000429524	-0.000411309	-0.000426156	-0.0589382	-0.05317
0.0240766	0.0301	0.0410745	0.0191745	0.102154	0.0290044	-0.000275268	-0.000601745	-0.000281575	-0.000391065	-0.000517463	-0.000504445	-0.0591602	-0.0531383
0.0249068	0.0308	0.0425781	0.0200421	0.105424	0.0290049	-0.000445222	-0.000554418	-0.000574491	-0.00039575	-0.000430802	-0.000543631	-0.0587591	-0.0522033
0.025737	0.0316	0.0440819	0.0209098	0.108695	0.0290053	-0.000262609	-0.000567966	-0.000433946	-0.000451583	-0.000653341	-0.000364706	-0.0585812	-0.0518034
0.0265674	0.0323	0.045631	0.0217774	0.111965	0.0290057	-0.000515107	-0.000610705	-0.00040773	-0.000483811	-0.000286178	-0.000382769	-0.0592678	-0.051295
0.0273976	0.0331	0.0472794	0.022645	0.115236	0.029006	-0.000332654	-0.000290504	-0.000477292	-0.00032091	-0.000610485	-0.000457477	-0.059598	-0.0512474
0.0282279	0.0339	0.0489279	0.0235126	0.118506	0.0290065	-0.000525575	-0.000457991	-0.000534892	-0.000349287	-0.000645615	-0.000231364	-0.0598011	-0.0517301
0.0290582	0.0346	0.0505764	0.0243803	0.121777	0.029007	-0.000365697	-0.000571914	-0.000464574	-0.000539867	-0.000429595	-0.000407204	-0.0592297	-0.0523933
0.0298884	0.0354	0.052225	0.0252478	0.124989	0.0290073	-0.000410733	-0.000289053	-0.000330725	-0.000276877	-0.00029878	-0.000472116	-0.0587979	-0.0515402
0.0307185	0.0362	0.0538735	0.0261155	0.128025	0.0290077	-0.000476773	-0.000368143	-0.000440775	-0.000543172	-0.000419778	-0.000354307	-0.058468	-0.0523248
0.0315371	0.0369	0.055522	0.0269831	0.131059	0.029008	-0.000419138	-0.00055699	-0.000682177	-0.000493437	-0.000633615	-0.000558727	-0.0592858	-0.0509753
0.0323525	0.0377	0.0571706	0.0278598	0.134093	0.0290083	-0.000304643	-0.000490888	-0.000509469	-0.000662818	-0.000400354	-0.000318583	-0.0590638	-0.0518717
0.0331678	0.0385	0.0588191	0.028983	0.137127	0.0290087	-0.00048095	-0.00060703	-0.000394111	-0.0002767	-0.00027509	-0.000237735	-0.0590515	-0.0520683
0.0339831	0.0392	0.0604677	0.0301454	0.140161	0.029009	-0.000429987	-0.000461737	-0.000201234	-0.00047722	-0.000567511	-0.000518031	-0.0586696	-0.0525645
0.0347984	0.04	0.0621162	0.0313079	0.143195	0.0290094	-0.000264207	-0.000485867	-0.000471622	-0.000509631	-0.000555023	-0.000351695	-0.0586798	-0.0522657
0.0356137	0.0407	0.0637648	0.0324702	0.146229	0.0290098	-0.000243952	-0.000219557	-0.000347623	-0.000620583	-0.000622996	-0.000325156	-0.058411	-0.0527968
0.0364291	0.0415	0.0654134	0.0336327	0.149263	0.0290101	-0.000389108	-0.00053145	-0.000468376	-0.000266997	-0.00033259	-0.00035848	-0.0579632	-0.0539622
0.0372444	0.0423	0.0670619	0.0347952	0.152297	0.0290105	-0.000459782	-0.00047507	-0.000440835	-0.000247135	-0.000477676	-0.000468249	-0.0572631	-0.0540046
0.0380597	0.043	0.0687104	0.0359577	0.155331	0.0290108	-0.000612433	-0.00044427	-0.000404905	-0.000554344	-0.000348084	-0.00043172	-0.0579313	-0.0539705
0.0388749	0.0438	0.0703589	0.0371201	0.158365	0.0290112	-0.000475405	-0.000361827	-0.00052487	-0.000452141	-0.000356641	-0.000592258	-0.0576632	-0.0543265
0.0396902	0.0446	0.0720075	0.0382826	0.161256	0.0290116	-0.000362855	-0.000219292	-0.000580198	-0.000318855	-0.000385166	-0.000518877	-0.0568323	-0.0547082
0.0405056	0.0453	0.0737146	0.039445	0.16396	0.029012	-0.000507292	-0.000446662	-0.000435472	-0.000319067	-0.000220453	-0.000616051	-0.0555888	-0.0548249
0.0413209	0.0461	0.0755869	0.0406075	0.166665	0.0290123	-0.000269321	-0.000484467	-0.000450162	-0.000421138	-0.000538373	-0.000566546	-0.0566295	-0.0550041
0.0421362	0.0468	0.0774604	0.0417701	0.169369	0.0290127	-0.000335835	-0.00028449	-0.000363127	-0.000691273	-0.000560393	-0.000509057	-0.055195	-0.0542781
0.0429516	0.0478	0.079334	0.0429326	0.172073	0.029013	-0.000426778	-0.000461077	-0.000557505	-0.000607146	-0.000557954	-0.000454091	-0.0550364	-0.0547118
0.0437669	0.0487	0.0812076	0.0440952	0.174777	0.0290134	-0.000455353	-0.000500855	-0.000211533	-0.000365411	-0.000540072	-0.000432378	-0.0546106	-0.0554209
0.0445822	0.0497	0.0830813	0.0452577	0.177482	0.0290138	-0.000291037	-0.00035689	-0.000271524	-0.000350869	-0.000480381	-0.000663342	-0.0536118	-0.0548969
0.0453976	0.0506	0.0849549	0.04642	0.180186	0.0290142	-0.000440164	-0.000450403	-0.000356821	-0.00052636	-0.000466318	-0.000524291	-0.0535306	-0.0549399
0.0462129	0.0516	0.0868283	0.0475824	0.18289	0.0290144	-0.00053255	-0.000413463	-0.000238429	-0.000426622	-0.000393306	-0.000554755	-0.0544336	-0.0547057
0.0470283	0.0525	0.0887019	0.048745	0.185595	0.0290148	-0.00015008	-0.000501182	-0.000448672	-0.000510197	-0.00086508	-0.000497992	-0.0549917	-0.0544239
0.0478436	0.0535	0.0905754	0.0499074	0.188299	0.0290151	-0.000247921	-0.000239875	-0.000543025	-0.000465306	-0.000419623	-0.000548287	-0.0560016	-0.0548633
0.0486588	0.0544	0.0924492	0.0510699	0.191003	0.0290155	-0.000381275	-0.000465962	-0.000439785	-0.000573912	-0.000242476	-0.000406222	-0.0559676	-0.0547235
0.0494741	0.0554	0.0943228	0.0522325	0.193707	0.0290158	-0.000328311	-0.000561211	-0.000505299	-0.000370717	-0.000482191	-0.000253012	-0.0547049	-0.0548688
0.0502894	0.0563	0.0961962	0.053395	0.196412	0.0290163	-0.00033395	-0.000441492	-0.000375004	-0.000393723	-0.000305856	-0.000347651	-0.0539014	-0.0540425
0.0511048	0.0573	0.0980697	0.0545574	0.198913	0.0290167	-0.000512646	-0.00027575	-0.000301601	-0.000356975	-0.000591112	-0.000559939	-0.0553722	-0.0545772
0.0519201	0.0582	0.0999431	0.0557199	0.201206	0.029017	-0.000428468	-0.000331273	-0.000206928	-0.000462329	-0.000337516	-0.000396907	-0.0552377	-0.0544579
0.0527356	0.0592	0.101817	0.0569265	0.203498	0.0290174	-0.000464986	-0.000507753	-0.000228117	-0.000674146	-0.000571725	-0.000385844	-0.0535407	-0.0535116
0.053551	0.0602	0.103713	0.0582252	0.205791	0.0290177	-0.000412465	-0.000317663	-0.000396443	-0.000287908	-0.000482557	-0.000426145	-0.0535647	-0.0535224
0.0543663	0.0611	0.105699	0.0595242	0.208084	0.0290181	-0.000342457	-0.000616064	-0.000369613	-0.000386988	-0.000559437	-0.000390224	-0.0541106	-0.0534252
0.0551817	0.0621	0.107686	0.0608232	0.210376	0.0290185	-0.000520383	-0.000483807	-0.000249832	-0.00042234	-0.000528134	-0.000477804	-0.0538619	-0.0541018
0.055997	0.063	0.109673	0.0621223	0.212669	0.0290188	-0.000282499	-0.000468953	-0.000286327	-0.000631471	-0.000634404	-0.000450138	-0.0536374	-0.0545971
0.0568123	0.064	0.11166	0.0634212	0.214962	0.0290192	-0.000410236	-0.000425808	-0.000528606	-0.000540666	-0.000339693	-0.000342188	-0.0531077	-0.0544209
0.0576277	0.065	0.113647	0.0647203	0.217254	0.0290197	-0.000536573	-0.00065395	-0.000604706	-0.000310514	-0.000512903	-0.000458904	-0.0527642	-0.0537629
0.058443	0.0667	0.115634	0.0660194	0.219547	0.02902	-0.000252976	-0.000275036	-0.000540263	-0.000725538	-0.000242435	-0.000591969	-0.0530898	-0.0530839
0.0592583	0.0684	0.117622	0.0673184	0.22184	0.0290205	-0.000296038	-0.000259598	-0.000441993	-0.000434052	-0.000345432	-0.00053541	-0.0534553	-0.0526236
0.0600737	0.0701	0.119609	0.0686175	0.224133	0.0290208	-0.000416557	-0.000402286	-0.000618669	-0.000395233	-0.000400387	-0.000621738	-0.0525683	-0.0532048
0.0608889	0.0718	0.121596	0.0699166	0.226425	0.0290211	-0.000194464	-0.000418169	-0.000701219	-0.000506413	-0.000280823	-0.000733837	-0.0516339	-0.053137
0.0617051	0.0735	0.123583	0.0712157	0.228718	0.0290213	-0.000496463	-0.000307583	-0.000625003	-0.000565872	-0.00028995	-0.000385937	-0.0524585	-0.0538202
0.0625444	0.0752	0.12557	0.0725148	0.231011	0.0290217	-0.000169866	-0.000329567	-0.000309539	-0.000613482	-0.000313379	-0.000439544	-0.0530734	-0.0537699
0.0633874	0.0769	0.127557	0.0738139	0.233303	0.0290221	-0.000476518	-0.000429924	-0.000450925	-0.000329485	-0.000525764	-0.00039531	-0.0517683	-0.0535396
0.0642305	0.0787	0.129544	0.075113	0.235512	0.0290225	-0.000735718	-0.000325368	-0.000448842	-0.000346001	-0.000489453	-0.000448121	-0.0520334	-0.0527826
0.0650736	0.0804	0.131531	0.076412	0.237481	0.0290229	-0.000293097	-0.000455039	-0.000437451	-0.000371098	-0.000327515	-0.000368571	-0.052708	-0.0524477
0.0659167	0.0821	0.133519	0.077711	0.239447	0.0290232	-0.000432563	-0.000395417	-0.000388907	-0.000464879	-0.00054036	-0.000359411	-0.0510617	-0.0525936
0.0667598	0.0838	0.135506	0.07901	0.241414	0.0290236	-0.000669247	-0.000464244	-0.000367837	-0.000382181	-0.000490884	-0.000371895	-0.0509797	-0.051797
0.0676028	0.0855	0.13746	0.0803091	0.243381	0.029024	-0.000453961	-0.000483774	-0.000551196	-0.000443605	-0.000482977	-0.000570308	-0.0516928	-0.0515028
0.0684459	0.0872	0.139362	0.0816081	0.245348	0.0295166	-0.000413953	-0.000482807	-0.000304919	-0.000384612	-0.000391304	-0.00039939	-0.050855	-0.0515607
0.069289	0.089	0.141264	0.0829071	0.247315	0.0303791	-0.000500303	-0.000611148	-0.000355667	-0.000461793	-0.000477979	-0.000296383	-0.0524398	-0.0514528
0.070132	0.0909	0.143166	0.0842062	0.249281	0.0312417	-0.000604909	-0.000591089	-0.000668925	-0.0006236	-0.000645753	-0.000771459	-0.0518066	-0.0515279
0.0709751	0.0931	0.145068	0.085507	0.251248	0.0321041	-0.000340172	-0.000575447	-0.000344422	-0.00063869	-0.000501542	-0.000484742	-0.0514078	-0.0516959
0.0718182	0.0952	0.14697	0.0869041	0.253215	0.0329667	-0.000440149	-0.000307366	-0.000386612	-0.000519517	-0.000355205	-0.000525301	-0.0522999	-0.0522334
0.0726612	0.0974	0.148872	0.0883241	0.255181	0.0338291	-0.000498461	-0.000407638	-0.000610213	-0.000455406	-0.000518381	-0.000254315	-0.0521273	-0.0525936
0.0735043	0.0996	0.150774	0.0897441	0.257148	0.0346917	-0.000375656	-0.000547809	-0.000427614	-0.000329895	-0.000443275	-0.000570634	-0.0504963	-0.0527096
0.0743473	0.1018	0.152676	0.0911642	0.259115	0.0355541	-0.000387961	-0.000355228	-0.000403809	-0.000513032	-0.000395477	-0.000847667	-0.0509832	-0.0516939
0.0751904	0.1039	0.154578	0.0925843	0.261081	0.0364167	-0.000376934	-0.000575149	-0.000548122	-0.000568955	-0.000339948	-0.000573503	-0.0527119	-0.0525461
0.0760333	0.1061	0.15648	0.0940045	0.263048	0.0372793	-0.000328176	-0.000358763	-0.000288829	-0.000553151	-0.00029366	-0.000402056	-0.0518979	-0.0525416
0.0768763	0.1083	0.158382	0.0954247	0.265015	0.0381418	-0.000286756	-0.000662829	-0.000302763	-0.0004134	-0.000230736	-0.000388118	-0.0513159	-0.052013
0.0777194	0.1105	0.160284	0.0968448	0.266981	0.0390044	-0.00056257	-0.000268258	-0.000478035	-0.000490142	-0.00013547	-0.000216389	-0.0509833	-0.0515394
0.0785624	0.1126	0.162186	0.0982649	0.268948	0.039867	-0.000391495	-0.00039676	-0.000412933	-0.000502099	-0.000400959	-0.000504697	-0.0504678	-0.0522747
0.0794055	0.1148	0.164088	0.0996851	0.270915	0.0407294	-0.000445157	-0.000480127	-0.00041773	-0.000284197	-0.000324312	-0.000571932	-0.052142	-0.053123
0.0802486	0.117	0.16599	0.101105	0.272882	0.041592	-0.00057907	-0.000407452	-0.000495205	-0.00050697	-0.000517145	-0.000513403	-0.052655	-0.051828
0.0810916	0.1192	0.167892	0.102525	0.27466	0.0424546	-0.000710267	-0.00047832	-0.000437473	-0.000253847	-0.000353683	-0.000332045	-0.0534875	-0.0523769
0.0819346	0.1215	0.169794	0.103945	0.276281	0.0433171	-0.000210525	-0.000639902	-0.000383544	-0.00033953	-0.000387421	-0.000494656	-0.0536056	-0.0525557
0.0827776	0.1239	0.171695	0.105365	0.277902	0.0441795	-0.000368084	-0.000293959	-0.000418916	-0.000571729	-0.00048232	-0.000476254		
0.0836206	0.1262	0.173478	0.106786	0.279523	0.045042	-0.00045933	-0.000643171	-0.000380724	-0.000289514	-0.000422247	-0.000691909		
0.0844637	0.1286	0.175177	0.108206	0.281144	0.0459046	-0.000528206	-0.000507341	-0.000476311	-0.000717503	-0.000554526	-0.000467467		
0.0853068	0.131	0.176877	0.109626	0.282765	0.0467671	-0.000355316	-0.000513759	-0.000362244	-0.000405057	-0.000366478	-0.000463313		
0.0861497	0.1333	0.178576	0.111046	0.284386	0.0476296	-0.000499056	-0.000430634	-0.000574564	-0.000621487	-0.00048101	-0.000646432		
0.0869928	0.1357	0.180276	0.112466	0.286007	0.0484922	-0.000664024	-0.00059123	-0.000444464	-0.000547937	-0.00034358	-0.000644738		
0.0878359	0.1381	0.181975	0.113886	0.287628	0.0496765	-0.000401707	-0.000440538	-0.000208024	-0.000524672	-0.000177671	-0.000302866		
0.0886789	0.1404	0.183675	0.115307	0.289249	0.0510681	-0.000419862	-0.000239957	-0.000403844	-0.000303418	-0.000370406	-0.000549698		
0.0895219	0.1428	0.185374	0.116788	0.29087	0.0524598	-0.000561709	-0.000336909	-0.000508604	-0.000317815	-0.00032594	-0.000376119		
0.0903651	0.1452	0.187074	0.118299	0.292491	0.0538517	-0.000509454	-0.000284197	-0.000401771	-0.000456914	-0.000472075	-0.000278759		
0.0912082	0.1475	0.188773	0.119809	0.294112	0.0552435	-0.000403429	-0.000438195	-0.000364097	-0.000361045	-0.000540109	-0.000513403		
0.0920512	0.1499	0.190473	0.121319	0.295733	0.0566352	-0.000376854	-0.00040601	-0.000660303	-0.000415745	-0.00045056	-0.0004122		
0.0928942	0.1523	0.192172	0.12283	0.297354	0.0580269	-0.000493875	-0.000500939	-0.000572902	-0.000479988	-0.000432869	-0.000327735		
0.0937373	0.1547	0.193872	0.12434	0.298975	0.0594187	-0.00031944	-0.00044269	-0.000515444	-0.000618927	-0.000394174	-0.000352678		
0.0945802	0.1571	0.195571	0.125851	0.300596	0.0608104	-0.000316995	-0.000344725	-0.000433143	-0.000331015	-0.000263573	-0.000620768		
0.0954232	0.1595	0.197271	0.127361	0.302217	0.0622021	-0.000444094	-0.000513028	-0.000379444	-0.000396118	-0.000300049	-0.00039892		
0.0962663	0.1619	0.198971	0.128871	0.303838	0.0635939	-0.00044758	-0.000538933	-0.000302239	-0.000521814	-0.000499365	-0.000343696		
0.0970905	0.1643	0.20067	0.130382	0.305459	0.0649857	-0.000275848	-0.000467796	-0.000564492	-0.000483767	-0.000349606	-0.000403374		
0.0978583	0.1667	0.20237	0.131892	0.30708	0.0663774	-0.000613403	-0.00045426	-0.00038867	-0.00052404	-0.000400652	-0.000497239		
0.0986256	0.1691	0.204069	0.133402	0.3087	0.0677691	-0.000542794	-0.000525227	-0.000451105	-0.000405953	-0.000155454	-0.000524672		
0.0993929	0.1715	0.205769	0.134913	0.310321	0.0691609	-0.000337245	-0.000508557	-0.000248026	-0.000574111	-0.0004093	-0.000421933		
0.10016	0.1739	0.207468	0.136423	0.311942	0.0705527	-0.000390158	-0.000414492	-0.000319737	-0.00052675	-0.000419448	-0.000424161		
0.100928	0.1763	0.209168	0.137934	0.313408	0.0719444	-0.000403376	-0.000225313	-0.000331996	-0.000538021	-0.000449815	-0.000337816		
0.101695	0.1787	0.210867	0.139444	0.314738	0.0733363	-0.000773731	-0.000560082	-0.000453991	-0.000340822	-0.000363218	-0.000322806		
0.102463	0.1811	0.212567	0.140954	0.316067	0.0749204	-0.000426225	-0.000408605	-0.000413169	-0.000632131	-0.00041225	-0.000545697		
0.10323	0.1835	0.21403	0.142465	0.317397	0.0766857	-0.000378266	-0.000431687	-0.000389543	-0.000508399	-0.000248471	-0.000379555		
0.103997	0.1859	0.215364	0.143975	0.318726	0.0784509	-0.000450354	-0.00043145	-0.000321563	-0.000385651	-0.000344954	-0.000676799		
0.104765	0.1883	0.216698	0.145485	0.320056	0.0802162	-0.000413876	-0.000405713	-0.000461064	-0.000477867	-0.000495906	-0.000322959		
0.105532	0.1907	0.218032	0.146996	0.321385	0.0819814	-0.000656252	-0.000512028	-0.000403776	-0.000519011	-0.000519336	-0.00042693		
0.106299	0.1931	0.219366	0.148506	0.322715	0.0837467	-0.000335673	-0.000513109	-0.000454423	-0.00059437	-0.000452622	-0.000206345		
0.107067	0.1956	0.2207	0.149992	0.324044	0.085512	-0.00035282	-0.000701091	-0.000587313	-0.000435779	-0.000504718	-0.00047487		
0.107834	0.198	0.222034	0.151419	0.325374	0.0872773	-0.000637248	-0.000315575	-0.000422277	-0.000472888	-0.000509651	-0.000453059		
0.108602	0.2004	0.223368	0.152847	0.326703	0.0890427	-0.000484366	-0.000481309	-0.000449113	-0.000352431	-0.00049578	-0.000340337		
0.109369	0.2028	0.224702	0.154274	0.328032	0.090808	-0.000584555	-0.000195212	-0.000441595	-0.000476229	-0.000198404	-0.000468545		
0.110136	0.2052	0.226036	0.155701	0.329362	0.0925734	-0.000491375	-0.000401886	-0.000483568	-0.000360391	-0.000349337	-0.00059237		
0.110904	0.2076	0.22737	0.157128	0.330691	0.0943387	-0.000325679	-0.000696014	-0.00014009	-0.000244658	-0.000532405	-0.000419583		
0.111671	0.21	0.228704	0.158555	0.332021	0.0961041	-0.000445586	-0.000615856	-0.000552216	-0.000655555	-0.000473706	-0.000438394		
0.112438	0.2124	0.230038	0.159982	0.33335	0.0978693	-0.000620422	-0.000499297	-0.00034223	-0.000514402	-0.000415917	-0.000660908		
0.113206	0.2148	0.231372	0.16141	0.33468	0.0996346	-0.000367723	-0.000415384	-0.00045086	-0.000356819	-0.000165678	-0.000465293		
0.113973	0.2172	0.232707	0.162837	0.336009	0.1014	-0.000375355	-0.000509659	-0.000393136	-0.00030161	-0.000392535	-0.000341382		
0.11474	0.2194	0.234041	0.164264	0.337339	0.103277	-0.000229624	-0.000459282	-0.000397123	-0.000301064	-0.000192453	-0.000491889		
0.115508	0.2216	0.235375	0.165691	0.338668	0.105269	-0.000476423	-0.000361111	-0.000415523	-0.000510037	-0.000437021	-0.000421906		
0.116275	0.2238	0.236709	0.167118	0.339998	0.107263	-0.000224305	-0.000544438	-0.000207824	-0.000405593	-0.000403393	-0.000453977		
0.117043	0.226	0.238043	0.168545	0.341327	0.109256	-0.000500911	-0.000519608	-0.0006387	-0.000447967	-0.000291285	-0.000323645		
0.11781	0.2283	0.239377	0.169973	0.342657	0.111249	-0.000379853	-0.000404265	-0.000296697	-0.000445093	-0.000432761	-0.000558415		
0.118577	0.2305	0.240711	0.1714	0.343991	0.113242	-0.000459431	-0.000655272	-0.000570121	-0.00032717	-0.000367738	-0.00055305		
0.119345	0.2327	0.242045	0.172827	0.345352	0.115235	-0.000432081	-0.000409977	-0.000429788	-0.000217316	-0.000514577	-0.000418997		
0.120112	0.2349	0.243379	0.174254	0.346715	0.117228	-0.000403692	-0.000432628	-0.000469952	-0.000381205	-0.000399943	-0.000418204		
0.12088	0.2371	0.244713	0.175681	0.348077	0.119221	-0.000423014	-0.000481048	-0.00024002	-0.000672727	-0.000551953	-0.000351518		
0.121647	0.2393	0.246047	0.177108	0.34944	0.121214	-0.000576344	-0.00035311	-0.000525664	-0.000496933	-0.000710807	-0.000203874		
0.122414	0.2415	0.247381	0.178536	0.350802	0.123207	-0.000298977	-0.000574643	-0.000594499	-0.000282469	-0.000406203	-0.000400836		
0.123182	0.2437	0.248715	0.179963	0.352165	0.1252	-0.000390174	-0.000626288	-0.000201416	-0.000411705	-0.000396311	-0.000538845		
0.123949	0.246	0.25005	0.18139	0.353528	0.127193	-0.000506025	-0.000280459	-0.000265467	-0.000630681	-0.000649949	-0.000411642		
0.124725	0.2482	0.251384	0.182817	0.35489	0.129186	-0.000458603	-0.000396118	-0.000308741	-0.000342839	-0.000466608	-0.000169822		
0.125598	0.2504	0.252718	0.184244	0.356253	0.131179	-0.000477859	-0.000414079	-0.000202124	-0.000458268	-0.000233315	-0.000459027		
0.12648	0.2526	0.254052	0.185671	0.357615	0.133172	-0.000701659	-0.000365445	-0.000342286	-0.000233751	-0.000434139	-0.00011056		
0.127362	0.2548	0.255386	0.187099	0.358978	0.13518	-0.000477609	-0.000482831	-0.000404116	-0.000494479	-0.000232557	-0.000456077		
0.128243	0.2568	0.25672	0.188526	0.36034	0.137197	-0.000521238	-0.00046265	-0.000272587	-0.000432139	-0.000575083	-0.000473962		
0.129125	0.2586	0.258055	0.189953	0.361703	0.139214	-0.00039412	-0.000365606	-0.000297619	-0.000475654	-0.000244064	-0.000443952		
0.130007	0.2605	0.259389	0.191208	0.363066	0.141231	-0.000510572	-0.000376208	-0.000434977	-0.000571034	-0.000463089	-0.000380475		
0.130889	0.2623	0.260723	0.19232	0.364428	0.143248	-0.000492712	-0.00035438	-0.0004277	-0.000516861	-0.000393697	-0.000400275		
0.131771	0.2641	0.262057	0.193431	0.365791	0.145265	-0.00043069	-0.000232627	-0.00018592	-0.000430429	-0.000384008	-0.000370719		
0.132652	0.2659	0.263391	0.194543	0.367153	0.147282	-0.000553596	-0.00043463	-0.000423425	-0.000423034	-0.000462589	-0.000393608		
