lap6_19_samp	lap6_20_samp	lap6_21_samp	lap6_22_samp	lap6_23_samp	lap6_24_samp	cur6_19_samp	cur6_20_samp	cur6_21_samp	cur6_22_samp	cur6_23_samp	cur6_24_samp	rp2756
0.104606	0.0840154	0.119704	0.0842961	0.0994858	0.113076	-8.00523e-05	-0.000299467	-0.00021694	-1.93069e-05	-0.000165443	-0.000273043	-0.0590187
0.10775	0.0864345	0.123117	0.0866722	0.102146	0.116253	-0.000185492	-0.000218279	-0.000221931	-0.000243095	-0.000246951	-7.18631e-05	-0.0584585
0.110893	0.0888534	0.12653	0.0890482	0.104806	0.11943	-0.000424048	-0.000288713	-0.000330227	-0.000385518	-0.000325353	-5.82979e-05	-0.0582247
0.114036	0.0912724	0.129944	0.0914241	0.107466	0.122607	-0.000132762	-0.000449692	-0.000280692	-0.000194539	-0.000173555	-0.000154284	-0.058066
0.117182	0.0936915	0.133357	0.0938001	0.110126	0.125784	-0.000205524	-0.000185179	-7.51967e-05	-0.000331454	-0.000308018	-0.000368093	-0.0576216
0.120363	0.0961105	0.13677	0.0961761	0.112787	0.12896	-0.00011444	-0.000161001	-0.000179364	-0.000128611	-0.00031754	-0.000169667	-0.0568278
0.123546	0.0985295	0.140183	0.098552	0.115447	0.13216	-0.000359002	-8.95888e-05	-0.000136964	-0.000282859	-0.000264327	-6.04986e-05	-0.0559627
0.126729	0.100949	0.14359	0.100928	0.118107	0.135375	-0.000219153	-0.000133568	-0.000291344	-0.000188237	-0.000283106	-0.000182953	-0.0553994
0.129913	0.103368	0.146991	0.103307	0.120766	0.138591	8.0017e-05	-7.62743e-05	-0.000100794	-0.000310281	-0.000170656	-0.000285717	-0.0552988
0.133096	0.105787	0.150391	0.10574	0.123305	0.141806	1.09227e-05	-0.000407542	-0.000206208	-0.000204169	-0.000161267	-0.000134012	-0.0555085
0.136279	0.108242	0.153792	0.108179	0.125811	0.145021	-0.000107255	-9.0336e-05	-0.000247112	-0.000287303	-0.000204851	-0.000295756	-0.0557796
0.139463	0.110751	0.157193	0.110618	0.128317	0.148237	-0.000243143	-0.000136578	-0.000151177	-0.000339995	4.71744e-05	-8.53296e-05	-0.0558861
0.142646	0.11326	0.160593	0.113057	0.130823	0.151452	-0.000226999	-4.94861e-05	-0.000157528	-0.000170069	-0.000118265	-0.000306649	-0.0556706
0.145829	0.11577	0.163994	0.115497	0.133329	0.154668	-0.000125909	-0.000166086	-0.000142595	-0.00019239	-8.53053e-05	-8.9692e-05	-0.055149
0.149015	0.11828	0.167395	0.117936	0.135835	0.157883	3.849e-05	-0.000394338	-0.000368065	-0.000179592	-0.000187066	-0.000346252	-0.0545028
0.152216	0.120789	0.170795	0.120375	0.138341	0.161098	-0.000282068	-8.50539e-05	-0.000392196	4.79765e-05	-0.00033582	-0.000138771	-0.0539408
0.155418	0.123299	0.174195	0.122814	0.140847	0.16432	-0.000114398	-0.000294558	-0.000350167	-0.000436759	-5.06821e-05	-0.000150896	-0.0535629
0.15862	0.125808	0.17759	0.125253	0.143353	0.167544	-0.000215293	-0.000219923	-0.000183143	-0.000201738	-0.000116443	-0.00034928	-0.0532146
0.161823	0.128318	0.180984	0.127693	0.145858	0.170768	-0.000216282	-7.46024e-05	9.54437e-06	-0.000349315	-0.000125906	-0.00012279	-0.0530992
0.165025	0.130827	0.184379	0.130132	0.148365	0.173992	-0.00036502	-0.000256596	-0.000147923	-0.000324801	-0.000313714	-0.000134695	-0.0531331
0.168227	0.133337	0.187773	0.132571	0.150871	0.177216	-0.000164789	-0.000242812	-0.000180535	-0.000272501	-0.000215827	-0.000361617	-0.0529836
0.171429	0.135846	0.191168	0.135011	0.153376	0.18044	-0.000337288	-0.000216944	-2.94766e-05	-0.000130596	-0.000272238	-0.000211097	-0.0525096
0.174632	0.138442	0.194563	0.137434	0.155868	0.183665	-0.000227406	-0.000281173	-0.000249402	-0.000156099	-7.26762e-05	-0.00011007	-0.0519339
0.177834	0.141126	0.197957	0.139852	0.158198	0.186889	-9.21389e-05	-0.00016911	-0.000371936	-0.000156392	-0.000272299	-3.91088e-05	-0.0516305
0.181035	0.14381	0.201352	0.14227	0.160515	0.190113	-0.000323045	-0.000147246	-0.000238858	-0.00036001	-0.000338821	-0.000374622	-0.0517843
0.184223	0.146495	0.204746	0.144688	0.162832	0.193337	-0.000264111	-0.000325526	-0.000124493	-0.000201017	-0.00024974	-0.000192341	-0.0522738
0.18741	0.149179	0.208158	0.147106	0.165149	0.196574	-0.000306241	-0.000118416	-0.000337922	4.55481e-07	-0.00023497	-3.85575e-06	-0.052743
0.190596	0.151863	0.211575	0.149523	0.167466	0.199815	-0.000212369	-0.000159851	-0.000163168	-0.000371928	-0.000168394	-0.000205294	-0.0528851
0.193783	0.154547	0.214993	0.151941	0.169783	0.203055	-0.000277278	-0.000284278	-0.000151604	-0.000124403	-0.000307367	-0.000131434	-0.0527353
0.19697	0.157231	0.218411	0.154359	0.1721	0.206295	1.84793e-06	-0.000185676	-0.000215159	-0.000116898	-0.000274587	-0.000411287	-0.0525543
0.200157	0.159915	0.221828	0.156777	0.174416	0.209536	-0.000394091	-0.00019718	-0.000266482	-4.78805e-05	-0.000241436	-0.000127073	-0.0525249
0.203344	0.1626	0.225246	0.159195	0.176733	0.212776	-0.000136059	-0.000197492	-0.000180669	-0.000201065	-0.000400586	-0.000218227	-0.0526027
0.206531	0.165284	0.228664	0.161613	0.17905	0.216016	-0.000418807	-9.83291e-05	-6.74695e-05	-0.000313692	-0.000292881	-0.000296512	-0.0526094
0.209718	0.16799	0.232082	0.164031	0.181367	0.219257	-0.000268261	-0.000274398	-1.01049e-05	-0.000129884	-0.000241034	-0.000194857	-0.0524655
0.212906	0.170805	0.235499	0.166449	0.183684	0.222497	-0.000207845	-0.000261465	-0.000279349	-3.27361e-05	-0.00021308	-0.000421966	-0.0523071
0.216108	0.173621	0.23892	0.168905	0.186001	0.225738	-0.00018263	-0.000321539	-0.000267619	-0.000187846	-0.000108224	-0.000102473	-0.0523658
0.21931	0.176438	0.242345	0.171372	0.188317	0.228984	-0.000249253	-0.000197264	-0.000264556	-0.000248574	-0.000208626	-0.000146224	-0.0527964
0.222512	0.179255	0.24577	0.17384	0.190591	0.232231	-8.11033e-05	-0.000256648	-0.000182771	-0.000155859	-0.000199779	-0.00014731	-0.0534232
0.225715	0.182072	0.249195	0.176307	0.19276	0.235478	-0.000294665	-6.15607e-05	-0.000298224	1.12184e-05	-0.000133886	-8.62554e-05	-0.0538859
0.228917	0.184889	0.252621	0.178774	0.194929	0.238725	-0.000334096	-0.000172974	-0.000100078	-0.00048324	-0.000274288	-0.000188505	-0.0540692
0.232119	0.187705	0.256046	0.181241	0.197097	0.241971	-0.000166069	-9.95748e-05	-0.000179776	-0.000182705	-0.000343382	-0.000353506	-0.0540333
0.235322	0.190522	0.259471	0.183708	0.199266	0.245218	-0.000180973	-0.000341382	-0.000480229	-0.000196019	-0.000190011	-0.000108656	-0.0538958
0.238524	0.193339	0.262896	0.186176	0.201434	0.248465	-0.000215709	-0.000178338	-0.000156504	-0.000160283	-0.000307303	-0.000331312	-0.0538822
0.241726	0.196156	0.266322	0.188643	0.203602	0.251712	-0.000152644	-0.000158929	-0.000154179	-0.000112266	-0.000394601	-6.34817e-05	-0.0541693
0.244929	0.198973	0.269745	0.19111	0.205771	0.254959	-7.77348e-05	-0.000208758	-0.000112444	6.83791e-06	-0.00010999	-6.01576e-05	-0.0546241
0.248045	0.201801	0.273139	0.193578	0.207939	0.258203	-0.000113751	-0.000145852	-0.000337559	-7.48679e-05	-0.000135428	-0.000302877	-0.0551882
0.251089	0.204631	0.276531	0.196045	0.210108	0.261422	-0.000142135	-0.00010589	-4.55792e-05	-0.000157057	-0.000446751	-1.27181e-05	-0.056045
0.254134	0.207461	0.279922	0.198526	0.212276	0.26464	-8.33796e-05	-8.87674e-05	-0.000165793	-0.000317084	-0.000426635	-0.000183697	-0.0571008
0.257179	0.210291	0.283314	0.201062	0.214444	0.267857	-0.000259044	-0.000384703	-0.000129955	-0.000202598	-0.000138783	-0.000585477	-0.0578575
0.260224	0.213121	0.286705	0.203598	0.216613	0.271075	-0.000181302	-0.000328485	-0.000255764	-0.000334632	-0.000205756	-0.000193834	-0.0581995
0.263268	0.215951	0.290097	0.206135	0.218781	0.274293	-4.0313e-05	-0.000258564	-0.000234073	-0.000238781	-0.000260715	-0.000236219	-0.0585325
0.266313	0.21878	0.293488	0.208672	0.220949	0.277511	-0.000310253	-0.000222144	-0.000235348	-0.000180332	-0.000210648	-0.000254916	-0.0590684
0.269358	0.22161	0.29688	0.211208	0.223112	0.280729	-0.000409103	-0.000138589	-0.000216227	-9.48731e-05	-0.000127507	-9.35234e-05	-0.0593985
0.272403	0.22444	0.300271	0.213745	0.225268	0.283946	-0.000386983	-7.40699e-05	-0.000137314	-0.000237984	-0.000165622	-0.000276477	-0.0593305
0.275448	0.22727	0.303645	0.216282	0.227424	0.287164	-2.96815e-05	-0.000181785	-0.000206836	-9.57872e-05	-0.000297381	-0.000265836	-0.0592762
0.278491	0.2301	0.306997	0.218818	0.229581	0.29038	-0.000300147	-0.000175093	-0.000272128	-8.81782e-05	-0.000213999	-0.00015767	-0.0594263
0.2815	0.232934	0.310349	0.221355	0.231737	0.293576	-0.000296008	-0.000175744	-0.000190453	5.24567e-05	-5.6153e-05	-0.000385836	-0.0597896
0.284505	0.235772	0.3137	0.223891	0.233893	0.29677	-0.000494633	-0.000120132	-0.000108773	-0.000178091	-0.000135341	-0.000435398	-0.0601369
0.28751	0.23861	0.317052	0.226428	0.23605	0.299965	-0.000147179	-0.00022181	-0.000264318	-0.000428227	-0.000439746	-0.000257807	-0.0604961
0.290515	0.241448	0.320404	0.228966	0.238206	0.303159	-0.00012949	-0.000318934	-0.000137774	-0.000250422	-0.000433205	-0.00022226	-0.0609645
0.293519	0.244285	0.323755	0.231546	0.240362	0.306353	-0.000324483	-0.000297292	-3.8279e-05	-0.000339776	-0.00028727	-0.00023963	-0.0613406
0.296524	0.247123	0.327107	0.234135	0.242518	0.309548	-0.000158843	-0.000295017	-0.000219029	-3.87031e-05	-0.000141274	-0.000351641	-0.0613573
0.299529	0.249961	0.330459	0.236725	0.244674	0.312742	-0.0003724	-0.000249304	1.30745e-05	-0.000251556	-0.000115671	-0.000115435	-0.0612221
0.302533	0.252799	0.333811	0.239314	0.24683	0.315937	-0.000120731	-0.000219054	-0.000277454	0.000132861	-0.000223874	-0.000217551	-0.061496
0.305538	0.255637	0.337166	0.241904	0.248986	0.319131	-0.000174224	-0.000360403	-0.000258524	-0.000353445	-0.000157376	-0.000136714	
0.308543	0.258475	0.340522	0.244493	0.251143	0.322324	-0.00012078	-0.00026951	-0.000216725	-0.000346591	-0.00026569	-7.40789e-05	
0.311543	0.261313	0.343877	0.247083	0.253313	0.325475	-0.000453352	-0.000274248	-0.000234739	-0.000175548	-0.000206413	-1.50482e-05	
0.314526	0.264155	0.347233	0.249672	0.255546	0.328618	-0.000111201	-6.84606e-05	-0.000190428	-0.000149942	-0.000156462	-0.000218801	
0.317509	0.267004	0.350589	0.252262	0.25778	0.331761	-0.000406051	-0.000105785	-0.000174094	-0.000349208	-0.000442138	-0.000264215	
0.320492	0.269853	0.353945	0.254851	0.260013	0.334904	-0.000337297	-0.000178526	-0.000144077	-0.000239492	-8.81481e-05	-6.1552e-05	
0.323475	0.272702	0.357301	0.25744	0.262247	0.338047	-0.000422038	-0.00015475	-0.000242814	-0.000530785	-0.000257195	-0.000269875	
0.326459	0.275551	0.360657	0.26003	0.264481	0.34119	-0.0005013	-0.000286941	-0.000198729	-3.64222e-05	-0.000139913	-0.000391926	
0.329442	0.2784	0.364012	0.262656	0.266715	0.344333	-0.000254088	-0.000233461	-0.000216319	-0.000406239	-0.00017961	-0.000210155	
0.332425	0.281249	0.367357	0.265296	0.268949	0.347476	-0.000258851	-0.000106271	-0.000267928	-0.000134055	-0.000189872	-0.000192699	
