lap3_7_samp	lap3_8_samp	lap3_9_samp	lap3_10_samp	lap3_11_samp	lap3_12_samp	rp1	cur3_8_samp	cur3_9_samp	cur3_10_samp	cur3_11_samp	cur3_12_samp
0.0477877	0.039733	0.110682	1.68E-05	1.62E-05	0.0700522	-0.0532993	-0.000756284	-0.000822137	-0.000720726	-0.000893696	-0.000859212
0.048902	0.0406977	0.113514	1.72E-05	1.67E-05	0.0716034	-0.0538146	-0.00093502	-0.000780363	-0.00103444	-0.000724726	-0.000796232
0.0500164	0.0416624	0.116355	1.77E-05	1.72E-05	0.0731545	-0.0534207	-0.000997587	-0.00101825	-0.000773571	-0.00103967	-0.00085935
0.0511309	0.0426271	0.119196	1.81E-05	1.77E-05	0.0747057	-0.0523512	-0.000877148	-0.00091345	-0.000801411	-0.000693866	-0.000922244
0.0522453	0.0435919	0.122037	1.85E-05	1.81E-05	0.0762569	-0.0526725	-0.000924025	-0.000970295	-0.000918948	-0.00102625	-0.000984473
0.0533596	0.0445565	0.124878	1.89E-05	1.84E-05	0.0778082	-0.0537481	-0.000967979	-0.000748904	-0.00108495	-0.000987867	-0.000830658
0.054474	0.0455212	0.127719	1.93E-05	1.88E-05	0.0793594	-0.0545914	-0.00081991	-0.000904536	-0.000819294	-0.000977872	-0.000992598
0.0555884	0.0464859	0.13056	1.97E-05	1.91E-05	0.0809105	-0.0547939	-0.0010035	-0.000834062	-0.000786961	-0.000894057	-0.000905667
0.0567027	0.0474508	0.133401	2.02E-05	1.95E-05	0.0824618	-0.0552907	-0.000821129	-0.00085271	-0.000857342	-0.00100186	-0.000868983
0.057817	0.0484155	0.136242	2.06E-05	2.01E-05	0.0840131	-0.0568834	-0.0010214	-0.000936513	-0.00090727	-0.000895586	-0.000610014
0.0589313	0.0493803	0.139083	2.10E-05	0.000240032	0.0855643	-0.0572193	-0.000834585	-0.000962377	-0.000846805	-0.000768675	-0.000794522
0.0600457	0.050345	0.141924	2.14E-05	0.00103729	0.0871154	-0.0569921	-0.000855968	-0.000771751	-0.000873546	-0.000844108	-0.000868528
0.0611601	0.0513096	0.144765	2.18E-05	0.00183774	0.0886666	-0.0574384	-0.000769928	-0.000791165	-0.000805275	-0.000938286	-0.000661606
0.0622745	0.0522743	0.147607	2.23E-05	0.0026382	0.0902177	-0.0578059	-0.00089153	-0.000867115	-0.000937867	-0.00118952	-0.000885067
0.0633888	0.0532391	0.150448	2.27E-05	0.00343886	0.0917689	-0.0579074	-0.000841235	-0.000855885	-0.000729123	-0.000927528	-0.000707193
0.0645032	0.0542039	0.153289	2.32E-05	0.00423935	0.0933201	-0.059735	-0.000816187	-0.00072396	-0.000706622	-0.00106791	-0.00076727
0.0656178	0.0551687	0.15613	2.36E-05	0.00503994	0.0948713	-0.0596164	-0.000950775	-0.00078784	-0.00083353	-0.000773027	-0.000761754
0.0667318	0.0561334	0.158971	2.39E-05	0.00584054	0.0964225	-0.0592521	-0.00100888	-0.000950081	-0.000701963	-0.000773509	-0.00100978
0.0677849	0.0570981	0.161812	2.44E-05	0.00664112	0.0979737	-0.0592405	-0.00079223	-0.000719446	-0.000910108	-0.000743614	-0.000788416
0.0688172	0.0580627	0.164653	2.49E-05	0.00744157	0.0995249	-0.0594451	-0.000917794	-0.00101223	-0.000942038	-0.000561043	-0.000705051
0.0698495	0.0590274	0.167494	2.54E-05	0.00824218	0.101067	-0.0601421	-0.000600043	-0.000948096	-0.00100217	-0.000795064	-0.000697971
0.0708817	0.0599921	0.170335	2.58E-05	0.00904277	0.102358	-0.0604968	-0.000848339	-0.00099553	-0.00085077	-0.000847626	-0.000827114
0.071914	0.0609568	0.173176	2.61E-05	0.00984333	0.103607	-0.0600083	-0.000822353	-0.000919543	-0.000897031	-0.000846695	-0.000738093
0.0729462	0.0619217	0.176017	2.65E-05	0.0106438	0.104855	-0.0599388	-0.000725974	-0.000878328	-0.000610893	-0.000693317	-0.000714324
0.0739785	0.0628864	0.178852	2.68E-05	0.0114444	0.106104	-0.0605924	-0.000766809	-0.000912472	-0.000828678	-0.00085675	-0.000853308
0.0750107	0.0638511	0.181685	2.73E-05	0.012245	0.107353	-0.0602607	-0.000934863	-0.000828025	-0.000788198	-0.000949172	-0.000824519
0.0760429	0.0648159	0.184519	2.78E-05	0.0130455	0.108601	-0.0601979	-0.000790404	-0.000853589	-0.00065808	-0.00104352	-0.000803313
0.0770752	0.0657805	0.187353	2.81E-05	0.0138461	0.10985	-0.0600834	-0.000771986	-0.000930993	-0.000668388	-0.000880929	-0.000776406
0.0781074	0.0667484	0.190186	2.85E-05	0.0146467	0.111099	-0.0605899	-0.000652241	-0.000774823	-0.000557599	-0.000853796	-0.000526884
