lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	rp111
0.0601134	0.0613426	0.183831	0.0942671	0.136687	-0.00155918	-0.00140985	-0.00134959	-0.00124462	-0.001286	0.00671588
0.0614721	0.0628448	0.187923	0.0963892	0.139816	-0.00135044	-0.00140498	-0.00120556	-0.00135055	-0.0014116	0.00620386
0.0628309	0.064347	0.191936	0.0985113	0.142953	-0.00131472	-0.00118305	-0.00133324	-0.00132965	-0.00135577	0.00594659
0.0641897	0.0658492	0.195942	0.100633	0.146089	-0.00133088	-0.00127953	-0.0013933	-0.00137701	-0.00122023	0.00615461
0.0655486	0.0673514	0.199947	0.102755	0.149226	-0.00128983	-0.00150527	-0.00104034	-0.00116827	-0.00135485	0.00665481
0.0669075	0.0688536	0.203953	0.104878	0.152363	-0.00124481	-0.0014659	-0.00114796	-0.00137034	-0.00125711	0.00671743
0.0682679	0.0703558	0.207959	0.107	0.1555	-0.00142667	-0.00126473	-0.00115869	-0.00139124	-0.00147114	0.0059327
0.0697189	0.071858	0.211964	0.109122	0.158637	-0.00135058	-0.00130744	-0.00134822	-0.00130188	-0.00117384	0.00526646
0.0711922	0.0733602	0.21597	0.111242	0.161774	-0.00123103	-0.0014117	-0.00129726	-0.00125322	-0.00132952	0.00469959
0.0726654	0.0748624	0.219973	0.113249	0.164911	-0.00119821	-0.0015614	-0.00128598	-0.00133523	-0.00122157	0.00452459
0.0741386	0.0763646	0.223929	0.115224	0.168047	-0.00131981	-0.00125871	-0.00117331	-0.00126818	-0.00126902	0.00506951
0.0756119	0.0778667	0.227877	0.117199	0.171174	-0.0014602	-0.00148809	-0.00133774	-0.00145794	-0.00131893	0.0052351
0.0770852	0.0793689	0.231825	0.119173	0.174295	-0.0011679	-0.00141093	-0.00119563	-0.00136876	-0.00128921	0.00486887
0.0785585	0.0808711	0.235772	0.121148	0.177416	-0.00123622	-0.00123755	-0.0011522	-0.00138896	-0.00138299	0.00470195
0.0800318	0.0823704	0.23972	0.123123	0.180537	-0.00143439	-0.0014081	-0.00126404	-0.00148575	-0.00126427	0.00458891
0.0815051	0.0838428	0.243668	0.125098	0.183658	-0.00141956	-0.00126341	-0.00127524	-0.00110379	-0.0015	0.00422399
0.0829784	0.0853134	0.247615	0.127072	0.186779	-0.00128932	-0.00135433	-0.00130859	-0.00131822	-0.00134097	0.00391697
0.0844518	0.0867839	0.251563	0.129047	0.1899	-0.0012164	-0.00131105	-0.00126099	-0.00148592	-0.00126525	0.00367455
0.0859251	0.0882545	0.255466	0.131022	0.193021	-0.00132569	-0.0012238	-0.00139262	-0.00128538	-0.00123765	0.00352009
0.0873983	0.089725	0.259345	0.132997	0.196142	-0.00142404	-0.00129654	-0.00135193	-0.00151233	-0.00131004	0.00284149
0.0888717	0.0911957	0.263224	0.134972	0.199263	-0.00137644	-0.00139391	-0.00128517	-0.00124168	-0.00135602	0.00262643
0.090345	0.0926663	0.267103	0.136947	0.202391	-0.00122838	-0.00137383	-0.00149854	-0.00127272	-0.00129178	0.00286888
0.0918183	0.094137	0.270982	0.138921	0.205526	-0.00118631	-0.00130715	-0.00117102	-0.00132614	-0.00126692	0.00310477
0.0932916	0.0956076	0.27486	0.140896	0.208662	-0.001301	-0.00153106	-0.00132693	-0.00128861	-0.00131879	0.00299635
0.094765	0.0970783	0.278739	0.142871	0.211797	-0.00139762	-0.00138304	-0.00127097	-0.00127144	-0.00125695	0.00254176
0.0962383	0.0985489	0.282618	0.144846	0.214933	-0.00128557	-0.00142613	-0.00134105	-0.00133079	-0.00134217	0.00145138
0.0977238	0.100019	0.28648	0.146821	0.218068	-0.0014654	-0.00127321	-0.00130911	-0.00143309	-0.00121517	0.00130825
0.0993291	0.10149	0.290304	0.148679	0.221204	-0.00134957	-0.00133885	-0.00143653	-0.00122097	-0.00141428	0.00143004
0.100943	0.102961	0.294127	0.150427	0.224339	-0.00138086	-0.00133014	-0.00134088	-0.00114081	-0.00139292	0.00155938
0.102556	0.104431	0.297951	0.152174	0.227474	-0.00134961	-0.00135014	-0.001442	-0.00135129	-0.00103086	0.00101385
0.10417	0.105902	0.301774	0.153921	0.23061	-0.00125275	-0.00141272	-0.00145303	-0.00116823	-0.00137556	0.000501029
0.105784	0.107372	0.305598	0.155668	0.233753	-0.00149302	-0.0013382	-0.00136687	-0.00120874	-0.00132643	0.000758197
0.107397	0.108843	0.309421	0.157416	0.236909	-0.00116523	-0.00126969	-0.00137997	-0.00138579	-0.00139315	0.000359949
0.109011	0.110314	0.313244	0.159163	0.240066	-0.00130755	-0.00139788	-0.00128775	-0.00106142	-0.00113204	0.000193886
0.110624	0.111784	0.317067	0.16091	0.243223	-0.00129696	-0.00119966	-0.00138995	-0.00137182	-0.00123046	0.000290517
0.112238	0.113255	0.320876	0.162657	0.24638	-0.0013719	-0.00132918	-0.00120966	-0.00125838	-0.00132478	0.000519954
0.113852	0.114725	0.324683	0.164405	0.249537	-0.00145952	-0.00127667	-0.00139864	-0.00130759	-0.00139578	0.000538141
0.115466	0.116171	0.32849	0.166152	0.252693	-0.00149555	-0.00140488	-0.00131914	-0.0014083	-0.00134514	-0.000147503
0.117079	0.117585	0.332297	0.167899	0.25585	-0.00148769	-0.00130682	-0.00123139	-0.00128257	-0.00138076	-0.000171278
0.118693	0.118999	0.336104	0.169647	0.259006	-0.00138241	-0.00135321	-0.00118224	-0.00125773	-0.00128954	0.000563189
0.120306	0.120414	0.339911	0.171394	0.262163	-0.00111822	-0.00133111	-0.00149335	-0.00113687	-0.0011592	0.00048048
0.12192	0.121828	0.343718	0.173141	0.265338	-0.00133103	-0.00131174	-0.00144697	-0.00134297	-0.00145069	-0.000423372
