lap1_27_samp	lap1_28_samp	lap1_29_samp	cur1_27_samp	cur1_28_samp	cur1_29_samp	rp1111
0.000205724	0.000190857	0.000173331	6.62076e-05	0.000245081	0.000102447	-0.00164364
0.00290611	0.00269597	0.00244854	0.000223299	0.000279562	0.000207582	-0.00205574
0.00581237	0.00538594	0.00489705	0.000237953	0.000221386	0.00032187	-0.00206559
0.0087185	0.00802596	0.00734783	0.000292675	0.000224749	0.000323645	-0.00122853
0.0116246	0.0106633	0.00982798	0.000123332	0.000283582	0.000139717	-0.000756532
0.0145309	0.0133005	0.0123107	0.000238596	0.000181513	0.000368366	-0.000376366
0.0174371	0.0159377	0.0147935	8.48137e-05	0.000294024	0.000264687	-0.000348192
0.0203515	0.018575	0.0172763	0.000132353	0.000139135	0.000179301	-0.000884514
0.0232691	0.0212122	0.0197591	0.000317763	0.000332806	0.000135045	-0.000981385
0.0261868	0.0238496	0.022242	0.000209325	0.000186956	0.000332547	-0.00068417
0.0291044	0.0264869	0.0247248	0.000272436	0.00016955	0.000105734	-0.000740832
0.032022	0.0291242	0.0272077	0.000241307	0.000209309	0.000135873	-0.000919422
0.0349397	0.0317615	0.0296905	9.92655e-05	0.00015278	0.000176139	-0.000627181
0.0378573	0.0343987	0.0321733	0.000225859	0.000232487	0.000282617	-0.000154717
0.0407749	0.0370358	0.034656	0.000165745	0.000242419	5.37289e-05	-1.10176e-05
0.0436925	0.0396355	0.0371387	0.000361858	0.000317383	0.00034247	-0.000273934
0.0466101	0.0422188	0.0396302	0.000242896	0.000140386	0.000213666	-0.000580935
0.0495275	0.044802	0.0421426	9.98581e-05	0.000248428	0.000227421	-0.000402005
0.0524387	0.0473853	0.0446551	0.000106602	0.000190191	0.000124393	-0.00069374
0.0553476	0.0499685	0.0471674	0.000275783	0.000291266	0.000266486	0.000102667
0.0582566	0.0525518	0.0496799	0.000285863	0.000255849	0.000342536	0.00073513
0.0611655	0.055135	0.0521924	0.000185673	0.000279965	0.000346139	0.00095116
0.0640743	0.0577183	0.0547049	0.000327585	0.000173585	0.000169228	0.000524033
0.0669831	0.0603015	0.0572174	0.000252191	0.000122027	0.000296043	-1.74679e-05
0.069892	0.0628847	0.0597299	0.000361817	0.000101409	0.000137512	0.000127725
0.0728008	0.0654679	0.0622424	4.19845e-05	0.000194857	0.000197438	0.00113551
0.0757096	0.0680512	0.0647549	0.000135775	0.000119793	0.000241888	0.000970457
0.0786184	0.0706318	0.0672673	0.000394361	0.000138289	0.000137239	0.000769526
0.0815273	0.0731357	0.0697799	0.000204349	0.000265306	0.000191613	0.00142001
0.0844197	0.0756265	0.072285	0.000169288	0.000180972	0.000264675	0.00178101
0.0873038	0.0781171	0.0747827	0.000194175	0.000235718	0.000272324	0.00148238
0.0901877	0.0806077	0.0772805	0.000383812	0.00015878	0.000136504	0.00134516
0.0930717	0.0830984	0.0797782	0.000115014	0.000230738	0.000289534	0.00171001
