lap4_30_samp	lap4_31_samp	lap4_32_samp	lap4_33_samp	lap4_34_samp	rp2529	rp3548	cur4_30_samp	cur4_31_samp	cur4_32_samp	cur4_33_samp	cur4_34_samp	rp5463	lap4_49_samp	lap4_50_samp	lap4_51_samp	lap4_52_samp	lap4_53_samp	cur4_49_samp	cur4_50_samp	cur4_51_samp	cur4_52_samp	cur4_53_samp
0.0685998	0.019903	0.0192669	0.0314637	0.0422691	-0.0615703	-0.0586086	-0.00103244	-0.000771848	-0.000945038	-0.00106395	-0.000868609	-0.0607764	0.0675156	0.0202188	0.0381314	0.0198309	0.0286361	-0.000666592	-0.000689441	-0.00104145	-0.000949379	-0.000722993
0.0719003	0.0209166	0.0202303	0.0329687	0.0444302	-0.0613946	-0.0577583	-0.000698249	-0.00100893	-0.000827991	-0.000793613	-0.00078706	-0.0608968	0.0709525	0.0211971	0.040083	0.0208115	0.0300647	-0.000823641	-0.000981847	-0.00101189	-0.000631853	-0.000877473
0.0752009	0.0219304	0.0211936	0.0344737	0.0465912	-0.0613336	-0.0568703	-0.000859892	-0.000770465	-0.000823898	-0.000984412	-0.000722456	-0.0610455	0.0743893	0.0221754	0.0420346	0.0217922	0.0314934	-0.000918623	-0.000821208	-0.000714893	-0.000718999	-0.000868364
0.0785013	0.0229444	0.022157	0.0359787	0.0487521	-0.0618772	-0.056472	-0.000752255	-0.000779453	-0.000795967	-0.000750526	-0.000984965	-0.0608527	0.0778261	0.0231536	0.0439861	0.0227728	0.032922	-0.000733401	-0.00087485	-0.000725428	-0.000831759	-0.000745409
0.0818017	0.0239582	0.0231204	0.0374835	0.0509133	-0.0619313	-0.0565473	-0.00097897	-0.000841091	-0.000981491	-0.000967275	-0.000757908	-0.0604584	0.0812628	0.024132	0.0459376	0.0237534	0.0343505	-0.000831796	-0.000932785	-0.000622927	-0.000759235	-0.000712446
0.0851021	0.024972	0.0240838	0.0389885	0.0530743	-0.0609821	-0.0566287	-0.000658889	-0.00068827	-0.000763374	-0.00087621	-0.000685683	-0.0601377	0.0846995	0.0251103	0.0478889	0.024734	0.0357792	-0.000881264	-0.000995417	-0.000716416	-0.000952551	-0.000885212
0.0884026	0.0259858	0.0250471	0.0404934	0.0552355	-0.0613054	-0.0565447	-0.000772519	-0.000855441	-0.00085582	-0.00086266	-0.000945139	-0.0599221	0.0881364	0.0260886	0.0498404	0.0257145	0.0372078	-0.000923033	-0.000777162	-0.000608606	-0.000825263	-0.000662459
0.091703	0.0269996	0.0260104	0.0419983	0.0573964	-0.0615273	-0.0565406	-0.000782171	-0.000898148	-0.000741809	-0.000702319	-0.00077507	-0.0597456	0.0915732	0.0270671	0.051792	0.0266952	0.0386365	-0.00067636	-0.000804129	-0.000718456	-0.000743105	-0.000911724
0.0949945	0.0280134	0.0269737	0.0435031	0.0595564	-0.0611485	-0.0567586	-0.000817	-0.00067568	-0.000627381	-0.000843856	-0.000902851	-0.0595953	0.095014	0.0280455	0.0537435	0.0276758	0.0400651	-0.00096437	-0.000828369	-0.000872049	-0.00066274	-0.000845322
0.098178	0.0290272	0.027937	0.0450081	0.0616876	-0.0611433	-0.0570141	-0.000763257	-0.000937653	-0.00074697	-0.000632423	-0.000588363	-0.0595419	0.0984568	0.0290239	0.0556612	0.0286563	0.0415092	-0.000772792	-0.000958859	-0.000677239	-0.00101622	-0.000727781
0.101352	0.030041	0.0289003	0.046513	0.0638142	-0.0613908	-0.0571039	-0.000799076	-0.000585004	-0.00080495	-0.000885823	-0.0008438	-0.0596126	0.1019	0.0300021	0.0575153	0.0296369	0.0429726	-0.000620594	-0.000739636	-0.000913903	-0.000844718	-0.000715522
0.104527	0.0311166	0.0298637	0.0480179	0.0659408	-0.0611371	-0.0568819	-0.000745266	-0.000727344	-0.00067668	-0.000985277	-0.000780243	-0.0594123	0.105343	0.0309805	0.0593694	0.030618	0.0444358	-0.000803734	-0.000894097	-0.000642465	-0.000931581	-0.000915201
0.107701	0.0322554	0.0308271	0.0495228	0.0680673	-0.0605133	-0.0562726	-0.000860367	-0.000905705	-0.000650596	-0.000862933	-0.00103854	-0.0585354	0.108785	0.0319588	0.0612234	0.0316546	0.0458991	-0.000825941	-0.000674811	-0.000788445	-0.000888899	-0.000771863
0.110876	0.0333945	0.0317904	0.0510278	0.0701937	-0.0603391	-0.055597	-0.000845321	-0.000892255	-0.000851341	-0.00105142	-0.000771412	-0.0576052	0.112228	0.0329372	0.0630773	0.0327082	0.0473624	-0.000635714	-0.000948891	-0.000720927	-0.00107667	-0.000952302
0.11405	0.0345333	0.0327538	0.0525327	0.0723202	-0.060869	-0.0553407	-0.00104188	-0.000841467	-0.000911922	-0.00103153	-0.000710538	-0.0575618	0.115671	0.0339155	0.0649312	0.0337619	0.0488257	-0.000783669	-0.000749497	-0.000948929	-0.000775161	-0.00106626
0.117224	0.0356723	0.0337172	0.0540376	0.0744467	-0.0613534	-0.0554079	-0.000816892	-0.000651378	-0.000873891	-0.000675103	-0.000875311	-0.0580474	0.119114	0.0348938	0.0667851	0.0348156	0.050289	-0.000769335	-0.000830818	-0.000735585	-0.000810168	-0.00104635
0.120399	0.0368112	0.0346806	0.0553615	0.0765732	-0.0610145	-0.0553847	-0.000872748	-0.000708854	-0.000717942	-0.000616337	-0.000771498	-0.0581255	0.122557	0.0358721	0.068639	0.0358692	0.0517523	-0.000769417	-0.000861448	-0.00080097	-0.000797102	-0.000722849
0.123573	0.0379501	0.035644	0.0564421	0.0786998	-0.0603849	-0.0554223	-0.000741619	-0.00089887	-0.000762957	-0.000934477	-0.0010515	-0.0576783	0.125988	0.0368505	0.070493	0.0369229	0.0532156	-0.000843178	-0.000953877	-0.000797802	-0.000706156	-0.00083949
0.126747	0.0390891	0.0366074	0.0575227	0.0808262	-0.0603706	-0.0557508	-0.000875507	-0.00116322	-0.000991826	-0.000889288	-0.000797307	-0.0571192	0.129387	0.0378288	0.072347	0.0379765	0.0546788	-0.000954148	-0.000895747	-0.000905922	-0.000760796	-0.000752104
0.129902	0.040228	0.0375707	0.0586033	0.0829527	-0.0606088	-0.0558425	-0.000679227	-0.000996813	-0.000806374	-0.000799972	-0.00113666	-0.0566455	0.132785	0.0388071	0.0742009	0.0390302	0.0561421	-0.000782276	-0.000855549	-0.000723292	-0.000753388	-0.000760896
0.133054	0.0413669	0.0385342	0.0596838	0.0850791	-0.0604501	-0.0553224	-0.000810598	-0.000826856	-0.000933796	-0.00088389	-0.000625069	-0.0563019	0.136184	0.0397855	0.0760548	0.0400838	0.0576054	-0.000679119	-0.000822402	-0.00105249	-0.000880714	-0.000750273
0.136205	0.0425059	0.0394976	0.0607643	0.0872056	-0.0604644	-0.05492	-0.000816483	-0.000590846	-0.000802129	-0.000894473	-0.000709324	-0.0559626	0.139583	0.0407638	0.0779088	0.0411375	0.0590687	-0.0008041	-0.000879035	-0.000734606	-0.000873676	-0.000881156
0.139357	0.0436449	0.0404608	0.0618448	0.0893321	-0.0610363	-0.0550091	-0.00100117	-0.000834923	-0.000614784	-0.000896776	-0.000759398	-0.0554981	0.142982	0.0417423	0.0797627	0.0421912	0.060532	-0.00081937	-0.000851249	-0.000744684	-0.000872788	-0.00073904
0.142509	0.0447838	0.0414242	0.0629252	0.0914586	-0.0611226	-0.0549118	-0.000781586	-0.000766572	-0.000824522	-0.000896149	-0.000753076	-0.0552244	0.146381	0.0427206	0.0816166	0.0432448	0.0619954	-0.000959881	-0.000974114	-0.000889725	-0.00099925	-0.000754411
0.14566	0.0459227	0.0423875	0.0640058	0.093583	-0.0605897	-0.054621	-0.00063075	-0.000900099	-0.000630559	-0.000932095	-0.000857729	-0.0553922	0.149779	0.0436989	0.0834705	0.0442985	0.0634586	-0.000895408	-0.000646738	-0.000743995	-0.00080392	-0.00085989
0.148812	0.0470616	0.0433509	0.0650862	0.0955971	-0.0606359	-0.0547715	-0.000943806	-0.000917483	-0.000911524	-0.000613264	-0.00091793	-0.055223	0.153178	0.0446772	0.0853244	0.0453521	0.064922	-0.000718063	-0.000614433	-0.000721	-0.000892546	-0.000919747
0.151964	0.0482005	0.0443143	0.0661667	0.0975852	-0.0606312	-0.0547386	-0.000757245	-0.000713179	-0.000882003	-0.000671368	-0.00076042	-0.0541926	0.156577	0.0456556	0.0871783	0.0464058	0.0663853	-0.000799989	-0.000776175	-0.000849276	-0.000956092	-0.000988847
0.155116	0.0493395	0.0452776	0.0672473	0.0995733	-0.060294	-0.0544303	-0.000897107	-0.000969049	-0.00067486	-0.00062497	-0.000934027	-0.0531639	0.159952	0.046634	0.0890322	0.0474594	0.0678486	-0.000920476	-0.000752065	-0.00076465	-0.000844509	-0.00073393
0.158268	0.0504784	0.0462409	0.0683277	0.101561	-0.0608156	-0.055229	-0.000894413	-0.00092247	-0.00100842	-0.000970892	-0.000962387	-0.0529797	0.16332	0.0476123	0.0908861	0.048513	0.0693118	-0.000600971	-0.00067039	-0.000659964	-0.000903161	-0.000823126
0.16138	0.0516173	0.0472042	0.0694082	0.103549	-0.060763	-0.0560739	-0.00101908	-0.000844727	-0.000846169	-0.000963879	-0.000789305	-0.0537308	0.166689	0.0485905	0.0927231	0.0495667	0.0707751	-0.000910449	-0.000705107	-0.000763669	-0.000736143	-0.000854014
0.164416	0.0527562	0.0481675	0.0704887	0.105538	-0.0601526	-0.0557235	-0.000809591	-0.000967933	-0.000765521	-0.000891755	-0.000843673	-0.0546478	0.170057	0.0495747	0.0943147	0.0506202	0.072258	-0.00105187	-0.000881937	-0.000795543	-0.000922722	-0.00084141
0.167452	0.0538952	0.0491309	0.0715693	0.107526	-0.0607689	-0.0551534	-0.000809333	-0.000901769	-0.000919257	-0.000717439	-0.00070448	-0.0546698	0.173426	0.0505732	0.0958816	0.0516738	0.0737731	-0.000955255	-0.000929144	-0.00074965	-0.00087323	-0.000723346
0.170489	0.0550342	0.0500942	0.0726498	0.109514	-0.0609493	-0.0549109	-0.000912701	-0.000835694	-0.000887504	-0.000782172	-0.000712635	-0.0542997	0.176794	0.0515718	0.0974486	0.0527274	0.0752883	-0.000820926	-0.000745601	-0.00087074	-0.000719024	-0.000921308
0.173525	0.056173	0.0510577	0.0737302	0.111502	-0.0603542	-0.0552369	-0.000688673	-0.00076415	-0.000820617	-0.000997762	-0.000794214	-0.054261	0.180163	0.0525705	0.0990154	0.0537811	0.0768035	-0.000958555	-0.000631977	-0.000785006	-0.000870745	-0.000837327
