lap3_21_samp	lap3_22_samp	lap3_23_samp	lap3_24_samp	lap3_25_samp	lap3_26_samp	rp315	rp2840	cur3_21_samp	cur3_22_samp	cur3_23_samp	cur3_24_samp	cur3_25_samp	cur3_26_samp
0.0424624	0.13838	0.0760324	0.0464624	0.0805371	0.0619921	-0.0626595	-0.0523767	-0.000895489	-0.00110051	-0.00133535	-0.00121851	-0.00117288	-0.00115666
0.0435018	0.142162	0.0780521	0.0478663	0.0828474	0.0637012	-0.0627965	-0.0524522	-0.00130357	-0.00107675	-0.00118105	-0.00101062	-0.00101784	-0.00107373
0.0445413	0.145945	0.0798692	0.0492702	0.0851577	0.0654103	-0.0629923	-0.0524737	-0.00109461	-0.0012803	-0.00107278	-0.000993241	-0.00118525	-0.0011951
0.0455806	0.149727	0.081682	0.050674	0.0874679	0.0671195	-0.0632201	-0.0523456	-0.00125349	-0.00122616	-0.00110498	-0.00110986	-0.00105381	-0.00108161
0.0466199	0.153509	0.0834949	0.0520778	0.0897912	0.0688285	-0.0634028	-0.0520557	-0.000967602	-0.00119301	-0.00096744	-0.00119991	-0.00119321	-0.00102337
0.0476593	0.157288	0.0853077	0.0534817	0.0921394	0.0705376	-0.0634566	-0.051677	-0.00113289	-0.001167	-0.00112538	-0.000919849	-0.00104992	-0.00101106
0.0486987	0.160904	0.0871205	0.0548856	0.0944876	0.0722466	-0.0633675	-0.0513277	-0.00124089	-0.000979318	-0.000910074	-0.00111311	-0.000914327	-0.00094514
0.0497379	0.164485	0.0889334	0.0562895	0.0968358	0.0739557	-0.0632166	-0.0511113	-0.000958578	-0.00123951	-0.0010036	-0.00109234	-0.000855613	-0.00111198
0.0507773	0.168065	0.0907463	0.0576934	0.0991842	0.0756647	-0.0631173	-0.0510686	-0.0011447	-0.00112745	-0.00108943	-0.00091861	-0.00102018	-0.0010083
0.0518166	0.171646	0.0925591	0.0591056	0.101532	0.0773737	-0.063121	-0.0511639	-0.00112935	-0.00111476	-0.00132696	-0.00115621	-0.00111398	-0.00117727
0.0528558	0.175226	0.094372	0.0606997	0.103881	0.0790626	-0.0631921	-0.0513148	-0.00116743	-0.00102661	-0.00113622	-0.00100931	-0.000987256	-0.00101237
0.0538952	0.178807	0.0961849	0.0623191	0.106229	0.0806492	-0.0632642	-0.0514345	-0.0011108	-0.00119361	-0.0010941	-0.0012101	-0.00111307	-0.0010161
0.0549345	0.182388	0.0979978	0.0639385	0.108578	0.082233	-0.0633061	-0.0514716	-0.00110516	-0.00118892	-0.000898457	-0.000945409	-0.00119175	-0.00105896
0.0559738	0.185968	0.0998107	0.065558	0.110926	0.0838168	-0.0633329	-0.0514335	-0.00101268	-0.00124293	-0.00120806	-0.00111369	-0.00102858	-0.0010809
0.0570131	0.189549	0.101624	0.0671775	0.113274	0.0854007	-0.0633684	-0.0513688	-0.0011991	-0.00117462	-0.00118572	-0.00131034	-0.000753286	-0.00104316
0.0580525	0.19306	0.103436	0.068797	0.115622	0.0869844	-0.0634104	-0.0513339	-0.00109042	-0.00118204	-0.00108405	-0.00104228	-0.00119647	-0.00118963
0.059092	0.196532	0.105249	0.0704165	0.117971	0.0885682	-0.0634371	-0.0513688	-0.0011336	-0.000939633	-0.00103737	-0.00125257	-0.0012771	-0.00107266
0.0601312	0.200003	0.107062	0.0720361	0.120319	0.0901521	-0.0634325	-0.051484	-0.00126447	-0.00118735	-0.00106991	-0.00123336	-0.00115631	-0.00113343
0.0611706	0.203475	0.108875	0.0736556	0.122659	0.0917359	-0.0634001	-0.0516663	-0.0011735	-0.00101693	-0.00114451	-0.00119575	-0.00109725	-0.000970362
0.0622098	0.206947	0.110688	0.0752751	0.124994	0.0933196	-0.06335	-0.0518901	-0.00111716	-0.00109072	-0.00103079	-0.00109757	-0.00114129	-0.00108352
0.063249	0.210419	0.112501	0.0768947	0.12733	0.0949034	-0.0632739	-0.0521241	-0.00098118	-0.0010793	-0.00104404	-0.00108074	-0.000998952	-0.00115686
0.0642884	0.213891	0.114293	0.0785141	0.129665	0.0964872	-0.0631408	-0.052334	-0.00121081	-0.0010074	-0.000988226	-0.00121328	-0.000990666	-0.00146702
0.0653277	0.217362	0.115892	0.0801335	0.132	0.098071	-0.062934	-0.0524943	-0.00107686	-0.000888266	-0.00114184	-0.00110846	-0.00116991	-0.00101041
0.0663671	0.220834	0.117478	0.081753	0.134336	0.0996549	-0.0626848	-0.0525938	-0.00109823	-0.00104651	-0.00110529	-0.00105362	-0.00103221	-0.00114605
0.0674064	0.224298	0.119064	0.0833725	0.136671	0.101239	-0.0624699	-0.0526413	-0.00117057	-0.00103202	-0.00118666	-0.00114317	-0.000925278	-0.000953476
0.0684456	0.227614	0.12065	0.084992	0.139007	0.102823	-0.0623634	-0.0526687	-0.000958642	-0.00117271	-0.00125346	-0.00103312	-0.000950157	-0.00112641
0.0694849	0.230912	0.122235	0.0866238	0.141342	0.104406	-0.0623767	-0.0527162	-0.00134611	-0.00112031	-0.00115541	-0.00125017	-0.00120706	-0.00103453
0.0705242	0.23421	0.123821	0.0884795	0.143677	0.10599	-0.0624471	-0.0528114	-0.00115085	-0.000929649	-0.00121547	-0.00108992	-0.000981185	-0.000961164
0.0715636	0.237508	0.125407	0.090362	0.146013	0.107574	-0.0624836	-0.0529571	-0.0010379	-0.000907931	-0.00114652	-0.000974319	-0.00113509	-0.000980265
0.072603	0.240806	0.126993	0.0922446	0.148348	0.109158	-0.0624292	-0.0531358	-0.00121288	-0.00101561	-0.00109341	-0.00119845	-0.00126294	-0.000999297
0.0736424	0.244103	0.128579	0.0941273	0.150684	0.110742	-0.0622905	-0.0533279	-0.00109172	-0.00110209	-0.00125751	-0.00105626	-0.00107127	-0.000938856
0.0746818	0.247401	0.130165	0.0960099	0.153019	0.112326	-0.0621276	-0.0535231	-0.00106973	-0.00100554	-0.00109655	-0.00123283	-0.00107616	-0.0012409
0.0757212	0.250699	0.131751	0.0978925	0.155322	0.11391	-0.0620094	-0.0537281	-0.00100306	-0.001082	-0.00100748	-0.00103558	-0.00095779	-0.00127324
0.0767605	0.253997	0.133337	0.099775	0.157611	0.115395	-0.0619737	-0.0539601	-0.00112945	-0.00117378	-0.00118457	-0.00115791	-0.00108519	-0.00127907
0.0777998	0.257289	0.134922	0.101657	0.159901	0.116812	-0.0620202	-0.0542272	-0.00114383	-0.000967811	-0.000925653	-0.00103705	-0.000991014	-0.00123209
0.0787948	0.260501	0.136508	0.10354	0.16219	0.118228	-0.0621259	-0.0545276	-0.00110937	-0.00130226	-0.00123264	-0.000990687	-0.000827678	-0.00104409
0.0796485	0.263707	0.138094	0.105423	0.164479	0.119645	-0.0622618	-0.0548445	-0.00112779	-0.00106421	-0.0011579	-0.00124049	-0.00091763	-0.000978962
0.0805008	0.266912	0.13968	0.107305	0.166768	0.121061	-0.0623933	-0.0551548	-0.00109249	-0.00130784	-0.000868604	-0.00108083	-0.000975759	-0.00106609
0.0813531	0.270117	0.141266	0.109188	0.169057	0.122478	-0.0624879	-0.0554463	-0.00128419	-0.001007	-0.00114639	-0.0011607	-0.000858243	-0.00113629
0.0822053	0.273322	0.142852	0.11107	0.171346	0.123894	-0.0625321	-0.0557173	-0.00123585	-0.00107618	-0.000932509	-0.00118542	-0.0011435	-0.00109224
0.0830576	0.276528	0.144437	0.112953	0.173635	0.125311	-0.0625353	-0.0559816	-0.00095189	-0.00118641	-0.00132019	-0.00104065	-0.000997887	-0.0012406
0.0839097	0.279733	0.146023	0.114835	0.175924	0.126728	-0.0625144	-0.0562616	-0.00120563	-0.00119825	-0.00128776	-0.00132603	-0.00115859	-0.00135757
0.0847621	0.282938	0.147609	0.116809	0.178213	0.128144	-0.0624717	-0.0565673	-0.00118959	-0.00134105	-0.00121159	-0.00125287	-0.0011379	-0.00131253
0.0856143	0.286144	0.149195	0.118877	0.180503	0.12956	-0.0624013	-0.0568856	-0.0011362	-0.00111482	-0.00110461	-0.00100157	-0.00104432	-0.00117935
0.0864665	0.289349	0.150781	0.120944	0.182792	0.130977	-0.0623163	-0.0571862	-0.00107467	-0.000991563	-0.00114811	-0.00114328	-0.000990867	-0.00110698
0.0873188	0.292477	0.152237	0.123011	0.185081	0.132393	-0.0622533	-0.057438	-0.000966483	-0.0012172	-0.0011597	-0.00108962	-0.00112473	-0.0011389
0.088171	0.295504	0.1536	0.125079	0.18735	0.13381	-0.0622347	-0.0576252	-0.00111943	-0.00113756	-0.00127714	-0.00107398	-0.00122897	-0.00127905
0.0890233	0.29853	0.154963	0.127146	0.189562	0.135226	-0.0622416	-0.0577595	-0.00135931	-0.000818654	-0.00121007	-0.00124862	-0.00109271	-0.00100023
0.0898756	0.301556	0.156325	0.129213	0.191774	0.136643	-0.0622503	-0.0578668	-0.00136232	-0.0010411	-0.0011088	-0.000939357	-0.000938478	-0.00138848
0.0907278	0.304583	0.157688	0.131281	0.193986	0.138059	-0.0622893	-0.0579731	-0.000962215	-0.00125839	-0.000929249	-0.00123664	-0.00101904	-0.0010725
0.0915801	0.307609	0.15905	0.133348	0.196198	0.139475	-0.0623983	-0.0581076	-0.000994354	-0.000979429	-0.00103798	-0.000785415	-0.00108197	-0.00117392
0.0924323	0.310635	0.160413	0.135415	0.198409	0.140892	-0.0625311	-0.0583073	-0.00117953	-0.00110991	-0.000976497	-0.00123413	-0.00128539	-0.00106188
0.0932846	0.313662	0.161775	0.137482	0.200621	0.142309	-0.0625641	-0.0586024	-0.000988251	-0.0010176	-0.00100638	-0.0011413	-0.0011376	-0.0010748
0.0941368	0.316688	0.163138	0.13955	0.202833	0.143725	-0.0624226	-0.0589722	-0.00115104	-0.00107139	-0.00102276	-0.00107952	-0.00127654	-0.00092127
0.0949891	0.319714	0.164501	0.141617	0.205045	0.145141	-0.0621685	-0.0593137	-0.00131259	-0.00117698	-0.00120398	-0.00106385	-0.00103756	-0.0010507
0.0958413	0.32274	0.165863	0.143684	0.207257	0.146558	-0.0619324	-0.0594955	-0.00104613	-0.00119544	-0.00093142	-0.00137024	-0.00114059	-0.000974644
0.0966936	0.325729	0.167226	0.145753	0.209468	0.147974	-0.0618348	-0.0594482	-0.00123088	-0.00113769	-0.00106936	-0.00116493	-0.0011793	-0.00114075
0.0975458	0.328579	0.168588	0.147907	0.21168	0.14935	-0.0619658	-0.0592463	-0.00114879	-0.00119463	-0.00100893	-0.00112691	-0.00104695	-0.000901573
0.0983981	0.331426	0.169951	0.150081	0.213892	0.150673	-0.0622759	-0.0591448	-0.00106972	-0.0011108	-0.00123918	-0.00120001	-0.00101008	-0.00100535
0.0992504	0.334273	0.171314	0.152257	0.216104	0.151997	-0.0624957	-0.0593921	-0.000948806	-0.00108013	-0.00143206	-0.00112741	-0.00104747	-0.00106129
0.100103	0.337121	0.172676	0.154432	0.218316	0.15332	-0.0623676	-0.0598945	-0.00119551	-0.0011159	-0.00104661	-0.00135507	-0.00117709	-0.0010006
0.100955	0.339968	0.174039	0.156607	0.220525	0.154644	-0.0620369	-0.0602035	-0.00130498	-0.00117712	-0.0010297	-0.0011264	-0.00112736	-0.000967143
0.101807	0.342815	0.175402	0.158782	0.222622	0.155967	-0.0619542	-0.0600681	-0.00105613	-0.00134952	-0.000997453	-0.00119925	-0.00104432	-0.00103166
0.10266	0.345663	0.176764	0.160957	0.224695	0.157291	-0.0622116	-0.0598457	-0.00105224	-0.00126195	-0.00123272	-0.00102804	-0.00121775	-0.00106109
0.103512	0.34851	0.178127	0.163132	0.226768	0.158614	-0.0620893	-0.0602333	-0.000944374	-0.00098614	-0.00119103	-0.00114106	-0.00110246	-0.000946677
0.104364	0.351357	0.179489	0.165307	0.228841	0.159938			-0.00104158	-0.00102543	-0.00120123	-0.00114987	-0.000954301	-0.00119406
0.105216	0.354204	0.180852	0.167482	0.230914	0.161261			-0.00117894	-0.00115248	-0.000997709	-0.00106263	-0.00100646	-0.00114843
0.106069	0.357052	0.182214	0.169657	0.232986	0.162584			-0.00112162	-0.00102269	-0.00114072	-0.00093918	-0.00125997	-0.00112198
0.106921	0.359839	0.183577	0.171832	0.235059	0.163908			-0.00113205	-0.00128361	-0.00104752	-0.00115436	-0.00113415	-0.00104546
0.107773	0.362563	0.18494	0.174007	0.237132	0.165231			-0.000984297	-0.00132037	-0.00111367	-0.00122278	-0.00122825	-0.00107258
0.108659	0.365287	0.186297	0.176183	0.239205	0.166554			-0.000968963	-0.000844102	-0.00108775	-0.000928572	-0.00121084	-0.0010599
0.10958	0.368011	0.187555	0.178368	0.241278	0.167878			-0.000942282	-0.00110311	-0.00136925	-0.00109058	-0.00109886	-0.00126141
0.1105	0.370735	0.188802	0.180574	0.24335	0.169201			-0.00108558	-0.00113052	-0.00105035	-0.00114402	-0.00102414	-0.00114503
0.111421	0.373459	0.190049	0.182781	0.245423	0.170524			-0.000938339	-0.000949649	-0.00104978	-0.00114479	-0.00102849	-0.00106043
0.112341	0.376183	0.191295	0.184987	0.247496	0.171848			-0.001083	-0.00116375	-0.00101653	-0.00129	-0.00103348	-0.00134771
0.113262	0.378907	0.192542	0.187194	0.249569	0.173171			-0.00102729	-0.000992135	-0.00112035	-0.000981056	-0.00109336	-0.00113838
0.114182	0.381631	0.193788	0.1894	0.251642	0.174495			-0.00107143	-0.00132191	-0.00103646	-0.00104346	-0.000961993	-0.00118798
0.115103	0.384355	0.195035	0.191607	0.253715	0.175818			-0.00112719	-0.00127805	-0.0013191	-0.00118984	-0.0011484	-0.00110271
0.116023	0.387079	0.196281	0.193813	0.255732	0.177142			-0.00100796	-0.000861072	-0.00130866	-0.00121896	-0.00104867	-0.00117473
0.116944	0.389803	0.197528	0.196019	0.25768	0.178465			-0.000961841	-0.00119158	-0.00111402	-0.00101221	-0.00115052	-0.00105074
0.117865	0.392496	0.198774	0.198226	0.259628	0.179789			-0.00106947	-0.00115603	-0.00100403	-0.00101438	-0.00120491	-0.000996777
0.118785	0.395149	0.200021	0.200432	0.261576	0.181112			-0.00112695	-0.000962523	-0.00112812	-0.00109063	-0.00108043	-0.00120648
0.119706	0.397803	0.201268	0.202639	0.263523	0.182435			-0.00115909	-0.00104014	-0.00123591	-0.00103466	-0.00103954	-0.00125621
0.120626	0.400456	0.202514	0.204845	0.265471	0.183741			-0.00118616	-0.00130572	-0.0010786	-0.00106087	-0.00110293	-0.00114167
0.121547	0.403109	0.203761	0.207051	0.267419	0.184959			-0.000987988	-0.00105888	-0.000958546	-0.00110155	-0.00111274	-0.00108032
0.122467	0.405763	0.205007	0.209258	0.269367	0.186174			-0.00101632	-0.00118921	-0.00108867	-0.00114272	-0.00131126	-0.00122936
0.123388	0.408416	0.206254	0.211446	0.271315	0.187389			-0.00118717	-0.00110169	-0.000985536	-0.00120363	-0.00111477	-0.00100361
0.124308	0.411069	0.207501	0.213626	0.273263	0.188605			-0.00099082	-0.00127541	-0.000915437	-0.000879874	-0.00104185	-0.00115308
0.125229	0.413722	0.208747	0.215806	0.27521	0.18982			-0.00110399	-0.00113546	-0.00118037	-0.00116932	-0.000984184	-0.0011582
0.126149	0.416376	0.209994	0.217987	0.277158	0.191036			-0.0011949	-0.00106713	-0.00113838	-0.0012213	-0.00110593	-0.00120088
0.12707	0.419029	0.21124	0.220167	0.279106	0.192251			-0.00119465	-0.00114676	-0.00121704	-0.00114557	-0.00106022	-0.00139817
0.127991	0.421682	0.212487	0.222347	0.281054	0.193467			-0.000985995	-0.00120242	-0.000982075	-0.00109792	-0.000902799	-0.00086671
0.128911	0.424327	0.213733	0.224527	0.283002	0.194682			-0.00118359	-0.00115162	-0.00118557	-0.00119975	-0.000872501	-0.00116069
0.129832	0.426916	0.21498	0.226707	0.284949	0.195898			-0.000991176	-0.0010531	-0.00112649	-0.00099789	-0.00112134	-0.00108042
0.130827	0.429503	0.216288	0.228887	0.286897	0.197113			-0.00112167	-0.00111407	-0.000880588	-0.00115689	-0.00108929	-0.0011321
0.132134	0.43209	0.217652	0.231067	0.288814	0.198328			-0.00122547	-0.0011581	-0.00122886	-0.00102522	-0.00119799	-0.00153583
0.133446	0.434676	0.219016	0.233247	0.290698	0.199544			-0.00112002	-0.00100055	-0.00130446	-0.00112253	-0.00120629	-0.00124202
0.134758	0.437263	0.220381	0.235427	0.292583	0.200759			-0.00122845	-0.000934266	-0.00105451	-0.00126665	-0.00130284	-0.00103331
0.136071	0.43985	0.221745	0.237607	0.294467	0.201975			-0.00101626	-0.00114945	-0.00110439	-0.00110377	-0.00137348	-0.00132247
0.137383	0.442437	0.223109	0.239788	0.296352	0.20319			-0.00104093	-0.00100042	-0.00127271	-0.000979414	-0.00124933	-0.00107276
0.138696	0.445023	0.224473	0.241967	0.298237	0.204406			-0.00114098	-0.00113079	-0.000947373	-0.00114139	-0.00114403	-0.0010828
0.140008	0.44761	0.225837	0.244136	0.300121	0.205621			-0.00124937	-0.0011525	-0.00107563	-0.00095213	-0.00116717	-0.00107736
0.14132	0.450196	0.227201	0.246303	0.302005	0.206837			-0.00116772	-0.00105174	-0.00111989	-0.00104812	-0.00114118	-0.00111838
0.142633	0.452783	0.228565	0.248471	0.30389	0.208052			-0.0011667	-0.00127627	-0.00123087	-0.00101936	-0.00118374	-0.00108768
0.143945	0.45537	0.229929	0.250638	0.305774	0.209268			-0.00114591	-0.00121678	-0.000994139	-0.000934651	-0.00112443	-0.00115789
0.145258	0.457931	0.231293	0.252805	0.307659	0.210483			-0.000939055	-0.00113336	-0.00116569	-0.00119694	-0.00140452	-0.00106816
0.14657	0.460465	0.232657	0.254973	0.309543	0.211699			-0.00104009	-0.00108719	-0.00111335	-0.00120722	-0.000906364	-0.00117455
0.147883	0.462998	0.234021	0.25714	0.311427	0.212914			-0.00118664	-0.00115428	-0.000994151	-0.0013551	-0.00116914	-0.00116207
0.149195	0.465532	0.235385	0.259307	0.313312	0.21413			-0.000969608	-0.00113928	-0.00104293	-0.00123016	-0.00105031	-0.00126457
0.150507	0.468066	0.23675	0.261474	0.315196	0.215345			-0.00107312	-0.00118804	-0.00112079	-0.00108915	-0.001255	-0.00101581
0.15182	0.4706	0.238114	0.263642	0.317081	0.216553			-0.00127724	-0.00103053	-0.00141505	-0.0013859	-0.00135333	-0.00108588
0.153132	0.473133	0.239478	0.265809	0.318965	0.217744			-0.00116984	-0.00131288	-0.00118722	-0.00108292	-0.000956501	-0.00112658
0.154445	0.475667	0.240842	0.267976	0.32085	0.218936			-0.0010664	-0.00120698	-0.000988971	-0.00111405	-0.00113963	-0.00127522
0.155757	0.4782	0.242206	0.270144	0.322734	0.220128			-0.00122123	-0.00101382	-0.00101776	-0.000981849	-0.00112373	-0.00117267
0.157113	0.480734	0.243572	0.272311	0.324618	0.22132			-0.00107637	-0.00111122	-0.000971826	-0.000822877	-0.000952646	-0.00112856
0.158699	0.483268	0.245072	0.274478	0.326315	0.222512			-0.00120531	-0.00106229	-0.00107165	-0.00106747	-0.000925239	-0.00116639
0.160293	0.485802	0.246612	0.276597	0.327929	0.223703			-0.00122917	-0.00104816	-0.00117178	-0.00128648	-0.00111087	-0.00130856
0.161886	0.488335	0.248153	0.278668	0.329542	0.224895			-0.00118694	-0.00116941	-0.00110505	-0.00108213	-0.00115584	-0.00126004
0.16348	0.490835	0.249693	0.280739	0.331155	0.226087			-0.00109124	-0.00110385	-0.00100125	-0.00108212	-0.00114675	-0.00111756
0.165073	0.493262	0.251233	0.28281	0.332769	0.227279			-0.00109616	-0.00113945	-0.00110841	-0.00104214	-0.000930646	-0.00120322
0.166667	0.495689	0.252773	0.28488	0.334382	0.228471			-0.0010642	-0.00105606	-0.00116618	-0.00117964	-0.00100383	-0.00113211
0.16826	0.498116	0.254313	0.286951	0.335996	0.229663			-0.00103981	-0.000955934	-0.000946981	-0.00113162	-0.00100544	-0.00108742
0.169854	0.500543	0.255854	0.289022	0.337609	0.230855			-0.00137764	-0.000888603	-0.00117156	-0.001149	-0.00105011	-0.00118343
0.171448	0.50297	0.257394	0.291092	0.339222	0.232047			-0.00110931	-0.00126884	-0.00108073	-0.00118343	-0.00109989	-0.00114627
0.173041	0.505397	0.258934	0.293163	0.340836	0.233238			-0.00137477	-0.00120748	-0.00100248	-0.00118134	-0.00132023	-0.00115311
0.174635	0.507824	0.260475	0.295234	0.342449	0.23443			-0.00116345	-0.00106527	-0.00103137	-0.0010605	-0.000910359	-0.00130586
0.176228	0.510251	0.262015	0.297304	0.344063	0.235622			-0.00130595	-0.00121327	-0.000918872	-0.00120055	-0.00133676	-0.00112572
0.177822	0.512678	0.263555	0.299375	0.345676	0.236814			-0.00117656	-0.00106972	-0.00103672	-0.000825034	-0.000805231	-0.00110425
0.179415	0.515104	0.265095	0.301446	0.347289	0.238006			-0.00105617	-0.00116815	-0.00109008	-0.00127139	-0.00115351	-0.00120072
0.181009	0.517531	0.266636	0.303516	0.348903	0.239198			-0.00117338	-0.00105101	-0.000998736	-0.0010224	-0.00101899	-0.00125097
0.182602	0.519958	0.268176	0.305587	0.350516	0.24039			-0.00103941	-0.00106956	-0.00108867	-0.00119026	-0.00111726	-0.00104651
