lap3_13_samp	lap3_14_samp	lap3_15_samp	lap3_16_samp	lap3_17_samp	cur3_13_samp	cur3_14_samp	cur3_15_samp	cur3_16_samp	cur3_17_samp	rp111
0.000240222	0.000296946	0.000340313	0.000308952	0.000222376	0.000704131	0.000885325	0.000686864	0.000569822	0.000584895	0.00262718
0.00339365	0.00419463	0.00480725	0.00436421	0.00314134	0.00038696	0.000520002	0.000472052	0.000626992	0.000391374	0.00190488
0.00678716	0.00838918	0.0096145	0.00872784	0.00628257	0.000419486	0.000419009	0.000676049	0.000290182	0.000391758	0.00169645
0.00966243	0.0125683	0.0144159	0.013081	0.0094239	0.000492481	0.000560845	0.000608875	0.000256434	0.000402897	0.00211935
0.0115203	0.0167345	0.0192146	0.0174331	0.0125652	0.000333549	0.000617908	0.0004605	0.000394767	0.000442302	0.00197093
0.0133764	0.0209008	0.0240133	0.0217851	0.0157065	0.000311613	0.000381382	0.00049321	0.000368805	0.000354007	0.0019239
0.0152325	0.0250669	0.0288119	0.0261371	0.0188477	0.00048345	0.000448866	0.000517618	0.000457962	0.000528694	0.00214048
0.0170886	0.0292331	0.0336105	0.0304891	0.0219891	0.000447395	0.000382802	0.000591098	0.000442738	0.000312481	0.00236377
0.0189445	0.0333992	0.038409	0.0348412	0.0251301	0.000472928	0.000345087	0.000663804	0.000308663	0.000558397	0.00246196
0.0208004	0.0375653	0.0432082	0.0391931	0.0282285	0.000584371	0.000540417	0.000473688	0.000462681	0.000495077	0.00244493
0.0226565	0.0417321	0.0480122	0.0435309	0.0313121	0.000372909	0.000516607	0.000535721	0.000548089	0.000372523	0.0025086
0.0245125	0.0459171	0.0528165	0.0475516	0.0343954	0.000672637	0.000466425	0.00029976	0.000624687	0.000394311	0.00252527
0.0263685	0.050105	0.0576207	0.051527	0.0374788	0.000657657	0.000425592	0.000358505	0.000280801	0.000501896	0.0024635
0.0282422	0.0542929	0.0624251	0.0555024	0.0405623	0.00043556	0.000465645	0.000296688	0.000404998	0.000442701	0.00252944
0.0310607	0.0584809	0.0672294	0.0594778	0.0436456	0.000329535	0.000385418	0.000432537	0.000401564	0.000425295	0.00260912
0.0341016	0.0626691	0.0720338	0.0634531	0.046729	0.000378212	0.000579365	0.00056039	0.000428565	0.000710337	0.00290113
0.0371425	0.066857	0.076866	0.0674285	0.0498124	0.00026382	0.000539198	0.000463258	0.000340555	0.000583795	0.00315808
0.0401835	0.0710449	0.0817289	0.0714039	0.0528959	0.000460658	0.000295283	0.000683847	0.000420271	0.000372201	0.00321591
