lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
0.0458425	0.0734085	0.0866429	0.0752353	0.105634	0.0838345	0.0486563	-0.000831116	-0.000575688	-0.000508863	-0.000709019	-0.000587384	-0.000346982	-0.000896191	-0.0630092
0.0472144	0.075965	0.0894598	0.0777841	0.109125	0.0866523	0.0501475	-0.000631492	-0.000589176	-0.000648	-0.000895387	-0.000630118	-0.000464967	-0.000428149	-0.0628367
0.0485862	0.0785212	0.0922767	0.0803327	0.112621	0.0894703	0.0516387	-0.000849038	-0.000691183	-0.000601031	-0.000577716	-0.000807406	-0.000583525	-0.000635555	-0.0627949
0.0499582	0.0810775	0.0950935	0.0828816	0.116116	0.0922882	0.0531298	-0.000712105	-0.000683259	-0.00107148	-0.00081065	-0.000760502	-0.000726938	-0.000669838	-0.0629787
0.0513301	0.0836337	0.0979112	0.0854304	0.119612	0.0951061	0.0546209	-0.000185927	-0.000613535	-0.000616029	-0.000880334	-0.000490848	-0.000686301	-0.000842364	-0.0632959
0.052702	0.0861901	0.10075	0.0879791	0.123107	0.0979241	0.056112	-0.000845056	-0.000595812	-0.00073466	-0.000564158	-0.000327955	-0.000756114	-0.000483914	-0.0632472
0.0540741	0.0887464	0.103591	0.0905279	0.126603	0.100742	0.0576031	-0.000517062	-0.00068449	-0.000329936	-0.000597872	-0.000453489	-0.000977523	-0.000873454	-0.0629958
0.055446	0.0913026	0.106431	0.0930767	0.130098	0.10356	0.0590943	-0.000429597	-0.000357043	-0.000391088	-0.000512628	-0.000720952	-0.000341807	-0.000763019	-0.0629907
0.056818	0.0938589	0.109271	0.0956254	0.133594	0.106378	0.0605855	-0.000505427	-0.000468447	-0.000539746	-0.000591019	-0.00064061	-0.000986059	-0.000464932	-0.063125
0.0581898	0.0964194	0.112111	0.0981742	0.137089	0.109196	0.0620766	-0.000644531	-0.000480889	-0.000583973	-0.000900787	-0.000765334	-0.000742917	-0.000600897	-0.0631969
0.0595618	0.0989879	0.114951	0.100723	0.140585	0.112013	0.0634676	-0.000762386	-0.000572404	-0.00101414	-0.000829982	-0.000496611	-0.000776478	-0.000690983	-0.0629489
0.0609336	0.101556	0.117791	0.103266	0.144024	0.114805	0.0646976	-0.000789264	-0.000488421	-0.000690151	-0.000391541	-0.000372552	-0.000432542	-0.000893437	-0.0624107
0.0623054	0.104125	0.120631	0.105778	0.14745	0.117597	0.0659276	-0.000610392	-0.000500918	-0.0006097	-0.00071193	-0.000833589	-0.000790417	-0.000687422	-0.0620223
0.0636774	0.106694	0.123471	0.10829	0.150875	0.120388	0.0671575	-0.00066972	-0.000840626	-0.000556413	-0.000781312	-0.000471194	-0.000572698	-0.000576189	-0.0620288
0.0650494	0.109262	0.126312	0.110802	0.1543	0.12318	0.0683873	-0.000571409	-0.00081619	-0.000428003	-0.000607381	-0.000911958	-0.000420928	-0.0011471	-0.061942
0.0664212	0.111831	0.129152	0.113314	0.157725	0.125971	0.0696173	-0.00079419	-0.000605401	-0.000913792	-0.000846589	-0.000561481	-0.000898626	-0.000527114	-0.0620019
0.0677931	0.114399	0.131981	0.115826	0.16115	0.128763	0.0708471	-0.000761235	-0.000578459	-0.000607866	-0.000448029	-0.000952413	-0.00056787	-0.000647849	-0.0618421
0.0691651	0.116968	0.134806	0.118338	0.164575	0.131554	0.0720769	-0.000529746	-0.00075137	-0.000467543	-0.000671559	-0.000613694	-0.000355831	-0.000459612	-0.0615276
0.070537	0.119537	0.137631	0.120849	0.168001	0.134346	0.0733068	-0.000455627	-0.00102819	-0.000749441	-0.000729977	-0.000613648	-0.000639241	-0.00062149	-0.0611848
0.071909	0.122105	0.140456	0.123361	0.171426	0.137137	0.0745367	-0.000618975	-0.000895255	-0.000772061	-0.000841023	-0.00112534	-0.000551156	-0.000492315	-0.0610359
0.0732408	0.124674	0.14328	0.125873	0.174831	0.139929	0.0757665	-0.000490195	-0.000585346	-0.000708277	-0.000694994	-0.00046298	-0.000690225	-0.000365117	-0.0613321
0.0743948	0.127242	0.146105	0.128385	0.178171	0.14272	0.0769965	-0.000870608	-0.000664431	-0.000560371	-0.000688762	-0.000751082	-0.000427785	-0.000980376	-0.0612483
0.0755486	0.12977	0.14893	0.130897	0.181512	0.145512	0.0782263	-0.00081992	-0.000860577	-0.000584136	-0.000706887	-0.000730839	-0.000681959	-0.000430211	-0.0610988
