lap4_11_samp	lap4_12_samp	lap4_13_samp	lap4_14_samp	lap4_15_samp	lap4_16_samp	rp711	rp1727	cur4_12_samp	cur4_13_samp	cur4_14_samp	cur4_15_samp	cur4_16_samp
0.111187	0.0978066	0.10897	0.100041	0.120379	0.126437	-0.0636644	-0.0604171	-0.000840384	-0.000804018	-0.000968388	-0.00114358	-0.00101172
0.114082	0.100547	0.11188	0.103012	0.123656	0.129735	-0.0635995	-0.0609288	-0.000787931	-0.0010813	-0.000820789	-0.00102418	-0.000986922
0.116976	0.103287	0.114789	0.105984	0.126932	0.133033	-0.0626868	-0.0613619	-0.00106371	-0.00109003	-0.00101053	-0.000916152	-0.00104139
0.119871	0.106027	0.117699	0.108955	0.130208	0.136331	-0.0618144	-0.0615929	-0.000832309	-0.00103233	-0.00111457	-0.000977066	-0.000905554
0.122766	0.108766	0.120599	0.111927	0.133502	0.139629	-0.0615022	-0.0619194	-0.000939221	-0.000759023	-0.000752016	-0.000818398	-0.000849217
0.12566	0.111506	0.123452	0.114898	0.136849	0.142927	-0.0635934	-0.0622986	-0.000800682	-0.000714983	-0.000959696	-0.000801452	-0.000897568
0.128554	0.114246	0.126303	0.11787	0.140196	0.146225	-0.0621395	-0.0624587	-0.000834884	-0.00100521	-0.00114975	-0.000879205	-0.000926131
0.131401	0.117035	0.129154	0.120849	0.143544	0.149523	-0.0623179	-0.0623424	-0.000903061	-0.000790122	-0.00106276	-0.000799552	-0.00102926
0.134225	0.119868	0.132006	0.123931	0.146891	0.152821	-0.063042	-0.0618898	-0.000790947	-0.000832787	-0.000839353	-0.00098313	-0.000927376
0.137049	0.122701	0.134857	0.127021	0.150239	0.15612	-0.0634563	-0.0612885	-0.000933819	-0.000880219	-0.000658034	-0.000954429	-0.00104776
0.139873	0.125535	0.137709	0.130112	0.153586	0.159446	-0.0638477	-0.0614396	-0.000922773	-0.000981909	-0.00102172	-0.000930066	-0.000782924
0.142697	0.128368	0.14056	0.133203	0.156934	0.162777	-0.0645557	-0.0621444	-0.000680076	-0.000779048	-0.000910289	-0.00113268	-0.00100976
0.145521	0.131201	0.143411	0.136294	0.160281	0.166108	-0.0644173	-0.0619674	-0.000884795	-0.0010516	-0.000836876	-0.00111084	-0.000903887
0.148346	0.134034	0.146263	0.139385	0.163631	0.169438	-0.0628295	-0.0612392	-0.00103391	-0.000745171	-0.000753815	-0.000899877	-0.00102585
0.15117	0.136867	0.149114	0.142476	0.167048	0.172769	-0.0625116	-0.0606701	-0.000825595	-0.000993797	-0.000974927	-0.000865182	-0.000865598
0.153994	0.1397	0.151966	0.145566	0.170473	0.1761	-0.062481	-0.0604966	-0.000831065	-0.000990483	-0.000829946	-0.000981374	-0.000827956
0.156818	0.142533	0.154767	0.148657	0.173899	0.179431	-0.0635576	-0.0608268	-0.000834423	-0.000920961	-0.00087234	-0.000847711	-0.000804039
0.159642	0.145366	0.15754	0.151748	0.177325	0.182762	-0.0641609	-0.0606644	-0.00093486	-0.00102951	-0.000837646	-0.00109122	-0.000609406
0.162477	0.14825	0.160313	0.154846	0.18075	0.186093	-0.0637404	-0.0605009	-0.0009821	-0.000749856	-0.00103362	-0.000884566	-0.000958699
0.165324	0.15117	0.163086	0.157947	0.184176	0.189427	-0.062411	-0.0600504	-0.000980112	-0.000937174	-0.000909788	-0.000906469	-0.00103975
0.16817	0.154091	0.165859	0.161047	0.187602	0.192766	-0.0635588	-0.0597315	-0.000953158	-0.00104757	-0.000860402	-0.000814093	-0.000696974
0.171017	0.157011	0.168632	0.164148	0.191027	0.196105	-0.0645984	-0.059913	-0.000993515	-0.000952376	-0.000839711	-0.000947146	-0.000932779
0.173864	0.159932	0.171406	0.167249	0.194453	0.199444	-0.0635871	-0.059448	-0.000950795	-0.000990233	-0.000969333	-0.000822846	-0.00114094
0.17671	0.162852	0.174179	0.17035	0.197887	0.202783	-0.0633164	-0.058273	-0.000967051	-0.000984521	-0.000740807	-0.000695642	-0.000885506
0.179557	0.165773	0.176952	0.17345	0.201326	0.206123	-0.0635147	-0.0577468	-0.000772787	-0.000832841	-0.000931344	-0.000924455	-0.000789096
0.182404	0.168693	0.179725	0.176551	0.204765	0.209462	-0.063227	-0.0580044	-0.000884116	-0.00112593	-0.000885327	-0.00104389	-0.000940006
0.185251	0.171613	0.182498	0.179652	0.208204	0.212801	-0.0628051	-0.0580669	-0.00110734	-0.000832809	-0.000845971	-0.000891618	-0.000823873
0.188098	0.174534	0.185269	0.182753	0.211643	0.21614	-0.0627698	-0.0577609	-0.000694564	-0.00105838	-0.00106287	-0.0010291	-0.000829989
0.190944	0.177458	0.187997	0.185851	0.215082	0.219479	-0.0622774	-0.0575644	-0.000795266	-0.000916212	-0.000995766	-0.000945111	-0.00081239
0.193804	0.180453	0.190718	0.188945	0.21852	0.222793	-0.0622991	-0.0575386	-0.000773285	-0.000729378	-0.000846808	-0.000925925	-0.000849199
0.196686	0.183457	0.193438	0.19204	0.221959	0.226091	-0.0627928	-0.0574405	-0.000809824	-0.000880196	-0.000909376	-0.000963586	-0.00114567
0.199567	0.186461	0.196159	0.195134	0.225398	0.229389	-0.0632418	-0.0573751	-0.00105331	-0.000789217	-0.000968434	-0.000870325	-0.000874485
0.202448	0.189464	0.198879	0.198229	0.228831	0.232687	-0.062348	-0.0575841	-0.00080295	-0.000828107	-0.000711751	-0.000968663	-0.000899806
0.205329	0.192468	0.2016	0.201323	0.232251	0.235985	-0.0620643	-0.0576798	-0.000677504	-0.000781183	-0.000725547	-0.000838969	-0.000988012
0.208211	0.195472	0.204321	0.204417	0.235671	0.239283	-0.0627978	-0.0571127	-0.000785176	-0.00103387	-0.000905978	-0.000717529	-0.000687282
0.211092	0.198476	0.207041	0.207512	0.239091	0.242581	-0.0624606	-0.0563589	-0.000901321	-0.00103765	-0.000836305	-0.000892178	-0.000816917
0.213973	0.201479	0.209762	0.210606	0.242511	0.245879	-0.0615	-0.0562047	-0.000912245	-0.000879278	-0.000830258	-0.000936987	-0.000880008
0.216854	0.204483	0.212482	0.213701	0.245931	0.249177	-0.0610326	-0.0565473	-0.00110295	-0.00071534	-0.000647409	-0.00067719	-0.000924988
0.219736	0.207487	0.215203	0.216811	0.249351	0.252474	-0.0613453	-0.0563583	-0.000718058	-0.00070078	-0.000998648	-0.00094911	-0.000797058
0.222617	0.210531	0.217921	0.219967	0.25277	0.255754	-0.0621003	-0.0552966	-0.000751543	-0.00103337	-0.00121535	-0.000858653	-0.000827011
0.2255	0.213607	0.220611	0.223124	0.25619	0.25903	-0.0630009	-0.0544711	-0.000984618	-0.000745337	-0.000890494	-0.000768249	-0.000966892
0.228389	0.216684	0.223297	0.226281	0.259609	0.262307	-0.062484	-0.0550663	-0.000857044	-0.000943146	-0.00104329	-0.00102217	-0.000923767
0.231277	0.21976	0.225984	0.229438	0.263015	0.265583	-0.0622906	-0.0566896	-0.00106898	-0.000868951	-0.000654168	-0.000942146	-0.000899873
0.234165	0.222837	0.228671	0.232595	0.266419	0.268859	-0.062373	-0.0569889	-0.000697107	-0.00083556	-0.000891637	-0.000929766	-0.000880926
0.237053	0.225913	0.231358	0.235753	0.269822	0.272136	-0.0631414	-0.0563724	-0.00102827	-0.00101498	-0.000712702	-0.00102221	-0.000756991
0.239942	0.22899	0.234044	0.238909	0.273226	0.275412	-0.0629081	-0.0563635	-0.000962395	-0.00101798	-0.00104984	-0.000937518	-0.00100649
0.24283	0.232066	0.236731	0.242066	0.27663	0.278688	-0.0617102	-0.0561287	-0.000926457	-0.000913933	-0.000666548	-0.00092263	-0.00107141
0.245718	0.235143	0.239418	0.245223	0.280033	0.281965	-0.0614225	-0.055445	-0.000834113	-0.000980657	-0.00087579	-0.000922351	-0.000875008
0.248607	0.238219	0.242105	0.248386	0.283437	0.285241	-0.0626736	-0.0550112	-0.000800835	-0.000967874	-0.000653052	-0.000794742	-0.000856136
0.251495	0.241303	0.244792	0.251569	0.28684	0.288514	-0.0635579	-0.0550895	-0.000794538	-0.00088921	-0.000846663	-0.000797747	-0.000877534
0.254383	0.244406	0.247478	0.254753	0.290244	0.291787	-0.0628131	-0.0546374	-0.000949852	-0.000959096	-0.000958523	-0.000884786	-0.000836123
0.257271	0.247508	0.250164	0.257936	0.293631	0.295061	-0.0615796	-0.0534503	-0.000959775	-0.00103731	-0.00104869	-0.000856495	-0.000894836
0.260156	0.250612	0.252847	0.26112	0.296993	0.298334	-0.0612345	-0.0539986	-0.000737404	-0.000832038	-0.000838284	-0.00100619	-0.000895839
0.263042	0.253715	0.25553	0.264303	0.300355	0.301607	-0.0616806	-0.0558097	-0.000983206	-0.00104585	-0.000981144	-0.000892606	-0.00103453
0.265927	0.256818	0.258213	0.267487	0.303717	0.30488	-0.061317	-0.0559158	-0.000878502	-0.000757417	-0.000954015	-0.000868337	-0.000873774
0.268813	0.259921	0.260896	0.27067	0.307079	0.308153	-0.0613358	-0.0547718	-0.00102209	-0.00102104	-0.00102292	-0.000880839	-0.000791592
